county,precinct,office,district,candidate,candidate_first,candidate_middle,candidate_last,candidate_suffix,party,votes
Johnson,Aubry Twp 0-01,,,Registered Voters,,,,,,160
Johnson,Aubry Twp 0-02,,,Registered Voters,,,,,,998
Johnson,Aubry Twp 0-03,,,Registered Voters,,,,,,623
Johnson,Aubry Twp 0-04,,,Registered Voters,,,,,,1362
Johnson,Aubry Twp 0-05,,,Registered Voters,,,,,,26
Johnson,Aubry Twp 0-06,,,Registered Voters,,,,,,141
Johnson,Bonner Springs 4-01,,,Registered Voters,,,,,,0
Johnson,De Soto 0-01,,,Registered Voters,,,,,,1362
Johnson,De Soto 0-02,,,Registered Voters,,,,,,784
Johnson,De Soto 0-03,,,Registered Voters,,,,,,1088
Johnson,De Soto 0-04,,,Registered Voters,,,,,,0
Johnson,De Soto 0-05,,,Registered Voters,,,,,,0
Johnson,De Soto 0-06,,,Registered Voters,,,,,,155
Johnson,De Soto 0-07,,,Registered Voters,,,,,,2
Johnson,De Soto 0-08,,,Registered Voters,,,,,,0
Johnson,Edgerton 0-01,,,Registered Voters,,,,,,1034
Johnson,Edgerton 0-02,,,Registered Voters,,,,,,2
Johnson,Edgerton 0-03,,,Registered Voters,,,,,,0
Johnson,Edgerton 0-04,,,Registered Voters,,,,,,0
Johnson,Edgerton 0-05,,,Registered Voters,,,,,,7
Johnson,Edgerton 0-06,,,Registered Voters,,,,,,0
Johnson,Edgerton 0-07,,,Registered Voters,,,,,,0
Johnson,Edgerton 0-08,,,Registered Voters,,,,,,0
Johnson,Fairway 1-00,,,Registered Voters,,,,,,830
Johnson,Fairway 2-00,,,Registered Voters,,,,,,696
Johnson,Fairway 3-00,,,Registered Voters,,,,,,868
Johnson,Fairway 4-00,,,Registered Voters,,,,,,869
Johnson,Gardner 0-01,,,Registered Voters,,,,,,1727
Johnson,Gardner 0-02,,,Registered Voters,,,,,,407
Johnson,Gardner 0-03,,,Registered Voters,,,,,,1603
Johnson,Gardner 0-04,,,Registered Voters,,,,,,1046
Johnson,Gardner 0-05,,,Registered Voters,,,,,,0
Johnson,Gardner 0-06,,,Registered Voters,,,,,,1340
Johnson,Gardner 0-07,,,Registered Voters,,,,,,31
Johnson,Gardner 0-08,,,Registered Voters,,,,,,85
Johnson,Gardner 0-09,,,Registered Voters,,,,,,1708
Johnson,Gardner 0-10,,,Registered Voters,,,,,,1024
Johnson,Gardner 0-11,,,Registered Voters,,,,,,0
Johnson,Gardner 0-12,,,Registered Voters,,,,,,26
Johnson,Gardner 0-13,,,Registered Voters,,,,,,1223
Johnson,Gardner 0-14,,,Registered Voters,,,,,,975
Johnson,Gardner 0-15,,,Registered Voters,,,,,,0
Johnson,Gardner Twp 0-01,,,Registered Voters,,,,,,542
Johnson,Gardner Twp 0-02,,,Registered Voters,,,,,,681
Johnson,Gardner Twp 0-03,,,Registered Voters,,,,,,0
Johnson,Gardner Twp 0-04,,,Registered Voters,,,,,,1
Johnson,Gardner Twp 0-05,,,Registered Voters,,,,,,8
Johnson,Gardner Twp 0-06,,,Registered Voters,,,,,,0
Johnson,Gardner Twp 0-07,,,Registered Voters,,,,,,4
Johnson,Gardner Twp 0-08,,,Registered Voters,,,,,,8
Johnson,Gardner Twp 0-09,,,Registered Voters,,,,,,5
Johnson,Gardner Twp 0-10,,,Registered Voters,,,,,,3
Johnson,Gardner Twp 0-11,,,Registered Voters,,,,,,161
Johnson,Gardner Twp 0-12,,,Registered Voters,,,,,,0
Johnson,Lake Quivira 0-01,,,Registered Voters,,,,,,796
Johnson,Leawood 1-01,,,Registered Voters,,,,,,784
Johnson,Leawood 1-02,,,Registered Voters,,,,,,1231
Johnson,Leawood 1-03,,,Registered Voters,,,,,,1067
Johnson,Leawood 1-04,,,Registered Voters,,,,,,876
Johnson,Leawood 1-05,,,Registered Voters,,,,,,843
Johnson,Leawood 1-06,,,Registered Voters,,,,,,228
Johnson,Leawood 2-01,,,Registered Voters,,,,,,1001
Johnson,Leawood 2-02,,,Registered Voters,,,,,,1247
Johnson,Leawood 2-03,,,Registered Voters,,,,,,1258
Johnson,Leawood 2-04,,,Registered Voters,,,,,,1352
Johnson,Leawood 2-05,,,Registered Voters,,,,,,716
Johnson,Leawood 2-06,,,Registered Voters,,,,,,513
Johnson,Leawood 3-01,,,Registered Voters,,,,,,663
Johnson,Leawood 3-02,,,Registered Voters,,,,,,1248
Johnson,Leawood 3-03,,,Registered Voters,,,,,,740
Johnson,Leawood 3-04,,,Registered Voters,,,,,,382
Johnson,Leawood 3-05,,,Registered Voters,,,,,,1604
Johnson,Leawood 3-06,,,Registered Voters,,,,,,1431
Johnson,Leawood 3-07,,,Registered Voters,,,,,,1111
Johnson,Leawood 4-01,,,Registered Voters,,,,,,350
Johnson,Leawood 4-02,,,Registered Voters,,,,,,939
Johnson,Leawood 4-03,,,Registered Voters,,,,,,1010
Johnson,Leawood 4-04,,,Registered Voters,,,,,,1225
Johnson,Leawood 4-05,,,Registered Voters,,,,,,1174
Johnson,Leawood 4-06,,,Registered Voters,,,,,,875
Johnson,Leawood 4-07,,,Registered Voters,,,,,,1591
Johnson,Leawood 4-08,,,Registered Voters,,,,,,633
Johnson,Lenexa 1-01,,,Registered Voters,,,,,,682
Johnson,Lenexa 1-02,,,Registered Voters,,,,,,1428
Johnson,Lenexa 1-03,,,Registered Voters,,,,,,1564
