county,precinct,office,district,party,candidate,votes,vtd
SHERIDAN,Adell Township,Kansas House of Representatives,118,Republican,"Hineman, Don",7,000010
SHERIDAN,Bloomfield Township,Kansas House of Representatives,118,Republican,"Hineman, Don",9,000020
SHERIDAN,Bow Creek Township,Kansas House of Representatives,118,Republican,"Hineman, Don",16,000030
SHERIDAN,East Kenneth,Kansas House of Representatives,118,Republican,"Hineman, Don",306,000040
SHERIDAN,East Saline,Kansas House of Representatives,118,Republican,"Hineman, Don",29,000050
SHERIDAN,Logan Township,Kansas House of Representatives,118,Republican,"Hineman, Don",43,000060
SHERIDAN,Parnell Township,Kansas House of Representatives,118,Republican,"Hineman, Don",44,000070
SHERIDAN,Prairie Dog Township,Kansas House of Representatives,118,Republican,"Hineman, Don",23,000080
SHERIDAN,Sheridan Township,Kansas House of Representatives,118,Republican,"Hineman, Don",99,000090
SHERIDAN,Solomon Township,Kansas House of Representatives,118,Republican,"Hineman, Don",93,000100
SHERIDAN,Springbrook Township,Kansas House of Representatives,118,Republican,"Hineman, Don",43,000110
SHERIDAN,Union Township,Kansas House of Representatives,118,Republican,"Hineman, Don",15,000120
SHERIDAN,Valley Township,Kansas House of Representatives,118,Republican,"Hineman, Don",43,000130
SHERIDAN,West Kenneth,Kansas House of Representatives,118,Republican,"Hineman, Don",261,000140
SHERIDAN,West Saline,Kansas House of Representatives,118,Republican,"Hineman, Don",34,000150
SHERIDAN,Adell Township,Kansas Senate,40,Democratic,"Schmidt, Allen Clark",5,000010
SHERIDAN,Adell Township,Kansas Senate,40,Republican,"Ostmeyer, Ralph",5,000010
SHERIDAN,Bloomfield Township,Kansas Senate,40,Democratic,"Schmidt, Allen Clark",1,000020
SHERIDAN,Bloomfield Township,Kansas Senate,40,Republican,"Ostmeyer, Ralph",12,000020
SHERIDAN,Bow Creek Township,Kansas Senate,40,Democratic,"Schmidt, Allen Clark",7,000030
SHERIDAN,Bow Creek Township,Kansas Senate,40,Republican,"Ostmeyer, Ralph",14,000030
SHERIDAN,East Kenneth,Kansas Senate,40,Democratic,"Schmidt, Allen Clark",96,000040
SHERIDAN,East Kenneth,Kansas Senate,40,Republican,"Ostmeyer, Ralph",285,000040
SHERIDAN,East Saline,Kansas Senate,40,Democratic,"Schmidt, Allen Clark",6,000050
SHERIDAN,East Saline,Kansas Senate,40,Republican,"Ostmeyer, Ralph",26,000050
SHERIDAN,Logan Township,Kansas Senate,40,Democratic,"Schmidt, Allen Clark",7,000060
