county,precinct,office,district,candidate,candidate_first,candidate_middle,candidate_last,candidate_suffix,party,votes
Sedgwick,101,President,,Barack Obama,Barack,,Obama,,Democratic,527
Sedgwick,101,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,101,President,,Gary Johnson,Gary,,Johnson,,Libertarian,36
Sedgwick,101,President,,Mitt Romney,Mitt,,Romney,,Republican,458
Sedgwick,101,President,,WRITE-IN,,,,,,7
Sedgwick,102,President,,Barack Obama,Barack,,Obama,,Democratic,205
Sedgwick,102,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,102,President,,Gary Johnson,Gary,,Johnson,,Libertarian,6
Sedgwick,102,President,,Mitt Romney,Mitt,,Romney,,Republican,153
Sedgwick,102,President,,WRITE-IN,,,,,,2
Sedgwick,103,President,,Barack Obama,Barack,,Obama,,Democratic,58
Sedgwick,103,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,103,President,,Gary Johnson,Gary,,Johnson,,Libertarian,1
Sedgwick,103,President,,Mitt Romney,Mitt,,Romney,,Republican,47
Sedgwick,103,President,,WRITE-IN,,,,,,0
Sedgwick,104,President,,Barack Obama,Barack,,Obama,,Democratic,15
Sedgwick,104,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,104,President,,Gary Johnson,Gary,,Johnson,,Libertarian,1
Sedgwick,104,President,,Mitt Romney,Mitt,,Romney,,Republican,20
Sedgwick,104,President,,WRITE-IN,,,,,,1
Sedgwick,105,President,,Barack Obama,Barack,,Obama,,Democratic,370
Sedgwick,105,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,105,President,,Gary Johnson,Gary,,Johnson,,Libertarian,23
Sedgwick,105,President,,Mitt Romney,Mitt,,Romney,,Republican,181
Sedgwick,105,President,,WRITE-IN,,,,,,7
Sedgwick,106,President,,Barack Obama,Barack,,Obama,,Democratic,164
Sedgwick,106,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,106,President,,Gary Johnson,Gary,,Johnson,,Libertarian,12
Sedgwick,106,President,,Mitt Romney,Mitt,,Romney,,Republican,108
Sedgwick,106,President,,WRITE-IN,,,,,,9
Sedgwick,107,President,,Barack Obama,Barack,,Obama,,Democratic,578
Sedgwick,107,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,107,President,,Gary Johnson,Gary,,Johnson,,Libertarian,15
Sedgwick,107,President,,Mitt Romney,Mitt,,Romney,,Republican,111
Sedgwick,107,President,,WRITE-IN,,,,,,6
Sedgwick,108,President,,Barack Obama,Barack,,Obama,,Democratic,467
Sedgwick,108,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,108,President,,Gary Johnson,Gary,,Johnson,,Libertarian,25
Sedgwick,108,President,,Mitt Romney,Mitt,,Romney,,Republican,271
Sedgwick,108,President,,WRITE-IN,,,,,,7
Sedgwick,109,President,,Barack Obama,Barack,,Obama,,Democratic,765
Sedgwick,109,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,4
Sedgwick,109,President,,Gary Johnson,Gary,,Johnson,,Libertarian,25
Sedgwick,109,President,,Mitt Romney,Mitt,,Romney,,Republican,290
Sedgwick,109,President,,WRITE-IN,,,,,,8
Sedgwick,110 & 111,President,,Barack Obama,Barack,,Obama,,Democratic,139
Sedgwick,110 & 111,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,110 & 111,President,,Gary Johnson,Gary,,Johnson,,Libertarian,4
Sedgwick,110 & 111,President,,Mitt Romney,Mitt,,Romney,,Republican,186
Sedgwick,110 & 111,President,,WRITE-IN,,,,,,1
Sedgwick,112,President,,Barack Obama,Barack,,Obama,,Democratic,772
Sedgwick,112,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,112,President,,Gary Johnson,Gary,,Johnson,,Libertarian,16
Sedgwick,112,President,,Mitt Romney,Mitt,,Romney,,Republican,336
Sedgwick,112,President,,WRITE-IN,,,,,,4
Sedgwick,113,President,,Barack Obama,Barack,,Obama,,Democratic,718
Sedgwick,113,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,113,President,,Gary Johnson,Gary,,Johnson,,Libertarian,13
Sedgwick,113,President,,Mitt Romney,Mitt,,Romney,,Republican,63
Sedgwick,113,President,,WRITE-IN,,,,,,4
Sedgwick,114,President,,Barack Obama,Barack,,Obama,,Democratic,768
Sedgwick,114,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,114,President,,Gary Johnson,Gary,,Johnson,,Libertarian,8
Sedgwick,114,President,,Mitt Romney,Mitt,,Romney,,Republican,19
Sedgwick,114,President,,WRITE-IN,,,,,,0
Sedgwick,116,President,,Barack Obama,Barack,,Obama,,Democratic,1159
Sedgwick,116,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,116,President,,Gary Johnson,Gary,,Johnson,,Libertarian,10
Sedgwick,116,President,,Mitt Romney,Mitt,,Romney,,Republican,53
Sedgwick,116,President,,WRITE-IN,,,,,,2
Sedgwick,117,President,,Barack Obama,Barack,,Obama,,Democratic,1050
Sedgwick,117,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,4
Sedgwick,117,President,,Gary Johnson,Gary,,Johnson,,Libertarian,4
Sedgwick,117,President,,Mitt Romney,Mitt,,Romney,,Republican,49
Sedgwick,117,President,,WRITE-IN,,,,,,2
Sedgwick,118,President,,Barack Obama,Barack,,Obama,,Democratic,956
Sedgwick,118,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,118,President,,Gary Johnson,Gary,,Johnson,,Libertarian,11
Sedgwick,118,President,,Mitt Romney,Mitt,,Romney,,Republican,149
Sedgwick,118,President,,WRITE-IN,,,,,,5
Sedgwick,119,President,,Barack Obama,Barack,,Obama,,Democratic,651
Sedgwick,119,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,119,President,,Gary Johnson,Gary,,Johnson,,Libertarian,10
Sedgwick,119,President,,Mitt Romney,Mitt,,Romney,,Republican,242
Sedgwick,119,President,,WRITE-IN,,,,,,5
Sedgwick,120,President,,Barack Obama,Barack,,Obama,,Democratic,565
Sedgwick,120,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,120,President,,Gary Johnson,Gary,,Johnson,,Libertarian,13
Sedgwick,120,President,,Mitt Romney,Mitt,,Romney,,Republican,291
Sedgwick,120,President,,WRITE-IN,,,,,,7
Sedgwick,121,President,,Barack Obama,Barack,,Obama,,Democratic,384
Sedgwick,121,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,121,President,,Gary Johnson,Gary,,Johnson,,Libertarian,13
Sedgwick,121,President,,Mitt Romney,Mitt,,Romney,,Republican,437
Sedgwick,121,President,,WRITE-IN,,,,,,3
Sedgwick,122,President,,Barack Obama,Barack,,Obama,,Democratic,785
Sedgwick,122,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,5
Sedgwick,122,President,,Gary Johnson,Gary,,Johnson,,Libertarian,22
Sedgwick,122,President,,Mitt Romney,Mitt,,Romney,,Republican,633
Sedgwick,122,President,,WRITE-IN,,,,,,13
Sedgwick,123,President,,Barack Obama,Barack,,Obama,,Democratic,50
Sedgwick,123,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,123,President,,Gary Johnson,Gary,,Johnson,,Libertarian,2
Sedgwick,123,President,,Mitt Romney,Mitt,,Romney,,Republican,59
Sedgwick,123,President,,WRITE-IN,,,,,,1
Sedgwick,126,President,,Barack Obama,Barack,,Obama,,Democratic,93
Sedgwick,126,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,126,President,,Gary Johnson,Gary,,Johnson,,Libertarian,2
Sedgwick,126,President,,Mitt Romney,Mitt,,Romney,,Republican,125
Sedgwick,126,President,,WRITE-IN,,,,,,1
Sedgwick,127,President,,Barack Obama,Barack,,Obama,,Democratic,85
Sedgwick,127,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,127,President,,Gary Johnson,Gary,,Johnson,,Libertarian,2
Sedgwick,127,President,,Mitt Romney,Mitt,,Romney,,Republican,152
Sedgwick,127,President,,WRITE-IN,,,,,,3
Sedgwick,128,President,,Barack Obama,Barack,,Obama,,Democratic,122
Sedgwick,128,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,128,President,,Gary Johnson,Gary,,Johnson,,Libertarian,4
Sedgwick,128,President,,Mitt Romney,Mitt,,Romney,,Republican,54
Sedgwick,128,President,,WRITE-IN,,,,,,1
Sedgwick,129,President,,Barack Obama,Barack,,Obama,,Democratic,133
Sedgwick,129,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,129,President,,Gary Johnson,Gary,,Johnson,,Libertarian,16
Sedgwick,129,President,,Mitt Romney,Mitt,,Romney,,Republican,94
Sedgwick,129,President,,WRITE-IN,,,,,,1
Sedgwick,130,President,,Barack Obama,Barack,,Obama,,Democratic,361
Sedgwick,130,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,4
Sedgwick,130,President,,Gary Johnson,Gary,,Johnson,,Libertarian,24
Sedgwick,130,President,,Mitt Romney,Mitt,,Romney,,Republican,222
Sedgwick,130,President,,WRITE-IN,,,,,,5
Sedgwick,131,President,,Barack Obama,Barack,,Obama,,Democratic,4
Sedgwick,131,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,131,President,,Gary Johnson,Gary,,Johnson,,Libertarian,0
Sedgwick,131,President,,Mitt Romney,Mitt,,Romney,,Republican,10
Sedgwick,131,President,,WRITE-IN,,,,,,0
Sedgwick,132 & 124,President,,Barack Obama,Barack,,Obama,,Democratic,14
Sedgwick,132 & 124,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,0
Sedgwick,132 & 124,President,,Gary Johnson,Gary,,Johnson,,Libertarian,0
Sedgwick,132 & 124,President,,Mitt Romney,Mitt,,Romney,,Republican,4
Sedgwick,132 & 124,President,,WRITE-IN,,,,,,1
Sedgwick,201,President,,Barack Obama,Barack,,Obama,,Democratic,627
Sedgwick,201,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,201,President,,Gary Johnson,Gary,,Johnson,,Libertarian,49
Sedgwick,201,President,,Mitt Romney,Mitt,,Romney,,Republican,632
Sedgwick,201,President,,WRITE-IN,,,,,,9
Sedgwick,202,President,,Barack Obama,Barack,,Obama,,Democratic,591
Sedgwick,202,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,202,President,,Gary Johnson,Gary,,Johnson,,Libertarian,21
Sedgwick,202,President,,Mitt Romney,Mitt,,Romney,,Republican,666
Sedgwick,202,President,,WRITE-IN,,,,,,11
Sedgwick,203,President,,Barack Obama,Barack,,Obama,,Democratic,473
Sedgwick,203,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,203,President,,Gary Johnson,Gary,,Johnson,,Libertarian,19
Sedgwick,203,President,,Mitt Romney,Mitt,,Romney,,Republican,513
Sedgwick,203,President,,WRITE-IN,,,,,,6
Sedgwick,204,President,,Barack Obama,Barack,,Obama,,Democratic,380
Sedgwick,204,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,204,President,,Gary Johnson,Gary,,Johnson,,Libertarian,19
Sedgwick,204,President,,Mitt Romney,Mitt,,Romney,,Republican,491
Sedgwick,204,President,,WRITE-IN,,,,,,6
Sedgwick,205,President,,Barack Obama,Barack,,Obama,,Democratic,244
Sedgwick,205,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,205,President,,Gary Johnson,Gary,,Johnson,,Libertarian,17
Sedgwick,205,President,,Mitt Romney,Mitt,,Romney,,Republican,113
Sedgwick,205,President,,WRITE-IN,,,,,,2
Sedgwick,206,President,,Barack Obama,Barack,,Obama,,Democratic,181
Sedgwick,206,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,1
Sedgwick,206,President,,Gary Johnson,Gary,,Johnson,,Libertarian,5
Sedgwick,206,President,,Mitt Romney,Mitt,,Romney,,Republican,139
Sedgwick,206,President,,WRITE-IN,,,,,,1
Sedgwick,207,President,,Barack Obama,Barack,,Obama,,Democratic,622
Sedgwick,207,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,207,President,,Gary Johnson,Gary,,Johnson,,Libertarian,12
Sedgwick,207,President,,Mitt Romney,Mitt,,Romney,,Republican,621
Sedgwick,207,President,,WRITE-IN,,,,,,1
Sedgwick,208,President,,Barack Obama,Barack,,Obama,,Democratic,191
Sedgwick,208,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,208,President,,Gary Johnson,Gary,,Johnson,,Libertarian,7
Sedgwick,208,President,,Mitt Romney,Mitt,,Romney,,Republican,178
Sedgwick,208,President,,WRITE-IN,,,,,,4
Sedgwick,209,President,,Barack Obama,Barack,,Obama,,Democratic,480
Sedgwick,209,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,3
Sedgwick,209,President,,Gary Johnson,Gary,,Johnson,,Libertarian,18
Sedgwick,209,President,,Mitt Romney,Mitt,,Romney,,Republican,419
Sedgwick,209,President,,WRITE-IN,,,,,,3
Sedgwick,210,President,,Barack Obama,Barack,,Obama,,Democratic,543
Sedgwick,210,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,210,President,,Gary Johnson,Gary,,Johnson,,Libertarian,22
Sedgwick,210,President,,Mitt Romney,Mitt,,Romney,,Republican,515
Sedgwick,210,President,,WRITE-IN,,,,,,6
Sedgwick,211,President,,Barack Obama,Barack,,Obama,,Democratic,253
Sedgwick,211,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,211,President,,Gary Johnson,Gary,,Johnson,,Libertarian,10
Sedgwick,211,President,,Mitt Romney,Mitt,,Romney,,Republican,381
Sedgwick,211,President,,WRITE-IN,,,,,,4
Sedgwick,212,President,,Barack Obama,Barack,,Obama,,Democratic,501
Sedgwick,212,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,212,President,,Gary Johnson,Gary,,Johnson,,Libertarian,14
Sedgwick,212,President,,Mitt Romney,Mitt,,Romney,,Republican,718
Sedgwick,212,President,,WRITE-IN,,,,,,6
Sedgwick,213,President,,Barack Obama,Barack,,Obama,,Democratic,453
Sedgwick,213,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,4
Sedgwick,213,President,,Gary Johnson,Gary,,Johnson,,Libertarian,24
Sedgwick,213,President,,Mitt Romney,Mitt,,Romney,,Republican,892
Sedgwick,213,President,,WRITE-IN,,,,,,6
Sedgwick,214,President,,Barack Obama,Barack,,Obama,,Democratic,356
Sedgwick,214,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,2
Sedgwick,214,President,,Gary Johnson,Gary,,Johnson,,Libertarian,19
Sedgwick,214,President,,Mitt Romney,Mitt,,Romney,,Republican,872
Sedgwick,214,President,,WRITE-IN,,,,,,3
Sedgwick,215,President,,Barack Obama,Barack,,Obama,,Democratic,637
Sedgwick,215,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,5
Sedgwick,215,President,,Gary Johnson,Gary,,Johnson,,Libertarian,18
Sedgwick,215,President,,Mitt Romney,Mitt,,Romney,,Republican,1054
Sedgwick,215,President,,WRITE-IN,,,,,,5
Sedgwick,216,President,,Barack Obama,Barack,,Obama,,Democratic,413
Sedgwick,216,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,6
Sedgwick,216,President,,Gary Johnson,Gary,,Johnson,,Libertarian,9
Sedgwick,216,President,,Mitt Romney,Mitt,,Romney,,Republican,622
Sedgwick,216,President,,WRITE-IN,,,,,,5
Sedgwick,217,President,,Barack Obama,Barack,,Obama,,Democratic,384
Sedgwick,217,President,,Chuck Baldwin,Chuck,,Baldwin,,Reform,4
Sedgwick,217,President,,Gary Johnson,Gary,,Johnson,,Libertarian,17
Sedgwick,217,President,,Mitt Romney,Mitt,,Romney,,Republican,935
