county,precinct,office,district,party,candidate,votes,vtd
MARSHALL,Balderson Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",11,000010
MARSHALL,Balderson Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",33,000010
MARSHALL,Bigelow Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",10,000020
MARSHALL,Bigelow Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",8,000020
MARSHALL,Blue Rapids City,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",99,000030
MARSHALL,Blue Rapids City,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",275,000030
MARSHALL,Blue Rapids Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",7,000040
MARSHALL,Blue Rapids Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",19,000040
MARSHALL,Center Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",14,000050
MARSHALL,Center Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",53,000050
MARSHALL,Clear Fork Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",3,000060
MARSHALL,Clear Fork Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",12,000060
MARSHALL,Cleveland Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",18,000070
MARSHALL,Cleveland Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",38,000070
MARSHALL,Cottage Hill Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",13,000080
MARSHALL,Cottage Hill Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",64,000080
MARSHALL,East Vermillion Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",55,000090
MARSHALL,East Vermillion Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",168,000090
MARSHALL,Elm Creek Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",29,000100
MARSHALL,Elm Creek Township,Kansas House of Representatives,106,Republican,"Schwartz, Sharon",54,000100
MARSHALL,Herkimer Township,Kansas House of Representatives,106,Democratic,"Levendofsky, Nick",28,000130
