county,precinct,office,district,party,candidate,votes,Election Night,Advance,Provisional
Lane,Alamota Twp,Attorney General,,D,A J Kotich,7,5,2,0
Lane,Cheyenne Twp,Attorney General,,D,A J Kotich,14,11,2,1
Lane,Dighton City 1,Attorney General,,D,A J Kotich,32,21,11,0
Lane,Dighton City 2,Attorney General,,D,A J Kotich,31,19,11,1
Lane,Dighton City 3,Attorney General,,D,A J Kotich,10,6,2,2
Lane,Dighton Twp 1,Attorney General,,D,A J Kotich,9,4,3,2
Lane,Dighton Twp 2,Attorney General,,D,A J Kotich,4,1,3,0
Lane,Dighton Twp 3,Attorney General,,D,A J Kotich,3,2,1,0
Lane,White Rock Twp,Attorney General,,D,A J Kotich,1,1,0,0
Lane,Wilson Twp,Attorney General,,D,A J Kotich,3,3,0,0
Lane,Alamota Twp,Attorney General,,R,Derek Schmidt,28,21,6,1
Lane,Cheyenne Twp,Attorney General,,R,Derek Schmidt,94,80,9,5
Lane,Dighton City 1,Attorney General,,R,Derek Schmidt,133,91,33,9
Lane,Dighton City 2,Attorney General,,R,Derek Schmidt,174,141,30,3
Lane,Dighton City 3,Attorney General,,R,Derek Schmidt,53,45,6,2
Lane,Dighton Twp 1,Attorney General,,R,Derek Schmidt,31,27,3,1
Lane,Dighton Twp 2,Attorney General,,R,Derek Schmidt,50,37,13,0
Lane,Dighton Twp 3,Attorney General,,R,Derek Schmidt,19,13,6,0
Lane,White Rock Twp,Attorney General,,R,Derek Schmidt,11,9,2,0
Lane,Wilson Twp,Attorney General,,R,Derek Schmidt,31,25,6,0
Lane,Alamota Twp,U.S. House,1,D,James Sherow,8,6,2,0
Lane,Cheyenne Twp,U.S. House,1,D,James Sherow,20,18,2,0
Lane,Dighton City 1,U.S. House,1,D,James Sherow,44,31,13,0
Lane,Dighton City 2,U.S. House,1,D,James Sherow,56,41,15,0
Lane,Dighton City 3,U.S. House,1,D,James Sherow,15,8,5,2
Lane,Dighton Twp 1,U.S. House,1,D,James Sherow,11,8,1,2
Lane,Dighton Twp 2,U.S. House,1,D,James Sherow,8,4,4,0
Lane,Dighton Twp 3,U.S. House,1,D,James Sherow,4,3,1,0
Lane,White Rock Twp,U.S. House,1,D,James Sherow,3,2,1,0
Lane,Wilson Twp,U.S. House,1,D,James Sherow,4,4,0,0
Lane,Alamota Twp,U.S. House,1,R,Tim Huelskamp,28,20,7,1
Lane,Cheyenne Twp,U.S. House,1,R,Tim Huelskamp,94,79,9,6
Lane,Dighton City 1,U.S. House,1,R,Tim Huelskamp,126,85,32,9
Lane,Dighton City 2,U.S. House,1,R,Tim Huelskamp,154,124,26,4
Lane,Dighton City 3,U.S. House,1,R,Tim Huelskamp,51,44,5,2
Lane,Dighton Twp 1,U.S. House,1,R,Tim Huelskamp,31,25,5,1
Lane,Dighton Twp 2,U.S. House,1,R,Tim Huelskamp,45,34,11,0
Lane,Dighton Twp 3,U.S. House,1,R,Tim Huelskamp,18,12,6,0
Lane,White Rock Twp,U.S. House,1,R,Tim Huelskamp,9,8,1,0
Lane,Wilson Twp,U.S. House,1,R,Tim Huelskamp,29,23,6,0
Lane,Alamota Twp,Governor,,L,Keen Umbehr,1,0,1,0
Lane,Cheyenne Twp,Governor,,L,Keen Umbehr,5,5,0,0
Lane,Dighton City 1,Governor,,L,Keen Umbehr,9,6,2,1
Lane,Dighton City 2,Governor,,L,Keen Umbehr,7,5,2,0
Lane,Dighton City 3,Governor,,L,Keen Umbehr,5,5,0,0
Lane,Dighton Twp 1,Governor,,L,Keen Umbehr,1,0,0,1
Lane,Dighton Twp 2,Governor,,L,Keen Umbehr,2,1,1,0
Lane,Dighton Twp 3,Governor,,L,Keen Umbehr,0,0,0,0
Lane,White Rock Twp,Governor,,L,Keen Umbehr,1,1,0,0
Lane,Wilson Twp,Governor,,L,Keen Umbehr,2,2,0,0
Lane,Alamota Twp,Governor,,D,Paul Davis,8,6,2,0
Lane,Cheyenne Twp,Governor,,D,Paul Davis,26,22,3,1
Lane,Dighton City 1,Governor,,D,Paul Davis,58,41,15,2
Lane,Dighton City 2,Governor,,D,Paul Davis,68,51,16,1
Lane,Dighton City 3,Governor,,D,Paul Davis,15,9,4,2
Lane,Dighton Twp 1,Governor,,D,Paul Davis,10,8,0,2
Lane,Dighton Twp 2,Governor,,D,Paul Davis,15,8,7,0
Lane,Dighton Twp 3,Governor,,D,Paul Davis,9,6,3,0
Lane,White Rock Twp,Governor,,D,Paul Davis,6,4,2,0
Lane,Wilson Twp,Governor,,D,Paul Davis,5,5,0,0
Lane,Alamota Twp,Governor,,R,Sam Brownback,28,21,6,1
Lane,Cheyenne Twp,Governor,,R,Sam Brownback,84,71,8,5
Lane,Dighton City 1,Governor,,R,Sam Brownback,103,70,27,6
Lane,Dighton City 2,Governor,,R,Sam Brownback,136,109,24,3
Lane,Dighton City 3,Governor,,R,Sam Brownback,42,37,4,1
Lane,Dighton Twp 1,Governor,,R,Sam Brownback,31,26,5,0
Lane,Dighton Twp 2,Governor,,R,Sam Brownback,39,31,8,0
Lane,Dighton Twp 3,Governor,,R,Sam Brownback,13,9,4,0
Lane,White Rock Twp,Governor,,R,Sam Brownback,5,5,0,0
Lane,Wilson Twp,Governor,,R,Sam Brownback,28,22,6,0
Lane,Alamota Twp,Insurance Commissioner,,D,Dennis Anderson,8,6,2,0
Lane,Cheyenne Twp,Insurance Commissioner,,D,Dennis Anderson,11,9,2,0
Lane,Dighton City 1,Insurance Commissioner,,D,Dennis Anderson,33,24,9,0
Lane,Dighton City 2,Insurance Commissioner,,D,Dennis Anderson,34,24,10,0
Lane,Dighton City 3,Insurance Commissioner,,D,Dennis Anderson,6,3,1,2
Lane,Dighton Twp 1,Insurance Commissioner,,D,Dennis Anderson,10,5,3,2
Lane,Dighton Twp 2,Insurance Commissioner,,D,Dennis Anderson,6,2,4,0
Lane,Dighton Twp 3,Insurance Commissioner,,D,Dennis Anderson,4,3,1,0
Lane,White Rock Twp,Insurance Commissioner,,D,Dennis Anderson,3,2,1,0
Lane,Wilson Twp,Insurance Commissioner,,D,Dennis Anderson,2,2,0,0
Lane,Alamota Twp,Insurance Commissioner,,R,Ken Selzer,25,20,4,1
Lane,Cheyenne Twp,Insurance Commissioner,,R,Ken Selzer,98,83,9,6
Lane,Dighton City 1,Insurance Commissioner,,R,Ken Selzer,128,86,34,8
Lane,Dighton City 2,Insurance Commissioner,,R,Ken Selzer,160,127,29,4
Lane,Dighton City 3,Insurance Commissioner,,R,Ken Selzer,57,48,7,2
Lane,Dighton Twp 1,Insurance Commissioner,,R,Ken Selzer,30,27,2,1
Lane,Dighton Twp 2,Insurance Commissioner,,R,Ken Selzer,48,37,11,0
Lane,Dighton Twp 3,Insurance Commissioner,,R,Ken Selzer,18,12,6,0
Lane,White Rock Twp,Insurance Commissioner,,R,Ken Selzer,8,8,0,0
Lane,Wilson Twp,Insurance Commissioner,,R,Ken Selzer,30,24,6,0
Lane,Alamota Twp,Secretary of State,,D,Jean Schodorf,6,4,2,0
Lane,Cheyenne Twp,Secretary of State,,D,Jean Schodorf,21,18,3,0
Lane,Dighton City 1,Secretary of State,,D,Jean Schodorf,46,32,14,0
Lane,Dighton City 2,Secretary of State,,D,Jean Schodorf,44,31,12,1
Lane,Dighton City 3,Secretary of State,,D,Jean Schodorf,12,6,4,2
Lane,Dighton Twp 1,Secretary of State,,D,Jean Schodorf,13,7,3,3
Lane,Dighton Twp 2,Secretary of State,,D,Jean Schodorf,11,5,6,0
Lane,Dighton Twp 3,Secretary of State,,D,Jean Schodorf,6,5,1,0
Lane,White Rock Twp,Secretary of State,,D,Jean Schodorf,5,4,1,0
Lane,Wilson Twp,Secretary of State,,D,Jean Schodorf,6,6,0,0
Lane,Alamota Twp,Secretary of State,,R,Kris Kobach,29,22,6,1
Lane,Cheyenne Twp,Secretary of State,,R,Kris Kobach,90,76,8,6
Lane,Dighton City 1,Secretary of State,,R,Kris Kobach,125,85,31,9
Lane,Dighton City 2,Secretary of State,,R,Kris Kobach,164,132,29,3
Lane,Dighton City 3,Secretary of State,,R,Kris Kobach,54,46,6,2
Lane,Dighton Twp 1,Secretary of State,,R,Kris Kobach,28,25,3,0
Lane,Dighton Twp 2,Secretary of State,,R,Kris Kobach,44,34,10,0
