county,precinct,office,district,party,candidate,votes,
Stevens,Hugoton W1P1,U.S. Senate,,R,Pat Roberts,103,
Stevens,Hugoton W1P2,U.S. Senate,,R,Pat Roberts,152,
Stevens,Hugoton W2P1,U.S. Senate,,R,Pat Roberts,25,
Stevens,Hugoton W2P2,U.S. Senate,,R,Pat Roberts,239,
Stevens,Hugoton W3P2,U.S. Senate,,R,Pat Roberts,33,
Stevens,Hugoton W4P2,U.S. Senate,,R,Pat Roberts,152,
Stevens,Banner,U.S. Senate,,R,Pat Roberts,48,
Stevens,Center 1,U.S. Senate,,R,Pat Roberts,18,
Stevens,Center 2,U.S. Senate,,R,Pat Roberts,90,
Stevens,Harmony,U.S. Senate,,R,Pat Roberts,25,
Stevens,Moscow,U.S. Senate,,R,Pat Roberts,140,
Stevens,Vorhees,U.S. Senate,,R,Pat Roberts,50,
Stevens,West Center,U.S. Senate,,R,Pat Roberts,33,
Stevens,Hugoton W5P2,U.S. Senate,,R,Pat Roberts,11,
Stevens,Hugoton W1P1,U.S. Senate,,IND,Greg Orman,28,
Stevens,Hugoton W1P2,U.S. Senate,,IND,Greg Orman,26,
Stevens,Hugoton W2P1,U.S. Senate,,IND,Greg Orman,4,
Stevens,Hugoton W2P2,U.S. Senate,,IND,Greg Orman,82,
Stevens,Hugoton W3P2,U.S. Senate,,IND,Greg Orman,7,
Stevens,Hugoton W4P2,U.S. Senate,,IND,Greg Orman,32,
Stevens,Banner,U.S. Senate,,IND,Greg Orman,6,
Stevens,Center 1,U.S. Senate,,IND,Greg Orman,1,
Stevens,Center 2,U.S. Senate,,IND,Greg Orman,16,
Stevens,Harmony,U.S. Senate,,IND,Greg Orman,2,
Stevens,Moscow,U.S. Senate,,IND,Greg Orman,21,
Stevens,Vorhees,U.S. Senate,,IND,Greg Orman,4,
Stevens,West Center,U.S. Senate,,IND,Greg Orman,10,
Stevens,Hugoton W5P2,U.S. Senate,,IND,Greg Orman,1,
Stevens,Hugoton W1P1,U.S. Senate,,LBT,Randall Batson,10,
Stevens,Hugoton W1P2,U.S. Senate,,LBT,Randall Batson,6,
Stevens,Hugoton W2P1,U.S. Senate,,LBT,Randall Batson,2,
