county,precinct,office,district,party,candidate,votes,,
Greeley,Tribune Precinct 1,Voters,,,Registered,566,,
Greeley,Tribune Precinct 2,Voters,,,Registered,287,,
Greeley,Tribune Precinct 3,Voters,,,Registered,73,,
Greeley,Tribune Precinct 1,Voters,,,Cast,346,,
Greeley,Tribune Precinct 2,Voters,,,Cast,174,,
Greeley,Tribune Precinct 3,Voters,,,Cast,56,,
Greeley,Tribune Precinct 1,U.S. Senate,,R,Pat Roberts,250,,
Greeley,Tribune Precinct 2,U.S. Senate,,R,Pat Roberts,138,,
Greeley,Tribune Precinct 3,U.S. Senate,,R,Pat Roberts,38,,
Greeley,Tribune Precinct 1,U.S. Senate,,I,Greg Orman,72,,
Greeley,Tribune Precinct 2,U.S. Senate,,I,Greg Orman,28,,
Greeley,Tribune Precinct 3,U.S. Senate,,I,Greg Orman,13,,
Greeley,Tribune Precinct 1,U.S. Senate,,L,Randall Batson,16,,
Greeley,Tribune Precinct 2,U.S. Senate,,L,Randall Batson,7,,
Greeley,Tribune Precinct 3,U.S. Senate,,L,Randall Batson,4,,
Greeley,Tribune Precinct 1,U.S. House,1,R,Tim Huelskamp,261,,
Greeley,Tribune Precinct 2,U.S. House,1,R,Tim Huelskamp,138,,
Greeley,Tribune Precinct 3,U.S. House,1,R,Tim Huelskamp,45,,
Greeley,Tribune Precinct 1,U.S. House,1,D,James Sherow,72,,
Greeley,Tribune Precinct 2,U.S. House,1,D,James Sherow,28,,
Greeley,Tribune Precinct 3,U.S. House,1,D,James Sherow,8,,
Greeley,Tribune Precinct 1,Governor,,R,Sam Brownback,219,,
Greeley,Tribune Precinct 2,Governor,,R,Sam Brownback,127,,
Greeley,Tribune Precinct 3,Governor,,R,Sam Brownback,37,,
Greeley,Tribune Precinct 1,Governor,,D,Paul Davis,100,,
Greeley,Tribune Precinct 2,Governor,,D,Paul Davis,38,,
Greeley,Tribune Precinct 3,Governor,,D,Paul Davis,16,,
Greeley,Tribune Precinct 1,Governor,,L,Keen Umbehr,17,,
Greeley,Tribune Precinct 2,Governor,,L,Keen Umbehr,3,,
Greeley,Tribune Precinct 3,Governor,,L,Keen Umbehr,3,,
Greeley,Tribune Precinct 1,Secretary of State,,R,Kris Kobach,268,,
Greeley,Tribune Precinct 2,Secretary of State,,R,Kris Kobach,139,,
Greeley,Tribune Precinct 3,Secretary of State,,R,Kris Kobach,42,,
Greeley,Tribune Precinct 1,Secretary of State,,D,Jean Schodorf,64,,
Greeley,Tribune Precinct 2,Secretary of State,,D,Jean Schodorf,26,,
Greeley,Tribune Precinct 3,Secretary of State,,D,Jean Schodorf,12,,
Greeley,Tribune Precinct 1,Attorney General,,R,Derek Schmidt,277,,
Greeley,Tribune Precinct 2,Attorney General,,R,Derek Schmidt,143,,
Greeley,Tribune Precinct 3,Attorney General,,R,Derek Schmidt,45,,
Greeley,Tribune Precinct 1,Attorney General,,D,AJ Kotich,52,,
Greeley,Tribune Precinct 2,Attorney General,,D,AJ Kotich,20,,
Greeley,Tribune Precinct 3,Attorney General,,D,AJ Kotich,10,,
Greeley,Tribune Precinct 1,State Treasurer,,R,Ron Estes,293,,
Greeley,Tribune Precinct 2,State Treasurer,,R,Ron Estes,143,,
Greeley,Tribune Precinct 3,State Treasurer,,R,Ron Estes,47,,
Greeley,Tribune Precinct 1,State Treasurer,,D,Carmen Alldritt,36,,
Greeley,Tribune Precinct 2,State Treasurer,,D,Carmen Alldritt,21,,
Greeley,Tribune Precinct 3,State Treasurer,,D,Carmen Alldritt,7,,
Greeley,Tribune Precinct 1,Insurance Commissioner,,R,Ken Selzer,255,,
Greeley,Tribune Precinct 2,Insurance Commissioner,,R,Ken Selzer,135,,
Greeley,Tribune Precinct 3,Insurance Commissioner,,R,Ken Selzer,46,,
Greeley,Tribune Precinct 1,Insurance Commissioner,,D,Dennis Anderson,62,,
Greeley,Tribune Precinct 2,Insurance Commissioner,,D,Dennis Anderson,22,,
Greeley,Tribune Precinct 3,Insurance Commissioner,,D,Dennis Anderson,8,,
Greeley,Tribune Precinct 1,State House,122,R,Russ Jennings,319,,
Greeley,Tribune Precinct 2,State House,122,R,Russ Jennings,143,,
Greeley,Tribune Precinct 3,State House,122,R,Russ Jennings,56,,
