city,precinct,office,district,party,candidate,votes
Sherman,Goodland W3,U S Senate,,L,Randall Batson,11
Sherman,Goodland W4,U S Senate,,L,Randall Batson,12
Sherman,Grant,U S Senate,,L,Randall Batson,1
Sherman,Iowa,U S Senate,,L,Randall Batson,0
Sherman,Itasca,U S Senate,,L,Randall Batson,5
Sherman,Lincoln,U S Senate,,L,Randall Batson,0
Sherman,Llanos,U S Senate,,L,Randall Batson,0
Sherman,Logan,U S Senate,,L,Randall Batson,3
Sherman,McPherson,U S Senate,,L,Randall Batson,0
Sherman,Shermanville,U S Senate,,L,Randall Batson,0
Sherman,Smoky,U S Senate,,L,Randall Batson,2
Sherman,State Line,U S Senate,,L,Randall Batson,2
Sherman,Union,U S Senate,,L,Randall Batson,0
Sherman,Voltaire,U S Senate,,L,Randall Batson,5
Sherman,Washington,U S Senate,,L,Randall Batson,1
Sherman,Kanorado,U S Senate,,L,Randall Batson,1
Sherman,Goodland W1,Congress 1,CD1,R,Tim Huelskamp,326
Sherman,Goodland W2,Congress 1,CD1,R,Tim Huelskamp,174
Sherman,Goodland W3,Congress 1,CD1,R,Tim Huelskamp,174
Sherman,Goodland W4,Congress 1,CD1,R,Tim Huelskamp,298
Sherman,Grant,Congress 1,CD1,R,Tim Huelskamp,25
Sherman,Iowa,Congress 1,CD1,R,Tim Huelskamp,13
Sherman,Itasca,Congress 1,CD1,R,Tim Huelskamp,101
Sherman,Lincoln,Congress 1,CD1,R,Tim Huelskamp,31
Sherman,Llanos,Congress 1,CD1,R,Tim Huelskamp,18
Sherman,Logan,Congress 1,CD1,R,Tim Huelskamp,90
Sherman,McPherson,Congress 1,CD1,R,Tim Huelskamp,22
Sherman,Shermanville,Congress 1,CD1,R,Tim Huelskamp,11
Sherman,Smoky,Congress 1,CD1,R,Tim Huelskamp,27
Sherman,State Line,Congress 1,CD1,R,Tim Huelskamp,33
Sherman,Union,Congress 1,CD1,R,Tim Huelskamp,27
Sherman,Voltaire,Congress 1,CD1,R,Tim Huelskamp,153
Sherman,Washington,Congress 1,CD1,R,Tim Huelskamp,33
Sherman,Kanorado,Congress 1,CD1,R,Tim Huelskamp,24
Sherman,Goodland W1,Congress 1,CD1,D,James Sherow,96
Sherman,Goodland W2,Congress 1,CD1,D,James Sherow,35
Sherman,Goodland W3,Congress 1,CD1,D,James Sherow,56
Sherman,Goodland W4,Congress 1,CD1,D,James Sherow,104
Sherman,Grant,Congress 1,CD1,D,James Sherow,7
Sherman,Iowa,Congress 1,CD1,D,James Sherow,0
Sherman,Itasca,Congress 1,CD1,D,James Sherow,27
Sherman,Lincoln,Congress 1,CD1,D,James Sherow,7
Sherman,Llanos,Congress 1,CD1,D,James Sherow,3
Sherman,Logan,Congress 1,CD1,D,James Sherow,15
Sherman,McPherson,Congress 1,CD1,D,James Sherow,2
Sherman,Shermanville,Congress 1,CD1,D,James Sherow,0
Sherman,Smoky,Congress 1,CD1,D,James Sherow,2
Sherman,State Line,Congress 1,CD1,D,James Sherow,3
Sherman,Union,Congress 1,CD1,D,James Sherow,2
Sherman,Voltaire,Congress 1,CD1,D,James Sherow,22
Sherman,Washington,Congress 1,CD1,D,James Sherow,2
Sherman,Kanorado,Congress 1,CD1,D,James Sherow,10
Sherman,Goodland W1,Governor,,R,Sam Brownback,294
Sherman,Goodland W2,Governor,,R,Sam Brownback,141
Sherman,Goodland W3,Governor,,R,Sam Brownback,164
Sherman,Goodland W4,Governor,,R,Sam Brownback,269
Sherman,Grant,Governor,,R,Sam Brownback,23
Sherman,Iowa,Governor,,R,Sam Brownback,13
Sherman,Itasca,Governor,,R,Sam Brownback,98
Sherman,Lincoln,Governor,,R,Sam Brownback,27
Sherman,Llanos,Governor,,R,Sam Brownback,18
Sherman,Logan,Governor,,R,Sam Brownback,87
Sherman,McPherson,Governor,,R,Sam Brownback,23
Sherman,Shermanville,Governor,,R,Sam Brownback,11
Sherman,Smoky,Governor,,R,Sam Brownback,23
Sherman,State Line,Governor,,R,Sam Brownback,32
Sherman,Union,Governor,,R,Sam Brownback,27
Sherman,Voltaire,Governor,,R,Sam Brownback,150
Sherman,Washington,Governor,,R,Sam Brownback,29
Sherman,Kanorado,Governor,,R,Sam Brownback,24
Sherman,Goodland W1,Governor,,D,Paul Davis,120
Sherman,Goodland W2,Governor,,D,Paul Davis,56
Sherman,Goodland W3,Governor,,D,Paul Davis,63
Sherman,Goodland W4,Governor,,D,Paul Davis,119
Sherman,Grant,Governor,,D,Paul Davis,7
Sherman,Iowa,Governor,,D,Paul Davis,0
Sherman,Itasca,Governor,,D,Paul Davis,31
Sherman,Lincoln,Governor,,D,Paul Davis,10
Sherman,Llanos,Governor,,D,Paul Davis,3
Sherman,Logan,Governor,,D,Paul Davis,19
Sherman,McPherson,Governor,,D,Paul Davis,1
Sherman,Shermanville,Governor,,D,Paul Davis,0
Sherman,Smoky,Governor,,D,Paul Davis,4
Sherman,State Line,Governor,,D,Paul Davis,7
Sherman,Union,Governor,,D,Paul Davis,2
Sherman,Voltaire,Governor,,D,Paul Davis,23
Sherman,Washington,Governor,,D,Paul Davis,5
Sherman,Kanorado,Governor,,D,Paul Davis,9
Sherman,Goodland W1,Governor,,L,Keen Umbehr,19
Sherman,Goodland W2,Governor,,L,Keen Umbehr,12
Sherman,Goodland W3,Governor,,L,Keen Umbehr,11
Sherman,Goodland W4,Governor,,L,Keen Umbehr,21
Sherman,Grant,Governor,,L,Keen Umbehr,2
Sherman,Iowa,Governor,,L,Keen Umbehr,0
Sherman,Itasca,Governor,,L,Keen Umbehr,4
Sherman,Lincoln,Governor,,L,Keen Umbehr,0
Sherman,Llanos,Governor,,L,Keen Umbehr,1
Sherman,Logan,Governor,,L,Keen Umbehr,1
Sherman,McPherson,Governor,,L,Keen Umbehr,0
Sherman,Shermanville,Governor,,L,Keen Umbehr,0
Sherman,Smoky,Governor,,L,Keen Umbehr,2
Sherman,State Line,Governor,,L,Keen Umbehr,0
Sherman,Union,Governor,,L,Keen Umbehr,0
Sherman,Voltaire,Governor,,L,Keen Umbehr,4
Sherman,Washington,Governor,,L,Keen Umbehr,1
Sherman,Kanorado,Governor,,L,Keen Umbehr,2
Sherman,Goodland W1,SEC,,R,Kris Kobach,324
Sherman,Goodland W2,SEC,,R,Kris Kobach,163
Sherman,Goodland W3,SEC,,R,Kris Kobach,179
Sherman,Goodland W4,SEC,,R,Kris Kobach,312
Sherman,Grant,SEC,,R,Kris Kobach,27
Sherman,Iowa,SEC,,R,Kris Kobach,13
Sherman,Itasca,SEC,,R,Kris Kobach,100
Sherman,Lincoln,SEC,,R,Kris Kobach,27
Sherman,Llanos,SEC,,R,Kris Kobach,18
Sherman,Logan,SEC,,R,Kris Kobach,92
Sherman,McPherson,SEC,,R,Kris Kobach,22
Sherman,Shermanville,SEC,,R,Kris Kobach,10
Sherman,Smoky,SEC,,R,Kris Kobach,27
Sherman,State Line,SEC,,R,Kris Kobach,31
Sherman,Union,SEC,,R,Kris Kobach,28
Sherman,Voltaire,SEC,,R,Kris Kobach,161
Sherman,Washington,SEC,,R,Kris Kobach,32
Sherman,Kanorado,SEC,,R,Kris Kobach,25
Sherman,Goodland W1,SEC,,D,Jean Schodorf,102
Sherman,Goodland W2,SEC,,D,Jean Schodorf,47
Sherman,Goodland W3,SEC,,D,Jean Schodorf,54
Sherman,Goodland W4,SEC,,D,Jean Schodorf,91
Sherman,Grant,SEC,,D,Jean Schodorf,5
Sherman,Iowa,SEC,,D,Jean Schodorf,0
Sherman,Itasca,SEC,,D,Jean Schodorf,27
Sherman,Lincoln,SEC,,D,Jean Schodorf,11
Sherman,Llanos,SEC,,D,Jean Schodorf,4
Sherman,Logan,SEC,,D,Jean Schodorf,11
Sherman,McPherson,SEC,,D,Jean Schodorf,2
Sherman,Shermanville,SEC,,D,Jean Schodorf,1
Sherman,Smoky,SEC,,D,Jean Schodorf,2
Sherman,State Line,SEC,,D,Jean Schodorf,4
Sherman,Union,SEC,,D,Jean Schodorf,1
Sherman,Voltaire,SEC,,D,Jean Schodorf,16
Sherman,Washington,SEC,,D,Jean Schodorf,2
Sherman,Kanorado,SEC,,D,Jean Schodorf,10
Sherman,Goodland W1,ATTY,,R,Derek Schmidt,345
Sherman,Goodland W2,ATTY,,R,Derek Schmidt,164
Sherman,Goodland W3,ATTY,,R,Derek Schmidt,181
Sherman,Goodland W4,ATTY,,R,Derek Schmidt,329
Sherman,Grant,ATTY,,R,Derek Schmidt,24
Sherman,Iowa,ATTY,,R,Derek Schmidt,13
Sherman,Itasca,ATTY,,R,Derek Schmidt,104
Sherman,Lincoln,ATTY,,R,Derek Schmidt,26
Sherman,Llanos,ATTY,,R,Derek Schmidt,18
Sherman,Logan,ATTY,,R,Derek Schmidt,94
Sherman,McPherson,ATTY,,R,Derek Schmidt,21
Sherman,Shermanville,ATTY,,R,Derek Schmidt,11
Sherman,Smoky,ATTY,,R,Derek Schmidt,25
Sherman,State Line,ATTY,,R,Derek Schmidt,31
Sherman,Union,ATTY,,R,Derek Schmidt,28
Sherman,Voltaire,ATTY,,R,Derek Schmidt,155
Sherman,Washington,ATTY,,R,Derek Schmidt,32
Sherman,Kanorado,ATTY,,R,Derek Schmidt,24
Sherman,Goodland W1,ATTY,,D,A J Kotich,77
Sherman,Goodland W2,ATTY,,D,A J Kotich,40
Sherman,Goodland W3,ATTY,,D,A J Kotich,43
Sherman,Goodland W4,ATTY,,D,A J Kotich,69
Sherman,Grant,ATTY,,D,A J Kotich,7
Sherman,Iowa,ATTY,,D,A J Kotich,0
Sherman,Itasca,ATTY,,D,A J Kotich,23
Sherman,Lincoln,ATTY,,D,A J Kotich,11
Sherman,Llanos,ATTY,,D,A J Kotich,3
Sherman,Logan,ATTY,,D,A J Kotich,8
Sherman,McPherson,ATTY,,D,A J Kotich,2
Sherman,Shermanville,ATTY,,D,A J Kotich,0
Sherman,Smoky,ATTY,,D,A J Kotich,1
Sherman,State Line,ATTY,,D,A J Kotich,3
Sherman,Union,ATTY,,D,A J Kotich,1
Sherman,Voltaire,ATTY,,D,A J Kotich,18
Sherman,Washington,ATTY,,D,A J Kotich,2
Sherman,Kanorado,ATTY,,D,A J Kotich,9
Sherman,Goodland W1,TREAS,,R,Ron Estes,338
Sherman,Goodland W2,TREAS,,R,Ron Estes,167
Sherman,Goodland W3,TREAS,,R,Ron Estes,184
Sherman,Goodland W4,TREAS,,R,Ron Estes,342
Sherman,Grant,TREAS,,R,Ron Estes,25
Sherman,Iowa,TREAS,,R,Ron Estes,12
Sherman,Itasca,TREAS,,R,Ron Estes,112
Sherman,Lincoln,TREAS,,R,Ron Estes,28
Sherman,Llanos,TREAS,,R,Ron Estes,19
Sherman,Logan,TREAS,,R,Ron Estes,93
Sherman,McPherson,TREAS,,R,Ron Estes,23
Sherman,Shermanville,TREAS,,R,Ron Estes,10
Sherman,Smoky,TREAS,,R,Ron Estes,26
Sherman,State Line,TREAS,,R,Ron Estes,30
Sherman,Union,TREAS,,R,Ron Estes,28
Sherman,Voltaire,TREAS,,R,Ron Estes,165
Sherman,Washington,TREAS,,R,Ron Estes,32
Sherman,Kanorado,TREAS,,R,Ron Estes,27
Sherman,Goodland W1,TREAS,,D,Carmen Alldritt,83
Sherman,Goodland W2,TREAS,,D,Carmen Alldritt,35
Sherman,Goodland W3,TREAS,,D,Carmen Alldritt,43
Sherman,Goodland W4,TREAS,,D,Carmen Alldritt,59
Sherman,Grant,TREAS,,D,Carmen Alldritt,6
Sherman,Iowa,TREAS,,D,Carmen Alldritt,0
Sherman,Itasca,TREAS,,D,Carmen Alldritt,16
Sherman,Lincoln,TREAS,,D,Carmen Alldritt,10
Sherman,Llanos,TREAS,,D,Carmen Alldritt,2
Sherman,Logan,TREAS,,D,Carmen Alldritt,8
Sherman,McPherson,TREAS,,D,Carmen Alldritt,1
Sherman,Shermanville,TREAS,,D,Carmen Alldritt,1
Sherman,Smoky,TREAS,,D,Carmen Alldritt,1
Sherman,State Line,TREAS,,D,Carmen Alldritt,3
Sherman,Union,TREAS,,D,Carmen Alldritt,1
Sherman,Voltaire,TREAS,,D,Carmen Alldritt,12
Sherman,Washington,TREAS,,D,Carmen Alldritt,3
Sherman,Kanorado,TREAS,,D,Carmen Alldritt,8
Sherman,Goodland W1,INS,,R,Ron Selzer,326
Sherman,Goodland W2,INS,,R,Ron Selzer,156
Sherman,Goodland W3,INS,,R,Ron Selzer,172
Sherman,Goodland W4,INS,,R,Ron Selzer,312
Sherman,Grant,INS,,R,Ron Selzer,24
Sherman,Iowa,INS,,R,Ron Selzer,12
Sherman,Itasca,INS,,R,Ron Selzer,101
Sherman,Lincoln,INS,,R,Ron Selzer,27
Sherman,Llanos,INS,,R,Ron Selzer,19
Sherman,Logan,INS,,R,Ron Selzer,91
Sherman,McPherson,INS,,R,Ron Selzer,22
Sherman,Shermanville,INS,,R,Ron Selzer,11
Sherman,Smoky,INS,,R,Ron Selzer,24
Sherman,State Line,INS,,R,Ron Selzer,30
Sherman,Union,INS,,R,Ron Selzer,27
Sherman,Voltaire,INS,,R,Ron Selzer,155
Sherman,Washington,INS,,R,Ron Selzer,30
Sherman,Kanorado,INS,,R,Ron Selzer,23
Sherman,Goodland W1,INS,,D,Dennis Anderson,88
Sherman,Goodland W2,INS,,D,Dennis Anderson,42
Sherman,Goodland W3,INS,,D,Dennis Anderson,46
Sherman,Goodland W4,INS,,D,Dennis Anderson,81
Sherman,Grant,INS,,D,Dennis Anderson,5
Sherman,Iowa,INS,,D,Dennis Anderson,0
Sherman,Itasca,INS,,D,Dennis Anderson,25
Sherman,Lincoln,INS,,D,Dennis Anderson,11
Sherman,Llanos,INS,,D,Dennis Anderson,3
Sherman,Logan,INS,,D,Dennis Anderson,10
Sherman,McPherson,INS,,D,Dennis Anderson,2
Sherman,Shermanville,INS,,D,Dennis Anderson,0
Sherman,Smoky,INS,,D,Dennis Anderson,2
Sherman,State Line,INS,,D,Dennis Anderson,4
Sherman,Union,INS,,D,Dennis Anderson,1
Sherman,Voltaire,INS,,D,Dennis Anderson,13
Sherman,Washington,INS,,D,Dennis Anderson,4
Sherman,Kanorado,INS,,D,Dennis Anderson,10
Sherman,Goodland W1,SR120,H120,R,Rick Billinger [R],390
Sherman,Goodland W2,SR120,H120,R,Rick Billinger [R],196
Sherman,Goodland W3,SR120,H120,R,Rick Billinger [R],217
Sherman,Goodland W4,SR120,H120,R,Rick Billinger [R],388
Sherman,Grant,SR120,H120,R,Rick Billinger [R],27
Sherman,Iowa,SR120,H120,R,Rick Billinger [R],12
Sherman,Itasca,SR120,H120,R,Rick Billinger [R],125
Sherman,Lincoln,SR120,H120,R,Rick Billinger [R],32
Sherman,Llanos,SR120,H120,R,Rick Billinger [R],22
Sherman,Logan,SR120,H120,R,Rick Billinger [R],101
Sherman,McPherson,SR120,H120,R,Rick Billinger [R],23
Sherman,Shermanville,SR120,H120,R,Rick Billinger [R],11
Sherman,Smoky,SR120,H120,R,Rick Billinger [R],28
Sherman,State Line,SR120,H120,R,Rick Billinger [R],39
Sherman,Union,SR120,H120,R,Rick Billinger [R],29
Sherman,Voltaire,SR120,H120,R,Rick Billinger [R],162
Sherman,Washington,SR120,H120,R,Rick Billinger [R],34
Sherman,Kanorado,SR120,H120,R,Rick Billinger [R],31
Sherman,Goodland W1,SR120,H120,wri,write-ins,6
Sherman,Goodland W2,SR120,H120,wri,write-ins,1
Sherman,Goodland W3,SR120,H120,wri,write-ins,1
Sherman,Goodland W4,SR120,H120,wri,write-ins,1
Sherman,Voltaire,SR120,H120,wri,write-ins,2
Sherman,Goodland W2,U S Senate,,wri,Jean Schodorf [wri],1
Sherman,Goodland W4,U S Senate,,wri,write-ins [wri],1
Sherman,Itasca,Congress 1,CD1,wri,Garret Lane [wri],1
Sherman,Voltaire,Congress 1,CD1,wri,Alan Wa Police [wri],1
Sherman,Goodland W1,Treasurer,,wri,Walter Young [wri],1
Sherman,Goodland W1,Insurance,,wri,Robert Luck [wri],1
Sherman,Goodland W4,Insurance,,wri,Robert Lamke [wri],1
