county,precinct,office,district,party,candidate,poll
Nemaha,Sabetha City Ward 1,U.S. Senate,,R,Pat Roberts,174
Nemaha,Sabetha City Ward 2,U.S. Senate,,R,Pat Roberts,185
Nemaha,Sabetha City Ward 3,U.S. Senate,,R,Pat Roberts,186
Nemaha,Sabetha City Ward 4,U.S. Senate,,R,Pat Roberts,104
Nemaha,Seneca City Ward 1,U.S. Senate,,R,Pat Roberts,131
Nemaha,Seneca City Ward 2,U.S. Senate,,R,Pat Roberts,196
Nemaha,Seneca City Ward 3,U.S. Senate,,R,Pat Roberts,220
Nemaha,Adams,U.S. Senate,,R,Pat Roberts,71
Nemaha,Berwick,U.S. Senate,,R,Pat Roberts,146
Nemaha,Capioma,U.S. Senate,,R,Pat Roberts,59
Nemaha,Center,U.S. Senate,,R,Pat Roberts,44
Nemaha,Clear Creek,U.S. Senate,,R,Pat Roberts,28
Nemaha,Gilman,U.S. Senate,,R,Pat Roberts,54
Nemaha,Granada,U.S. Senate,,R,Pat Roberts,28
Nemaha,Harrison-Goff,U.S. Senate,,R,Pat Roberts,41
Nemaha,Harrison-Kelly,U.S. Senate,,R,Pat Roberts,24
Nemaha,Home,U.S. Senate,,R,Pat Roberts,40
Nemaha,Illinois,U.S. Senate,,R,Pat Roberts,114
Nemaha,Marion Township,U.S. Senate,,R,Pat Roberts,124
Nemaha,Mitchell  Township,U.S. Senate,,R,Pat Roberts,97
Nemaha,Nemaha Township,U.S. Senate,,R,Pat Roberts,62
Nemaha,Neuchatel,U.S. Senate,,R,Pat Roberts,41
Nemaha,Red  Vermillion,U.S. Senate,,R,Pat Roberts,26
Nemaha,Reilly,U.S. Senate,,R,Pat Roberts,45
Nemaha,Richmond Township,U.S. Senate,,R,Pat Roberts,179
Nemaha,Rock Creek,U.S. Senate,,R,Pat Roberts,156
Nemaha,Washington,U.S. Senate,,R,Pat Roberts,148
Nemaha,Wetmore,U.S. Senate,,R,Pat Roberts,83
Nemaha,Centralia-Home,U.S. Senate,,R,Pat Roberts,75
Nemaha,Centralia-Illinois,U.S. Senate,,R,Pat Roberts,9
Nemaha,Sabetha City Ward 1,U.S. Senate,,I,Greg Orman,80
Nemaha,Sabetha City Ward 2,U.S. Senate,,I,Greg Orman,70
Nemaha,Sabetha City Ward 3,U.S. Senate,,I,Greg Orman,64
Nemaha,Sabetha City Ward 4,U.S. Senate,,I,Greg Orman,51
Nemaha,Seneca City Ward 1,U.S. Senate,,I,Greg Orman,79
Nemaha,Seneca City Ward 2,U.S. Senate,,I,Greg Orman,99
Nemaha,Seneca City Ward 3,U.S. Senate,,I,Greg Orman,105
Nemaha,Adams,U.S. Senate,,I,Greg Orman,15
Nemaha,Berwick,U.S. Senate,,I,Greg Orman,21
Nemaha,Capioma,U.S. Senate,,I,Greg Orman,11
Nemaha,Center,U.S. Senate,,I,Greg Orman,16
Nemaha,Clear Creek,U.S. Senate,,I,Greg Orman,18
Nemaha,Gilman,U.S. Senate,,I,Greg Orman,29
Nemaha,Granada,U.S. Senate,,I,Greg Orman,22
Nemaha,Harrison-Goff,U.S. Senate,,I,Greg Orman,17
Nemaha,Harrison-Kelly,U.S. Senate,,I,Greg Orman,18
Nemaha,Home,U.S. Senate,,I,Greg Orman,14
Nemaha,Illinois,U.S. Senate,,I,Greg Orman,48
Nemaha,Marion Township,U.S. Senate,,I,Greg Orman,55
Nemaha,Mitchell  Township,U.S. Senate,,I,Greg Orman,29
Nemaha,Nemaha Township,U.S. Senate,,I,Greg Orman,4
Nemaha,Neuchatel,U.S. Senate,,I,Greg Orman,11
Nemaha,Red  Vermillion,U.S. Senate,,I,Greg Orman,13
Nemaha,Reilly,U.S. Senate,,I,Greg Orman,14
Nemaha,Richmond Township,U.S. Senate,,I,Greg Orman,56
Nemaha,Rock Creek,U.S. Senate,,I,Greg Orman,30
Nemaha,Washington,U.S. Senate,,I,Greg Orman,32
Nemaha,Wetmore,U.S. Senate,,I,Greg Orman,53
Nemaha,Centralia-Home,U.S. Senate,,I,Greg Orman,46
Nemaha,Centralia-Illinois,U.S. Senate,,I,Greg Orman,14
Nemaha,Sabetha City Ward 1,U.S. Senate,,L,Randall Batson,7
Nemaha,Sabetha City Ward 2,U.S. Senate,,L,Randall Batson,11
Nemaha,Sabetha City Ward 3,U.S. Senate,,L,Randall Batson,8
Nemaha,Sabetha City Ward 4,U.S. Senate,,L,Randall Batson,11
Nemaha,Seneca City Ward 1,U.S. Senate,,L,Randall Batson,13
