County,Precinct,Office,Dist,Party,Candidate,Total,Poll,Adv,Prov
Norton,Almena Township,U.S. Senate,,R,Pat Roberts,151,147,4,0
Norton,Center Precinct 1,U.S. Senate,,R,Pat Roberts,199,165,33,1
Norton,Belle Plaine-Sol 1,U.S. Senate,,R,Pat Roberts,11,11,0,0
Norton,Center Precinct 2,U.S. Senate,,R,Pat Roberts,50,40,10,0
Norton,Highland Precinct 1,U.S. Senate,,R,Pat Roberts,132,124,8,0
Norton,Highland Precinct 2,U.S. Senate,,R,Pat Roberts,27,24,3,0
Norton,Highland Precinct 3,U.S. Senate,,R,Pat Roberts,28,24,3,1
Norton,Norton Ward 1,U.S. Senate,,R,Pat Roberts,209,185,23,1
Norton,Norton Ward 2,U.S. Senate,,R,Pat Roberts,278,227,47,4
Norton,Norton Ward 3,U.S. Senate,,R,Pat Roberts,211,175,32,4
Norton,Solomon Precinct 1,U.S. Senate,,R,Pat Roberts,23,23,0,0
Norton,Sandcreek-Sol 1,U.S. Senate,,R,Pat Roberts,6,4,2,0
Norton,Solomon Precinct 2,U.S. Senate,,R,Pat Roberts,14,12,2,0
Norton,NORTON KS,U.S. Senate,,R,Pat Roberts,1339,1161,167,11
Norton,Almena Township,U.S. Senate,,I,Greg Orman,34,33,1,0
Norton,Center Precinct 1,U.S. Senate,,I,Greg Orman,54,45,9,0
Norton,Belle Plaine,U.S. Senate,,I,Greg Orman,2,1,1,0
Norton,Center Precinct 2,U.S. Senate,,I,Greg Orman,9,8,1,0
Norton,Highland Precinct 1,U.S. Senate,,I,Greg Orman,33,29,4,0
Norton,Highland Precinct 2,U.S. Senate,,I,Greg Orman,8,6,2,0
Norton,Highland Precinct 3,U.S. Senate,,I,Greg Orman,4,4,0,0
Norton,Norton Ward 1,U.S. Senate,,I,Greg Orman,60,51,8,1
Norton,Norton Ward 2,U.S. Senate,,I,Greg Orman,100,67,30,3
Norton,Norton Ward 3,U.S. Senate,,I,Greg Orman,83,66,16,1
Norton,Solomon Precinct 1,U.S. Senate,,I,Greg Orman,3,2,1,0
