county,precinct,office,district,party,candidate,votes
Cow-Ark City,AC1A,Attorney General,,D,A.J. Kotich,55
Cow-Ark City,AC1B,Attorney General,,D,A.J. Kotich,31
Cow-Ark City,AC1C,Attorney General,,D,A.J. Kotich,60
Cow-Ark City,AC1D,Attorney General,,D,A.J. Kotich,63
Cow-Ark City,AC2A,Attorney General,,D,A.J. Kotich,78
Cow-Ark City,AC2B,Attorney General,,D,A.J. Kotich,22
Cow-Ark City,AC2B-A,Attorney General,,D,A.J. Kotich,23
Cow-Ark City,AC2C,Attorney General,,D,A.J. Kotich,11
Cow-Ark City,AC2D,Attorney General,,D,A.J. Kotich,20
Cow-Ark City,AC3A,Attorney General,,D,A.J. Kotich,11
Cow-Ark City,AC3B,Attorney General,,D,A.J. Kotich,20
Cow-Ark City,AC3C,Attorney General,,D,A.J. Kotich,26
Cow-Ark City,AC4A,Attorney General,,D,A.J. Kotich,82
Cow-Ark City,AC4B,Attorney General,,D,A.J. Kotich,170
Cow-Ark City,AC4C,Attorney General,,D,A.J. Kotich,71
Cow-Ark City,AC4D,Attorney General,,D,A.J. Kotich,131
Cow-Ark City,AC1A,Attorney General,,R,Derek Schmidt,86
Cow-Ark City,AC1B,Attorney General,,R,Derek Schmidt,87
Cow-Ark City,AC1C,Attorney General,,R,Derek Schmidt,138
Cow-Ark City,AC1D,Attorney General,,R,Derek Schmidt,123
Cow-Ark City,AC2A,Attorney General,,R,Derek Schmidt,192
Cow-Ark City,AC2B,Attorney General,,R,Derek Schmidt,60
Cow-Ark City,AC2B-A,Attorney General,,R,Derek Schmidt,48
Cow-Ark City,AC2C,Attorney General,,R,Derek Schmidt,18
Cow-Ark City,AC2D,Attorney General,,R,Derek Schmidt,17
Cow-Ark City,AC3A,Attorney General,,R,Derek Schmidt,34
Cow-Ark City,AC3B,Attorney General,,R,Derek Schmidt,45
Cow-Ark City,AC3C,Attorney General,,R,Derek Schmidt,37
Cow-Ark City,AC4A,Attorney General,,R,Derek Schmidt,122
Cow-Ark City,AC4B,Attorney General,,R,Derek Schmidt,284
Cow-Ark City,AC4C,Attorney General,,R,Derek Schmidt,112
Cow-Ark City,AC4D,Attorney General,,R,Derek Schmidt,236
Cow-Ark City,AC1A,Governor,,L,Keen A. Umbehr,9
Cow-Ark City,AC1B,Governor,,L,Keen A. Umbehr,9
Cow-Ark City,AC1C,Governor,,L,Keen A. Umbehr,10
Cow-Ark City,AC1D,Governor,,L,Keen A. Umbehr,9
Cow-Ark City,AC2A,Governor,,L,Keen A. Umbehr,13
Cow-Ark City,AC2B,Governor,,L,Keen A. Umbehr,4
Cow-Ark City,AC2B-A,Governor,,L,Keen A. Umbehr,1
Cow-Ark City,AC2C,Governor,,L,Keen A. Umbehr,4
Cow-Ark City,AC2D,Governor,,L,Keen A. Umbehr,4
Cow-Ark City,AC3A,Governor,,L,Keen A. Umbehr,2
Cow-Ark City,AC3B,Governor,,L,Keen A. Umbehr,2
Cow-Ark City,AC3C,Governor,,L,Keen A. Umbehr,3
Cow-Ark City,AC4A,Governor,,L,Keen A. Umbehr,7
Cow-Ark City,AC4B,Governor,,L,Keen A. Umbehr,21
Cow-Ark City,AC4C,Governor,,L,Keen A. Umbehr,8
Cow-Ark City,AC4D,Governor,,L,Keen A. Umbehr,31
Cow-Ark City,AC1A,Governor,,D,Paul Davis,79
Cow-Ark City,AC1B,Governor,,D,Paul Davis,63
Cow-Ark City,AC1C,Governor,,D,Paul Davis,101
Cow-Ark City,AC1D,Governor,,D,Paul Davis,115
Cow-Ark City,AC2A,Governor,,D,Paul Davis,132
Cow-Ark City,AC2B,Governor,,D,Paul Davis,40
Cow-Ark City,AC2B-A,Governor,,D,Paul Davis,35
Cow-Ark City,AC2C,Governor,,D,Paul Davis,13
Cow-Ark City,AC2D,Governor,,D,Paul Davis,18
Cow-Ark City,AC3A,Governor,,D,Paul Davis,24
Cow-Ark City,AC3B,Governor,,D,Paul Davis,35
Cow-Ark City,AC3C,Governor,,D,Paul Davis,29
Cow-Ark City,AC4A,Governor,,D,Paul Davis,119
Cow-Ark City,AC4B,Governor,,D,Paul Davis,241
Cow-Ark City,AC4C,Governor,,D,Paul Davis,106
Cow-Ark City,AC4D,Governor,,D,Paul Davis,189
Cow-Ark City,AC1A,Governor,,R,Sam Brownback,56
Cow-Ark City,AC1B,Governor,,R,Sam Brownback,52
Cow-Ark City,AC1C,Governor,,R,Sam Brownback,89
Cow-Ark City,AC1D,Governor,,R,Sam Brownback,68
Cow-Ark City,AC2A,Governor,,R,Sam Brownback,132
Cow-Ark City,AC2B,Governor,,R,Sam Brownback,41
Cow-Ark City,AC2B-A,Governor,,R,Sam Brownback,35
Cow-Ark City,AC2C,Governor,,R,Sam Brownback,12
Cow-Ark City,AC2D,Governor,,R,Sam Brownback,16
Cow-Ark City,AC3A,Governor,,R,Sam Brownback,21
Cow-Ark City,AC3B,Governor,,R,Sam Brownback,29
Cow-Ark City,AC3C,Governor,,R,Sam Brownback,31
Cow-Ark City,AC4A,Governor,,R,Sam Brownback,81
Cow-Ark City,AC4B,Governor,,R,Sam Brownback,199
Cow-Ark City,AC4C,Governor,,R,Sam Brownback,71
Cow-Ark City,AC4D,Governor,,R,Sam Brownback,157
Cow-Ark City,AC1A,Insurance Commissioner,,D,Dennis Anderson,63
Cow-Ark City,AC1B,Insurance Commissioner,,D,Dennis Anderson,45
Cow-Ark City,AC1C,Insurance Commissioner,,D,Dennis Anderson,77
Cow-Ark City,AC1D,Insurance Commissioner,,D,Dennis Anderson,80
Cow-Ark City,AC2A,Insurance Commissioner,,D,Dennis Anderson,88
Cow-Ark City,AC2B,Insurance Commissioner,,D,Dennis Anderson,26
Cow-Ark City,AC2B-A,Insurance Commissioner,,D,Dennis Anderson,27
Cow-Ark City,AC2C,Insurance Commissioner,,D,Dennis Anderson,14
Cow-Ark City,AC2D,Insurance Commissioner,,D,Dennis Anderson,19
Cow-Ark City,AC3A,Insurance Commissioner,,D,Dennis Anderson,17
Cow-Ark City,AC3B,Insurance Commissioner,,D,Dennis Anderson,31
Cow-Ark City,AC3C,Insurance Commissioner,,D,Dennis Anderson,24
Cow-Ark City,AC4A,Insurance Commissioner,,D,Dennis Anderson,101
Cow-Ark City,AC4B,Insurance Commissioner,,D,Dennis Anderson,197
Cow-Ark City,AC4C,Insurance Commissioner,,D,Dennis Anderson,82
Cow-Ark City,AC4D,Insurance Commissioner,,D,Dennis Anderson,147
Cow-Ark City,AC1A,Insurance Commissioner,,R,Ken Selzer,74
Cow-Ark City,AC1B,Insurance Commissioner,,R,Ken Selzer,74
Cow-Ark City,AC1C,Insurance Commissioner,,R,Ken Selzer,119
Cow-Ark City,AC1D,Insurance Commissioner,,R,Ken Selzer,106
Cow-Ark City,AC2A,Insurance Commissioner,,R,Ken Selzer,182
Cow-Ark City,AC2B,Insurance Commissioner,,R,Ken Selzer,58
Cow-Ark City,AC2B-A,Insurance Commissioner,,R,Ken Selzer,42
Cow-Ark City,AC2C,Insurance Commissioner,,R,Ken Selzer,15
Cow-Ark City,AC2D,Insurance Commissioner,,R,Ken Selzer,18
Cow-Ark City,AC3A,Insurance Commissioner,,R,Ken Selzer,29
Cow-Ark City,AC3B,Insurance Commissioner,,R,Ken Selzer,33
Cow-Ark City,AC3C,Insurance Commissioner,,R,Ken Selzer,39
Cow-Ark City,AC4A,Insurance Commissioner,,R,Ken Selzer,102
Cow-Ark City,AC4B,Insurance Commissioner,,R,Ken Selzer,250
Cow-Ark City,AC4C,Insurance Commissioner,,R,Ken Selzer,95
Cow-Ark City,AC4D,Insurance Commissioner,,R,Ken Selzer,218
Cow-Ark City,AC1A,Secretary of State,,D,Jean Kurtis Schodorf,68
Cow-Ark City,AC1B,Secretary of State,,D,Jean Kurtis Schodorf,46
Cow-Ark City,AC1C,Secretary of State,,D,Jean Kurtis Schodorf,87
Cow-Ark City,AC1D,Secretary of State,,D,Jean Kurtis Schodorf,90
Cow-Ark City,AC2A,Secretary of State,,D,Jean Kurtis Schodorf,121
Cow-Ark City,AC2B,Secretary of State,,D,Jean Kurtis Schodorf,33
Cow-Ark City,AC2B-A,Secretary of State,,D,Jean Kurtis Schodorf,27
Cow-Ark City,AC2C,Secretary of State,,D,Jean Kurtis Schodorf,16
Cow-Ark City,AC2D,Secretary of State,,D,Jean Kurtis Schodorf,20
Cow-Ark City,AC3A,Secretary of State,,D,Jean Kurtis Schodorf,18
Cow-Ark City,AC3B,Secretary of State,,D,Jean Kurtis Schodorf,33
Cow-Ark City,AC3C,Secretary of State,,D,Jean Kurtis Schodorf,23
Cow-Ark City,AC4A,Secretary of State,,D,Jean Kurtis Schodorf,104
Cow-Ark City,AC4B,Secretary of State,,D,Jean Kurtis Schodorf,220
