county,precinct,office,district,party,candidate,votes,advance,polls
Miami,EMC(2),Voters,,,Registered,178,,
Miami,EMC(3),Voters,,,Registered,588,,
Miami,EV,Voters,,,Registered,300,,
Miami,FC,Voters,,,Registered,104,,
Miami,LC 01,Voters,,,Registered,564,,
Miami,LC 02,Voters,,,Registered,725,,
Miami,LC 03,Voters,,,Registered,705,,
Miami,LC 04,Voters,,,Registered,657,,
Miami,MI,Voters,,,Registered,380,,
Miami,MND,Voters,,,Registered,477,,
Miami,NMV(2),Voters,,,Registered,190,,
Miami,NMV(3),Voters,,,Registered,555,,
Miami,NPW,Voters,,,Registered,328,,
Miami,NPE Prt1,Voters,,,Registered,14,,
Miami,NPE Prt2,Voters,,,Registered,105,,
Miami,NW,Voters,,,Registered,457,,
Miami,OSAGE,Voters,,,Registered,312,,
Miami,OC 01,Voters,,,Registered,468,,
Miami,OC 02,Voters,,,Registered,593,,
Miami,OC 03,Voters,,,Registered,633,,
Miami,OC 04,Voters,,,Registered,481,,
Miami,OSA TWP,Voters,,,Registered,481,,
Miami,PC 01,Voters,,,Registered,846,,
Miami,PC 02,Voters,,,Registered,836,,
Miami,PC 03,Voters,,,Registered,842,,
Miami,PC 04,Voters,,,Registered,943,,
Miami,RICH,Voters,,,Registered,1413,,
Miami,SMV(3),Voters,,,Registered,21,,
Miami,SMV(2),Voters,,,Registered,950,,
Miami,SPE Prt2,Voters,,,Registered,136,,
Miami,SPW,Voters,,,Registered,220,,
Miami,SW,Voters,,,Registered,996,,
Miami,SH 01,Voters,,,Registered,1107,,
Miami,SH 02,Voters,,,Registered,292,,
Miami,SH 03,Voters,,,Registered,69,,
Miami,STAN 368,Voters,,,Registered,439,,
Miami,STAN 367,Voters,,,Registered,194,,
Miami,SC,Voters,,,Registered,319,,
Miami,TM,Voters,,,Registered,1007,,
Miami,WMC 416,Voters,,,Registered,139,,
Miami,WMC 368,Voters,,,Registered,394,,
Miami,WV(6),Voters,,,Registered,184,,
Miami,WV(12) 368,Voters,,,Registered,95,,
Miami,WV(12) 367,Voters,,,Registered,187,,
Miami,WV(5),Voters,,,Registered,201,,
Miami,EMC(2),Voters,,,Cast,92,,
Miami,EMC(3),Voters,,,Cast,336,,
Miami,EV,Voters,,,Cast,177,,
