county,precinct,office,district,party,candidate,votes,early,advance,poll,provisional
Cherokee,0001 Baxter Sprs W1,Attorney General,,DEM,A.J. Kotich,54,1,8,42,3
Cherokee,0002 Baxter Sprs W2,Attorney General,,DEM,A.J. Kotich,43,2,5,32,4
Cherokee,0003 Baxter Sprs W3,Attorney General,,DEM,A.J. Kotich,117,7,12,95,3
Cherokee,0004 Baxter Sprs W4,Attorney General,,DEM,A.J. Kotich,62,5,7,46,4
Cherokee,0005 Columbus W1,Attorney General,,DEM,A.J. Kotich,45,6,5,33,1
Cherokee,0006 Columbus W2,Attorney General,,DEM,A.J. Kotich,70,7,13,50,0
Cherokee,0007 Columbus W3,Attorney General,,DEM,A.J. Kotich,57,6,12,37,2
Cherokee,0008 Columbus W4,Attorney General,,DEM,A.J. Kotich,45,4,11,30,0
Cherokee,0009 Columbus W5,Attorney General,,DEM,A.J. Kotich,68,5,19,44,0
Cherokee,0010 Galena W1,Attorney General,,DEM,A.J. Kotich,61,4,9,44,4
Cherokee,0011 Galena W2,Attorney General,,DEM,A.J. Kotich,41,0,6,35,0
Cherokee,0012 Galena W3,Attorney General,,DEM,A.J. Kotich,63,0,9,51,3
Cherokee,0013 Galena W4,Attorney General,,DEM,A.J. Kotich,32,0,3,29,0
Cherokee,0014 Scammon W1,Attorney General,,DEM,A.J. Kotich,20,2,0,17,1
Cherokee,0015 Scammon W2,Attorney General,,DEM,A.J. Kotich,20,0,3,17,0
Cherokee,0016 Scammon W3,Attorney General,,DEM,A.J. Kotich,29,3,3,23,0
Cherokee,0017 Weir W1,Attorney General,,DEM,A.J. Kotich,23,1,1,20,1
Cherokee,0018 Weir W2,Attorney General,,DEM,A.J. Kotich,55,0,2,52,1
Cherokee,0019 Weir W3,Attorney General,,DEM,A.J. Kotich,27,1,4,22,0
Cherokee,0001 Baxter Sprs W1,Attorney General,,REP,Derek Schmidt,132,2,9,119,2
Cherokee,0002 Baxter Sprs W2,Attorney General,,REP,Derek Schmidt,95,3,6,84,2
Cherokee,0003 Baxter Sprs W3,Attorney General,,REP,Derek Schmidt,281,8,9,258,6
Cherokee,0004 Baxter Sprs W4,Attorney General,,REP,Derek Schmidt,135,6,9,114,6
Cherokee,0005 Columbus W1,Attorney General,,REP,Derek Schmidt,87,8,9,70,0
Cherokee,0006 Columbus W2,Attorney General,,REP,Derek Schmidt,185,24,16,145,0
Cherokee,0007 Columbus W3,Attorney General,,REP,Derek Schmidt,179,13,15,151,0
Cherokee,0008 Columbus W4,Attorney General,,REP,Derek Schmidt,97,10,8,79,0
Cherokee,0009 Columbus W5,Attorney General,,REP,Derek Schmidt,110,7,15,87,1
Cherokee,0010 Galena W1,Attorney General,,REP,Derek Schmidt,94,2,4,81,7
Cherokee,0011 Galena W2,Attorney General,,REP,Derek Schmidt,88,3,9,73,3
Cherokee,0012 Galena W3,Attorney General,,REP,Derek Schmidt,150,1,11,137,1
Cherokee,0013 Galena W4,Attorney General,,REP,Derek Schmidt,59,0,8,51,0
Cherokee,0014 Scammon W1,Attorney General,,REP,Derek Schmidt,19,1,0,18,0
Cherokee,0015 Scammon W2,Attorney General,,REP,Derek Schmidt,27,3,4,20,0
Cherokee,0016 Scammon W3,Attorney General,,REP,Derek Schmidt,32,1,3,28,0
Cherokee,0017 Weir W1,Attorney General,,REP,Derek Schmidt,23,0,0,22,1
Cherokee,0018 Weir W2,Attorney General,,REP,Derek Schmidt,47,1,6,39,1
Cherokee,0019 Weir W3,Attorney General,,REP,Derek Schmidt,34,0,6,28,0
Cherokee,0001 Baxter Sprs W1,Attorney General,,,Write-ins,1,0,0,1,0
Cherokee,0005 Columbus W1,Attorney General,,,Write-ins,1,0,0,1,0
Cherokee,,,,,,,,,,
Cherokee,0001 Baxter Sprs W1,U.S. House,2,LIB,Christopher Clemmons,12,1,0,10,1
Cherokee,0002 Baxter Sprs W2,U.S. House,2,LIB,Christopher Clemmons,21,0,0,20,1
