county,precinct,office,district,party,candidate,total,polls,advance,hand,provisional
Haskell,N Lockport,Attorney General,,D,A.J. Kotich,3,1,1,1,0
Haskell,Sub 3 H124,Attorney General,,D,A.J. Kotich,20,14,3,1,2
Haskell,Sat 2 H124,Attorney General,,D,A.J. Kotich,52,49,2,0,1
Haskell,S Lockport,Attorney General,,D,A.J. Kotich,6,5,1,0,0
Haskell,Ivanhoe,Attorney General,,D,A.J. Kotich,6,5,1,0,0
Haskell,Sub 1 122,Attorney General,,D,A.J. Kotich,2,2,0,0,0
Haskell,N Dudley,Attorney General,,D,A.J. Kotich,2,2,0,0,0
Haskell,Sub 1 H124,Attorney General,,D,A.J. Kotich,31,20,9,1,1
Haskell,Sat 1 124,Attorney General,,D,A.J. Kotich,11,9,0,0,2
Haskell,Sub 3 122,Attorney General,,D,A.J. Kotich,0,0,0,0,0
Haskell,Sat 2 122,Attorney General,,D,A.J. Kotich,2,1,1,0,0
Haskell,N Lockport,Attorney General,,R,Derek Schmidt,48,31,9,4,4
Haskell,Sub 3 H124,Attorney General,,R,Derek Schmidt,166,122,39,0,5
Haskell,Sat 2 H124,Attorney General,,R,Derek Schmidt,206,175,20,0,11
Haskell,S Lockport,Attorney General,,R,Derek Schmidt,33,31,2,0,0
Haskell,Ivanhoe,Attorney General,,R,Derek Schmidt,41,32,9,0,0
Haskell,Sub 1 122,Attorney General,,R,Derek Schmidt,17,17,0,0,0
Haskell,N Dudley,Attorney General,,R,Derek Schmidt,45,38,7,0,0
Haskell,Sub 1 H124,Attorney General,,R,Derek Schmidt,259,186,48,11,14
Haskell,Sat 1 124,Attorney General,,R,Derek Schmidt,46,38,3,2,3
Haskell,Sub 3 122,Attorney General,,R,Derek Schmidt,5,3,2,0,0
Haskell,Sat 2 122,Attorney General,,R,Derek Schmidt,17,10,7,0,0
Haskell,N Lockport,GOVERNOR,,L,Keen Umbehr,2,1,0,1,0
Haskell,Sub 3 H124,GOVERNOR,,L,Keen Umbehr,6,6,0,0,0
Haskell,Sat 2 H124,GOVERNOR,,L,Keen Umbehr,10,9,1,0,0
Haskell,S Lockport,GOVERNOR,,L,Keen Umbehr,1,0,1,0,0
Haskell,Ivanhoe,GOVERNOR,,L,Keen Umbehr,1,1,0,0,0
Haskell,Sub 1 122,GOVERNOR,,L,Keen Umbehr,2,2,0,0,0
