county,precinct,office,district,party,candidate,votes,
Morton,Cimarron,U.S. Senate,,R,Pat Roberts,22,
Morton,E Richfield,U.S. Senate,,R,Pat Roberts,27,
Morton,Elkhart W1,U.S. Senate,,R,Pat Roberts,148,
Morton,Elkhart W2,U.S. Senate,,R,Pat Roberts,129,
Morton,Elkhart W3,U.S. Senate,,R,Pat Roberts,166,
Morton,Jones,U.S. Senate,,R,Pat Roberts,9,
Morton,Rolla,U.S. Senate,,R,Pat Roberts,104,
Morton,Taloga,U.S. Senate,,R,Pat Roberts,32,
Morton,W Richfield,U.S. Senate,,R,Pat Roberts,38,
Morton,Westola,U.S. Senate,,R,Pat Roberts,24,
Morton,Cimarron,U.S. Senate,,I,Greg Orman,4,
Morton,E Richfield,U.S. Senate,,I,Greg Orman,8,
Morton,Elkhart W1,U.S. Senate,,I,Greg Orman,33,
Morton,Elkhart W2,U.S. Senate,,I,Greg Orman,30,
Morton,Elkhart W3,U.S. Senate,,I,Greg Orman,44,
Morton,Jones,U.S. Senate,,I,Greg Orman,0,
Morton,Rolla,U.S. Senate,,I,Greg Orman,46,
Morton,Taloga,U.S. Senate,,I,Greg Orman,3,
Morton,W Richfield,U.S. Senate,,I,Greg Orman,3,
Morton,Westola,U.S. Senate,,I,Greg Orman,5,
Morton,Cimarron,U.S. Senate,,L,Randall Batson,0,
Morton,E Richfield,U.S. Senate,,L,Randall Batson,2,
Morton,Elkhart W1,U.S. Senate,,L,Randall Batson,9,
Morton,Elkhart W2,U.S. Senate,,L,Randall Batson,10,
Morton,Elkhart W3,U.S. Senate,,L,Randall Batson,8,
Morton,Jones,U.S. Senate,,L,Randall Batson,0,
Morton,Rolla,U.S. Senate,,L,Randall Batson,4,
Morton,Taloga,U.S. Senate,,L,Randall Batson,2,
Morton,W Richfield,U.S. Senate,,L,Randall Batson,0,
Morton,Westola,U.S. Senate,,L,Randall Batson,0,
Morton,Cimarron,U.S. House 1,1,R,Tim Huelskamp,22,
Morton,E Richfield,U.S. House 1,1,R,Tim Huelskamp,27,
Morton,Elkhart W1,U.S. House 1,1,R,Tim Huelskamp,161,
Morton,Elkhart W2,U.S. House 1,1,R,Tim Huelskamp,139,
Morton,Elkhart W3,U.S. House 1,1,R,Tim Huelskamp,181,
Morton,Jones,U.S. House 1,1,R,Tim Huelskamp,9,
Morton,Rolla,U.S. House 1,1,R,Tim Huelskamp,121,
Morton,Taloga,U.S. House 1,1,R,Tim Huelskamp,34,
Morton,W Richfield,U.S. House 1,1,R,Tim Huelskamp,40,
Morton,Westola,U.S. House 1,1,R,Tim Huelskamp,26,
Morton,Cimarron,U.S. House 1,1,D,James Sherow,4,
Morton,E Richfield,U.S. House 1,1,D,James Sherow,9,
Morton,Elkhart W1,U.S. House 1,1,D,James Sherow,30,
Morton,Elkhart W2,U.S. House 1,1,D,James Sherow,32,
Morton,Elkhart W3,U.S. House 1,1,D,James Sherow,36,
Morton,Jones,U.S. House 1,1,D,James Sherow,0,
Morton,Rolla,U.S. House 1,1,D,James Sherow,32,
Morton,Taloga,U.S. House 1,1,D,James Sherow,3,
Morton,W Richfield,U.S. House 1,1,D,James Sherow,1,
Morton,Westola,U.S. House 1,1,D,James Sherow,3,
Morton,Cimarron,Governor,,R,Sam Brownback,18,
Morton,E Richfield,Governor,,R,Sam Brownback,19,
Morton,Elkhart W1,Governor,,R,Sam Brownback,117,
Morton,Elkhart W2,Governor,,R,Sam Brownback,119,
Morton,Elkhart W3,Governor,,R,Sam Brownback,133,
Morton,Jones,Governor,,R,Sam Brownback,8,
Morton,Rolla,Governor,,R,Sam Brownback,91,
Morton,Taloga,Governor,,R,Sam Brownback,34,
Morton,W Richfield,Governor,,R,Sam Brownback,37,
Morton,Westola,Governor,,R,Sam Brownback,21,
Morton,Cimarron,Governor,,D,Paul Davis,5,
Morton,E Richfield,Governor,,D,Paul Davis,15,
Morton,Elkhart W1,Governor,,D,Paul Davis,59,
Morton,Elkhart W2,Governor,,D,Paul Davis,46,
Morton,Elkhart W3,Governor,,D,Paul Davis,69,
Morton,Jones,Governor,,D,Paul Davis,1,
Morton,Rolla,Governor,,D,Paul Davis,58,
Morton,Taloga,Governor,,D,Paul Davis,4,
Morton,W Richfield,Governor,,D,Paul Davis,3,
Morton,Westola,Governor,,D,Paul Davis,8,
Morton,Cimarron,Governor,,L,Keen Umbehr,2,
Morton,E Richfield,Governor,,L,Keen Umbehr,1,
Morton,Elkhart W1,Governor,,L,Keen Umbehr,10,
Morton,Elkhart W2,Governor,,L,Keen Umbehr,8,
Morton,Elkhart W3,Governor,,L,Keen Umbehr,13,
Morton,Jones,Governor,,L,Keen Umbehr,0,
Morton,Rolla,Governor,,L,Keen Umbehr,5,
Morton,Taloga,Governor,,L,Keen Umbehr,1,
Morton,W Richfield,Governor,,L,Keen Umbehr,1,
Morton,Westola,Governor,,L,Keen Umbehr,0,
Morton,Cimarron,Secretary of State,,R,Kris Kobach,23,
Morton,E Richfield,Secretary of State,,R,Kris Kobach,22,
Morton,Elkhart W1,Secretary of State,,R,Kris Kobach,156,
Morton,Elkhart W2,Secretary of State,,R,Kris Kobach,137,
Morton,Elkhart W3,Secretary of State,,R,Kris Kobach,176,
Morton,Jones,Secretary of State,,R,Kris Kobach,9,
Morton,Rolla,Secretary of State,,R,Kris Kobach,126,
Morton,Taloga,Secretary of State,,R,Kris Kobach,35,
Morton,W Richfield,Secretary of State,,R,Kris Kobach,40,
Morton,Westola,Secretary of State,,R,Kris Kobach,26,
Morton,Cimarron,Secretary of State,,D,Jean Schodorf,4,
Morton,E Richfield,Secretary of State,,D,Jean Schodorf,12,
Morton,Elkhart W1,Secretary of State,,D,Jean Schodorf,34,
Morton,Elkhart W2,Secretary of State,,D,Jean Schodorf,35,
Morton,Elkhart W3,Secretary of State,,D,Jean Schodorf,40,
Morton,Jones,Secretary of State,,D,Jean Schodorf,0,
Morton,Rolla,Secretary of State,,D,Jean Schodorf,28,
Morton,Taloga,Secretary of State,,D,Jean Schodorf,3,
Morton,W Richfield,Secretary of State,,D,Jean Schodorf,1,
Morton,Westola,Secretary of State,,D,Jean Schodorf,3,
Morton,Cimarron,Attorney General,,R,Derek Schmidt,22,
Morton,E Richfield,Attorney General,,R,Derek Schmidt,26,
Morton,Elkhart W1,Attorney General,,R,Derek Schmidt,165,
Morton,Elkhart W2,Attorney General,,R,Derek Schmidt,152,
Morton,Elkhart W3,Attorney General,,R,Derek Schmidt,177,
Morton,Jones,Attorney General,,R,Derek Schmidt,9,
