COUNTY,PRECINCT,,,,,
Mitchell,Round Spr,Congress 1,CD1,D,James Sherow,2
Mitchell,Center,Congress 1,CD1,D,James Sherow,5
Mitchell,Solomon,Congress 1,CD1,D,James Sherow,8
Mitchell,Turkey Ck,Congress 1,CD1,D,James Sherow,16
Mitchell,Salt Ck,Congress 1,CD1,D,James Sherow,0
Mitchell,Bloomfield,Congress 1,CD1,D,James Sherow,6
Mitchell,Plum Ck,Congress 1,CD1,D,James Sherow,7
Mitchell,Eureka,Congress 1,CD1,D,James Sherow,4
Mitchell,Logan,Congress 1,CD1,D,James Sherow,8
Mitchell,Asherville,Congress 1,CD1,D,James Sherow,10
Mitchell,Lulu,Congress 1,CD1,D,James Sherow,2
Mitchell,Prov,Congress 1,CD1,D,James Sherow,7
Mitchell,Ward 1,Governor,,R,Sam Brownback,112
Mitchell,Ward 2,Governor,,R,Sam Brownback,210
Mitchell,Ward 3,Governor,,R,Sam Brownback,216
Mitchell,Ward 4,Governor,,R,Sam Brownback,166
Mitchell,Beloit,Governor,,R,Sam Brownback,82
Mitchell,Custer,Governor,,R,Sam Brownback,26
Mitchell,Pittsburg,Governor,,R,Sam Brownback,103
Mitchell,Carr Ck,Governor,,R,Sam Brownback,11
Mitchell,Cawker,Governor,,R,Sam Brownback,113
Mitchell,Blue Hill,Governor,,R,Sam Brownback,11
Mitchell,Hayes,Governor,,R,Sam Brownback,9
Mitchell,Walnut Ck,Governor,,R,Sam Brownback,13
Mitchell,Glen Elder,Governor,,R,Sam Brownback,127
Mitchell,Round Spr,Governor,,R,Sam Brownback,13
Mitchell,Center,Governor,,R,Sam Brownback,8
Mitchell,Solomon,Governor,,R,Sam Brownback,17
Mitchell,Turkey Ck,Governor,,R,Sam Brownback,35
Mitchell,Salt Ck,Governor,,R,Sam Brownback,11
Mitchell,Bloomfield,Governor,,R,Sam Brownback,26
Mitchell,Plum Ck,Governor,,R,Sam Brownback,48
Mitchell,Eureka,Governor,,R,Sam Brownback,10
Mitchell,Logan,Governor,,R,Sam Brownback,23
Mitchell,Asherville,Governor,,R,Sam Brownback,26
Mitchell,Lulu,Governor,,R,Sam Brownback,25
Mitchell,Prov,Governor,,R,Sam Brownback,23
Mitchell,Ward 1,Governor,,D,Paul Davis,72
Mitchell,Ward 2,Governor,,D,Paul Davis,137
Mitchell,Ward 3,Governor,,D,Paul Davis,122
Mitchell,Ward 4,Governor,,D,Paul Davis,104
Mitchell,Beloit,Governor,,D,Paul Davis,30
Mitchell,Custer,Governor,,D,Paul Davis,24
Mitchell,Pittsburg,Governor,,D,Paul Davis,33
Mitchell,Carr Ck,Governor,,D,Paul Davis,0
Mitchell,Cawker,Governor,,D,Paul Davis,62
Mitchell,Blue Hill,Governor,,D,Paul Davis,6
Mitchell,Hayes,Governor,,D,Paul Davis,4
Mitchell,Walnut Ck,Governor,,D,Paul Davis,7
Mitchell,Glen Elder,Governor,,D,Paul Davis,69
Mitchell,Round Spr,Governor,,D,Paul Davis,2
Mitchell,Center,Governor,,D,Paul Davis,4
Mitchell,Solomon,Governor,,D,Paul Davis,11
Mitchell,Turkey Ck,Governor,,D,Paul Davis,15
Mitchell,Salt Ck,Governor,,D,Paul Davis,1
Mitchell,Bloomfield,Governor,,D,Paul Davis,7
Mitchell,Plum Ck,Governor,,D,Paul Davis,6
Mitchell,Eureka,Governor,,D,Paul Davis,3
Mitchell,Logan,Governor,,D,Paul Davis,15
Mitchell,Asherville,Governor,,D,Paul Davis,16
Mitchell,Lulu,Governor,,D,Paul Davis,2
Mitchell,Prov,Governor,,D,Paul Davis,13
Mitchell,Ward 1,Governor,,L,Keen Umbehr,11
Mitchell,Ward 2,Governor,,L,Keen Umbehr,15
Mitchell,Ward 3,Governor,,L,Keen Umbehr,19
Mitchell,Ward 4,Governor,,L,Keen Umbehr,12
Mitchell,Beloit,Governor,,L,Keen Umbehr,1
Mitchell,Custer,Governor,,L,Keen Umbehr,2
Mitchell,Pittsburg,Governor,,L,Keen Umbehr,4
Mitchell,Carr Ck,Governor,,L,Keen Umbehr,0
Mitchell,Cawker,Governor,,L,Keen Umbehr,7
Mitchell,Blue Hill,Governor,,L,Keen Umbehr,2
Mitchell,Hayes,Governor,,L,Keen Umbehr,0
Mitchell,Walnut Ck,Governor,,L,Keen Umbehr,0
Mitchell,Glen Elder,Governor,,L,Keen Umbehr,13
Mitchell,Round Spr,Governor,,L,Keen Umbehr,0
Mitchell,Center,Governor,,L,Keen Umbehr,0
Mitchell,Solomon,Governor,,L,Keen Umbehr,2
Mitchell,Turkey Ck,Governor,,L,Keen Umbehr,3
Mitchell,Salt Ck,Governor,,L,Keen Umbehr,0
Mitchell,Bloomfield,Governor,,L,Keen Umbehr,1
Mitchell,Plum Ck,Governor,,L,Keen Umbehr,1
Mitchell,Eureka,Governor,,L,Keen Umbehr,1
