county,precinct,office,district,party,candidate,total
Finney,1ST WARD,U.S. Senate,,R,Pat Roberts,56
Finney,2ND WARD,U.S. Senate,,R,Pat Roberts,114
Finney,3RD WARD,U.S. Senate,,R,Pat Roberts,186
Finney,4TH WARD,U.S. Senate,,R,Pat Roberts,166
Finney,5TH WARD,U.S. Senate,,R,Pat Roberts,147
Finney,6TH WARD,U.S. Senate,,R,Pat Roberts,129
Finney,7TH WARD,U.S. Senate,,R,Pat Roberts,123
Finney,8TH WARD,U.S. Senate,,R,Pat Roberts,165
Finney,9TH WARD,U.S. Senate,,R,Pat Roberts,106
Finney,10TH WARD,U.S. Senate,,R,Pat Roberts,136
Finney,11TH WARD,U.S. Senate,,R,Pat Roberts,238
Finney,12TH WARD,U.S. Senate,,R,Pat Roberts,299
Finney,13TH WARD,U.S. Senate,,R,Pat Roberts,257
Finney,14TH WARD,U.S. Senate,,R,Pat Roberts,190
Finney,15TH WARD,U.S. Senate,,R,Pat Roberts,277
Finney,16TH WARD,U.S. Senate,,R,Pat Roberts,297
Finney,0017 HUFFMAN,U.S. Senate,,R,Pat Roberts,108
Finney,0018 JENNIE BARKER,U.S. Senate,,R,Pat Roberts,246
Finney,0019 MACK,U.S. Senate,,R,Pat Roberts,67
Finney,0020 RIVERSIDE,U.S. Senate,,R,Pat Roberts,308
Finney,0021 KALVESTA,U.S. Senate,,R,Pat Roberts,46
Finney,0022 THEONI,U.S. Senate,,R,Pat Roberts,47
Finney,0023 PLYMELL,U.S. Senate,,R,Pat Roberts,106
Finney,0024 PIERCEVILLE,U.S. Senate,,R,Pat Roberts,97
Finney,0025 PL VALLEY,U.S. Senate,,R,Pat Roberts,57
Finney,0026 HOLCOMB,U.S. Senate,,R,Pat Roberts,444
Finney,0027 FRIEND,U.S. Senate,,R,Pat Roberts,34
Finney,1ST WARD,U.S. Senate,,I,Greg Orman,64
Finney,2ND WARD,U.S. Senate,,I,Greg Orman,87
Finney,3RD WARD,U.S. Senate,,I,Greg Orman,125
Finney,4TH WARD,U.S. Senate,,I,Greg Orman,80
Finney,5TH WARD,U.S. Senate,,I,Greg Orman,80
Finney,6TH WARD,U.S. Senate,,I,Greg Orman,84
Finney,7TH WARD,U.S. Senate,,I,Greg Orman,66
Finney,8TH WARD,U.S. Senate,,I,Greg Orman,107
Finney,9TH WARD,U.S. Senate,,I,Greg Orman,78
Finney,10TH WARD,U.S. Senate,,I,Greg Orman,83
Finney,11TH WARD,U.S. Senate,,I,Greg Orman,114
Finney,12TH WARD,U.S. Senate,,I,Greg Orman,139
Finney,13TH WARD,U.S. Senate,,I,Greg Orman,99
Finney,14TH WARD,U.S. Senate,,I,Greg Orman,120
Finney,15TH WARD,U.S. Senate,,I,Greg Orman,112
Finney,16TH WARD,U.S. Senate,,I,Greg Orman,141
Finney,0017 HUFFMAN,U.S. Senate,,I,Greg Orman,38
Finney,0018 JENNIE BARKER,U.S. Senate,,I,Greg Orman,88
Finney,0019 MACK,U.S. Senate,,I,Greg Orman,28
Finney,0020 RIVERSIDE,U.S. Senate,,I,Greg Orman,104
Finney,0021 KALVESTA,U.S. Senate,,I,Greg Orman,5
Finney,0022 THEONI,U.S. Senate,,I,Greg Orman,6
Finney,0023 PLYMELL,U.S. Senate,,I,Greg Orman,20
Finney,0024 PIERCEVILLE,U.S. Senate,,I,Greg Orman,28
Finney,0025 PL VALLEY,U.S. Senate,,I,Greg Orman,4
Finney,0026 HOLCOMB,U.S. Senate,,I,Greg Orman,121
Finney,0027 FRIEND,U.S. Senate,,I,Greg Orman,7
Finney,1ST WARD,U.S. Senate,,L,Randall Batson,12
Finney,2ND WARD,U.S. Senate,,L,Randall Batson,14
Finney,3RD WARD,U.S. Senate,,L,Randall Batson,20
Finney,4TH WARD,U.S. Senate,,L,Randall Batson,8
Finney,5TH WARD,U.S. Senate,,L,Randall Batson,10
Finney,6TH WARD,U.S. Senate,,L,Randall Batson,15
Finney,7TH WARD,U.S. Senate,,L,Randall Batson,10
Finney,8TH WARD,U.S. Senate,,L,Randall Batson,27
Finney,9TH WARD,U.S. Senate,,L,Randall Batson,18
Finney,10TH WARD,U.S. Senate,,L,Randall Batson,14
Finney,11TH WARD,U.S. Senate,,L,Randall Batson,14
Finney,12TH WARD,U.S. Senate,,L,Randall Batson,10
Finney,13TH WARD,U.S. Senate,,L,Randall Batson,13
Finney,14TH WARD,U.S. Senate,,L,Randall Batson,12
Finney,15TH WARD,U.S. Senate,,L,Randall Batson,16
Finney,16TH WARD,U.S. Senate,,L,Randall Batson,20
Finney,0017 HUFFMAN,U.S. Senate,,L,Randall Batson,8
Finney,0018 JENNIE BARKER,U.S. Senate,,L,Randall Batson,13
Finney,0019 MACK,U.S. Senate,,L,Randall Batson,7
Finney,0020 RIVERSIDE,U.S. Senate,,L,Randall Batson,9
Finney,0021 KALVESTA,U.S. Senate,,L,Randall Batson,1
Finney,0022 THEONI,U.S. Senate,,L,Randall Batson,2
Finney,0023 PLYMELL,U.S. Senate,,L,Randall Batson,3
Finney,0024 PIERCEVILLE,U.S. Senate,,L,Randall Batson,4
Finney,0025 PL VALLEY,U.S. Senate,,L,Randall Batson,0
Finney,0026 HOLCOMB,U.S. Senate,,L,Randall Batson,18
Finney,0027 FRIEND,U.S. Senate,,L,Randall Batson,4
Finney,1ST WARD,U.S. Senate,,,write-ins,1
Finney,2ND WARD,U.S. Senate,,,write-ins,2
Finney,3RD WARD,U.S. Senate,,,write-ins,2
Finney,4TH WARD,U.S. Senate,,,write-ins,0
Finney,5TH WARD,U.S. Senate,,,write-ins,2
Finney,6TH WARD,U.S. Senate,,,write-ins,0
Finney,7TH WARD,U.S. Senate,,,write-ins,0
Finney,8TH WARD,U.S. Senate,,,write-ins,2
Finney,9TH WARD,U.S. Senate,,,write-ins,0
Finney,10TH WARD,U.S. Senate,,,write-ins,2
Finney,11TH WARD,U.S. Senate,,,write-ins,2
Finney,12TH WARD,U.S. Senate,,,write-ins,0
Finney,13TH WARD,U.S. Senate,,,write-ins,1
Finney,14TH WARD,U.S. Senate,,,write-ins,0
Finney,15TH WARD,U.S. Senate,,,write-ins,0
Finney,16TH WARD,U.S. Senate,,,write-ins,0
Finney,0017 HUFFMAN,U.S. Senate,,,write-ins,0
Finney,0018 JENNIE BARKER,U.S. Senate,,,write-ins,0
Finney,0019 MACK,U.S. Senate,,,write-ins,0
Finney,0020 RIVERSIDE,U.S. Senate,,,write-ins,0
Finney,0021 KALVESTA,U.S. Senate,,,write-ins,0
Finney,0022 THEONI,U.S. Senate,,,write-ins,0
Finney,0023 PLYMELL,U.S. Senate,,,write-ins,1
Finney,0024 PIERCEVILLE,U.S. Senate,,,write-ins,2
Finney,0025 PL VALLEY,U.S. Senate,,,write-ins,0
Finney,0026 HOLCOMB,U.S. Senate,,,write-ins,0
Finney,0027 FRIEND,U.S. Senate,,,write-ins,0
Finney,1ST WARD,U.S. House,CD1,R,Tim Huelskamp,60
Finney,2ND WARD,U.S. House,CD1,R,Tim Huelskamp,109
Finney,3RD WARD,U.S. House,CD1,R,Tim Huelskamp,195
Finney,4TH WARD,U.S. House,CD1,R,Tim Huelskamp,152
Finney,5TH WARD,U.S. House,CD1,R,Tim Huelskamp,137
Finney,6TH WARD,U.S. House,CD1,R,Tim Huelskamp,129
Finney,7TH WARD,U.S. House,CD1,R,Tim Huelskamp,115
Finney,8TH WARD,U.S. House,CD1,R,Tim Huelskamp,167
Finney,9TH WARD,U.S. House,CD1,R,Tim Huelskamp,113
Finney,10TH WARD,U.S. House,CD1,R,Tim Huelskamp,132
Finney,11TH WARD,U.S. House,CD1,R,Tim Huelskamp,226
Finney,12TH WARD,U.S. House,CD1,R,Tim Huelskamp,251
Finney,13TH WARD,U.S. House,CD1,R,Tim Huelskamp,230
Finney,14TH WARD,U.S. House,CD1,R,Tim Huelskamp,178
Finney,15TH WARD,U.S. House,CD1,R,Tim Huelskamp,259
Finney,16TH WARD,U.S. House,CD1,R,Tim Huelskamp,283
Finney,0017 HUFFMAN,U.S. House,CD1,R,Tim Huelskamp,109
Finney,0018 JENNIE BARKER,U.S. House,CD1,R,Tim Huelskamp,242
Finney,0019 MACK,U.S. House,CD1,R,Tim Huelskamp,72
Finney,0020 RIVERSIDE,U.S. House,CD1,R,Tim Huelskamp,279
Finney,0021 KALVESTA,U.S. House,CD1,R,Tim Huelskamp,40
Finney,0022 THEONI,U.S. House,CD1,R,Tim Huelskamp,36
Finney,0023 PLYMELL,U.S. House,CD1,R,Tim Huelskamp,92
Finney,0024 PIERCEVILLE,U.S. House,CD1,R,Tim Huelskamp,96
Finney,0025 PL VALLEY,U.S. House,CD1,R,Tim Huelskamp,53
Finney,0026 HOLCOMB,U.S. House,CD1,R,Tim Huelskamp,410
Finney,0027 FRIEND,U.S. House,CD1,R,Tim Huelskamp,34
Finney,1ST WARD,U.S. House,CD1,D,James Sherow,68
Finney,2ND WARD,U.S. House,CD1,D,James Sherow,99
Finney,3RD WARD,U.S. House,CD1,D,James Sherow,130
Finney,4TH WARD,U.S. House,CD1,D,James Sherow,99
Finney,5TH WARD,U.S. House,CD1,D,James Sherow,100
Finney,6TH WARD,U.S. House,CD1,D,James Sherow,94
Finney,7TH WARD,U.S. House,CD1,D,James Sherow,80
Finney,8TH WARD,U.S. House,CD1,D,James Sherow,130
Finney,9TH WARD,U.S. House,CD1,D,James Sherow,85
Finney,10TH WARD,U.S. House,CD1,D,James Sherow,100
Finney,11TH WARD,U.S. House,CD1,D,James Sherow,133
Finney,12TH WARD,U.S. House,CD1,D,James Sherow,188
Finney,13TH WARD,U.S. House,CD1,D,James Sherow,134
Finney,14TH WARD,U.S. House,CD1,D,James Sherow,144
Finney,15TH WARD,U.S. House,CD1,D,James Sherow,140
Finney,16TH WARD,U.S. House,CD1,D,James Sherow,165
Finney,0017 HUFFMAN,U.S. House,CD1,D,James Sherow,40
Finney,0018 JENNIE BARKER,U.S. House,CD1,D,James Sherow,104
Finney,0019 MACK,U.S. House,CD1,D,James Sherow,30
Finney,0020 RIVERSIDE,U.S. House,CD1,D,James Sherow,139
Finney,0021 KALVESTA,U.S. House,CD1,D,James Sherow,12
Finney,0022 THEONI,U.S. House,CD1,D,James Sherow,16
Finney,0023 PLYMELL,U.S. House,CD1,D,James Sherow,34
Finney,0024 PIERCEVILLE,U.S. House,CD1,D,James Sherow,34
Finney,0025 PL VALLEY,U.S. House,CD1,D,James Sherow,7
Finney,0026 HOLCOMB,U.S. House,CD1,D,James Sherow,165
Finney,0027 FRIEND,U.S. House,CD1,D,James Sherow,8
Finney,1ST WARD,U.S. House,CD1,,write-ins,1
Finney,2ND WARD,U.S. House,CD1,,write-ins,3
Finney,3RD WARD,U.S. House,CD1,,write-ins,0
Finney,4TH WARD,U.S. House,CD1,,write-ins,0
Finney,5TH WARD,U.S. House,CD1,,write-ins,1
Finney,6TH WARD,U.S. House,CD1,,write-ins,0
Finney,7TH WARD,U.S. House,CD1,,write-ins,0
Finney,8TH WARD,U.S. House,CD1,,write-ins,1
Finney,9TH WARD,U.S. House,CD1,,write-ins,1
Finney,10TH WARD,U.S. House,CD1,,write-ins,0
Finney,11TH WARD,U.S. House,CD1,,write-ins,4
Finney,12TH WARD,U.S. House,CD1,,write-ins,1
Finney,13TH WARD,U.S. House,CD1,,write-ins,1
Finney,14TH WARD,U.S. House,CD1,,write-ins,0
Finney,15TH WARD,U.S. House,CD1,,write-ins,1
