county,precinct,office,district,party,candidate,poll
Rice,ATLANTA,Attorney General,,D,A.J. Kotich,6
Rice,BELL,Attorney General,,D,A.J. Kotich,0
Rice,CENTER,Attorney General,,D,A.J. Kotich,2
Rice,EUREKA,Attorney General,,D,A.J. Kotich,0
Rice,FARMER,Attorney General,,D,A.J. Kotich,19
Rice,GALT,Attorney General,,D,A.J. Kotich,4
Rice,HARRISON,Attorney General,,D,A.J. Kotich,4
Rice,LINCOLN,Attorney General,,D,A.J. Kotich,21
Rice,LYONS  3RD,Attorney General,,D,A.J. Kotich,31
Rice,LYONS 1ST,Attorney General,,D,A.J. Kotich,32
Rice,LYONS 2ND,Attorney General,,D,A.J. Kotich,33
Rice,LYONS 4TH,Attorney General,,D,A.J. Kotich,36
Rice,MITCHELL,Attorney General,,D,A.J. Kotich,10
Rice,ODESSA,Attorney General,,D,A.J. Kotich,2
Rice,Pioneer,Attorney General,,D,A.J. Kotich,2
Rice,Raymond,Attorney General,,D,A.J. Kotich,1
Rice,Rockville,Attorney General,,D,A.J. Kotich,13
Rice,STERING,Attorney General,,D,A.J. Kotich,5
Rice,STERLING EAST,Attorney General,,D,A.J. Kotich,47
Rice,STERLING WEST,Attorney General,,D,A.J. Kotich,40
Rice,UNION,Attorney General,,D,A.J. Kotich,36
Rice,VALLEY,Attorney General,,D,A.J. Kotich,15
Rice,VICTORIA,Attorney General,,D,A.J. Kotich,20
Rice,WASH E,Attorney General,,D,A.J. Kotich,7
Rice,WASH W,Attorney General,,D,A.J. Kotich,7
Rice,WILSON,Attorney General,,D,A.J. Kotich,4
Rice,ATLANTA,Attorney General,,R,Derek Schmidt,38
Rice,BELL,Attorney General,,R,Derek Schmidt,4
Rice,CENTER,Attorney General,,R,Derek Schmidt,31
Rice,EUREKA,Attorney General,,R,Derek Schmidt,13
Rice,FARMER,Attorney General,,R,Derek Schmidt,97
Rice,GALT,Attorney General,,R,Derek Schmidt,28
Rice,HARRISON,Attorney General,,R,Derek Schmidt,44
Rice,LINCOLN,Attorney General,,R,Derek Schmidt,105
Rice,LYONS  3RD,Attorney General,,R,Derek Schmidt,93
Rice,LYONS 1ST,Attorney General,,R,Derek Schmidt,155
Rice,LYONS 2ND,Attorney General,,R,Derek Schmidt,112
Rice,LYONS 4TH,Attorney General,,R,Derek Schmidt,108
Rice,MITCHELL,Attorney General,,R,Derek Schmidt,27
Rice,ODESSA,Attorney General,,R,Derek Schmidt,19
Rice,Pioneer,Attorney General,,R,Derek Schmidt,16
Rice,Raymond,Attorney General,,R,Derek Schmidt,35
Rice,Rockville,Attorney General,,R,Derek Schmidt,38
Rice,STERING,Attorney General,,R,Derek Schmidt,47
Rice,STERLING EAST,Attorney General,,R,Derek Schmidt,316
Rice,STERLING WEST,Attorney General,,R,Derek Schmidt,154
