county,precinct,office,district,party,candidate,total,polls,advance,provisional
Jackson,Wd 1,Attorney General,,D,A J Kotich,93,72,19,2
Jackson,Wd 2,Attorney General,,D,A J Kotich,118,90,27,1
Jackson,Wd 3,Attorney General,,D,A J Kotich,88,67,21,0
Jackson,Wd 1,Attorney General,,R,Derek Schmidt,248,174,72,2
Jackson,Wd 2,Attorney General,,R,Derek Schmidt,260,188,68,4
Jackson,Wd 3,Attorney General,,R,Derek Schmidt,213,170,39,4
Jackson,Wd 1,U.S. House,2,L,Chris Clemmons,19,16,3,0
Jackson,Wd 2,U.S. House,2,L,Chris Clemmons,22,20,2,0
Jackson,Wd 3,U.S. House,2,L,Chris Clemmons,16,15,1,0
Jackson,Wd 1,U.S. House,2,R,Lynn Jenkins,211,151,58,2
Jackson,Wd 2,U.S. House,2,R,Lynn Jenkins,231,167,60,4
Jackson,Wd 3,U.S. House,2,R,Lynn Jenkins,170,135,33,2
Jackson,Wd 1,U.S. House,2,D,Margie Wakefield,117,85,30,2
Jackson,Wd 2,U.S. House,2,D,Margie Wakefield,134,97,36,1
Jackson,Wd 3,U.S. House,2,D,Margie Wakefield,119,88,29,2
Jackson,Wd 1,Governor,,L,Keen Umbehr,17,12,4,1
Jackson,Wd 2,Governor,,L,Keen Umbehr,14,8,6,0
Jackson,Wd 3,Governor,,L,Keen Umbehr,17,14,3,0
Jackson,Wd 1,Governor,,D,Paul Davis,179,134,43,2
Jackson,Wd 2,Governor,,D,Paul Davis,216,172,42,2
Jackson,Wd 3,Governor,,D,Paul Davis,153,118,34,1
Jackson,Wd 1,Governor,,R,Sam Brownback,151,105,45,1
Jackson,Wd 2,Governor,,R,Sam Brownback,156,104,49,3
Jackson,Wd 3,Governor,,R,Sam Brownback,137,109,25,3
Jackson,Wd 1,Insurance Commissioner,,D,Dennis Anderson,126,89,36,1
Jackson,Wd 2,Insurance Commissioner,,D,Dennis Anderson,154,122,31,1
Jackson,Wd 3,Insurance Commissioner,,D,Dennis Anderson,119,90,26,3
Jackson,Wd 1,Insurance Commissioner,,R,Ken Selzer,211,156,52,3
Jackson,Wd 2,Insurance Commissioner,,R,Ken Selzer,201,141,56,4
Jackson,Wd 3,Insurance Commissioner,,R,Ken Selzer,167,134,32,1
Jackson,Wd 1,Secretary of State,,D,Jean Schodorf,125,89,34,2
Jackson,Wd 2,Secretary of State,,D,Jean Schodorf,136,99,36,1
Jackson,Wd 3,Secretary of State,,D,Jean Schodorf,104,73,31,0
Jackson,Wd 1,Secretary of State,,R,Kris Kobach,222,162,58,2
Jackson,Wd 2,Secretary of State,,R,Kris Kobach,245,181,60,4
Jackson,Wd 3,Secretary of State,,R,Kris Kobach,200,166,30,4
Jackson,Wd 1,State House,61,R,Becky Hutchins,220,156,62,2
Jackson,Wd 2,State House,61,R,Becky Hutchins,253,188,61,4
Jackson,Wd 3,State House,61,R,Becky Hutchins,196,162,31,3
Jackson,Wd 1,State House,61,D,Vivian Olsen,126,95,29,2
Jackson,Wd 2,State House,61,D,Vivian Olsen,133,95,37,1
Jackson,Wd 3,State House,61,D,Vivian Olsen,111,80,30,1
Jackson,Wd 1,State Treasurer,,D,Carmen Alldritt,105,80,23,2
Jackson,Wd 2,State Treasurer,,D,Carmen Alldritt,126,94,30,2
Jackson,Wd 3,State Treasurer,,D,Carmen Alldritt,86,65,20,1
Jackson,Wd 1,State Treasurer,,R,Ron Estes,234,166,66,2
Jackson,Wd 2,State Treasurer,,R,Ron Estes,248,183,62,3
Jackson,Wd 3,State Treasurer,,R,Ron Estes,210,168,39,3
Jackson,Wd 1,U.S. Senate,,I,Greg Orman,162,121,39,2
Jackson,Wd 2,U.S. Senate,,I,Greg Orman,181,140,39,2
Jackson,Wd 3,U.S. Senate,,I,Greg Orman,141,108,32,1
Jackson,Wd 1,U.S. Senate,,R,Pat Roberts,160,115,43,2
Jackson,Wd 2,U.S. Senate,,R,Pat Roberts,192,134,55,3
Jackson,Wd 3,U.S. Senate,,R,Pat Roberts,151,119,30,2
Jackson,Wd 1,U.S. Senate,,L,Randall Batson,25,16,9,0
Jackson,Wd 2,U.S. Senate,,L,Randall Batson,11,7,4,0
Jackson,Wd 3,U.S. Senate,,L,Randall Batson,11,11,0,0
Jackson,Wd 1,Voters,,,Cast,262,,,
Jackson,Wd 2,Voters,,,Cast,293,,,
Jackson,Wd 3,Voters,,,Cast,249,,,
Jackson,Wd 1,Voters,,,Registered,760,,,
Jackson,Wd 2,Voters,,,Registered,821,,,
Jackson,Wd 3,Voters,,,Registered,596,,,
Jackson,precinct,office,,,candidate,Total,Polls,Advance,Provisional
