,,,Dist,Party,,Vote
Sheridan,Adell,U.S. Senate,,R,Pat Roberts,8
Sheridan,Bloomfield,U.S. Senate,,R,Pat Roberts,16
Sheridan,Bowcreek,U.S. Senate,,R,Pat Roberts,14
Sheridan,Kenneth - East,U.S. Senate,,R,Pat Roberts,222
Sheridan,Kenneth - West,U.S. Senate,,R,Pat Roberts,203
Sheridan,Logan,U.S. Senate,,R,Pat Roberts,32
Sheridan,Parnell,U.S. Senate,,R,Pat Roberts,41
Sheridan,Prairie Dog,U.S. Senate,,R,Pat Roberts,14
Sheridan,"Saline, East",U.S. Senate,,R,Pat Roberts,26
Sheridan,"Saline, West",U.S. Senate,,R,Pat Roberts,22
Sheridan,Sheridan,U.S. Senate,,R,Pat Roberts,74
Sheridan,Solomon,U.S. Senate,,R,Pat Roberts,64
Sheridan,Springbrook,U.S. Senate,,R,Pat Roberts,31
Sheridan,Union,U.S. Senate,,R,Pat Roberts,16
Sheridan,Valley,U.S. Senate,,R,Pat Roberts,32
SHERIDAN KS,SHERIDAN KS,U.S. Senate,,R,Pat Roberts,815
Sheridan,Adell,U.S. Senate,,I,Greg Orman,3
Sheridan,Bloomfield,U.S. Senate,,I,Greg Orman,5
Sheridan,Bowcreek,U.S. Senate,,I,Greg Orman,7
Sheridan,Kenneth - East,U.S. Senate,,I,Greg Orman,71
Sheridan,Kenneth - West,U.S. Senate,,I,Greg Orman,54
Sheridan,Logan,U.S. Senate,,I,Greg Orman,2
Sheridan,Parnell,U.S. Senate,,I,Greg Orman,5
Sheridan,Prairie Dog,U.S. Senate,,I,Greg Orman,5
Sheridan,"Saline, East",U.S. Senate,,I,Greg Orman,1
Sheridan,"Saline, West",U.S. Senate,,I,Greg Orman,1
Sheridan,Sheridan,U.S. Senate,,I,Greg Orman,17
Sheridan,Solomon,U.S. Senate,,I,Greg Orman,13
Sheridan,Springbrook,U.S. Senate,,I,Greg Orman,5
Sheridan,Union,U.S. Senate,,I,Greg Orman,2
Sheridan,Valley,U.S. Senate,,I,Greg Orman,9
SHERIDAN KS,SHERIDAN KS,U.S. Senate,,I,Greg Orman,200
Sheridan,Adell,U.S. Senate,,L,Randall Batson,0
Sheridan,Bloomfield,U.S. Senate,,L,Randall Batson,0
Sheridan,Bowcreek,U.S. Senate,,L,Randall Batson,0
Sheridan,Kenneth - East,U.S. Senate,,L,Randall Batson,6
Sheridan,Kenneth - West,U.S. Senate,,L,Randall Batson,11
Sheridan,Logan,U.S. Senate,,L,Randall Batson,0
Sheridan,Parnell,U.S. Senate,,L,Randall Batson,0
Sheridan,Prairie Dog,U.S. Senate,,L,Randall Batson,1
Sheridan,"Saline, East",U.S. Senate,,L,Randall Batson,2
Sheridan,"Saline, West",U.S. Senate,,L,Randall Batson,1
Sheridan,Sheridan,U.S. Senate,,L,Randall Batson,6
Sheridan,Solomon,U.S. Senate,,L,Randall Batson,4
Sheridan,Springbrook,U.S. Senate,,L,Randall Batson,2
Sheridan,Union,U.S. Senate,,L,Randall Batson,0
Sheridan,Valley,U.S. Senate,,L,Randall Batson,3
SHERIDAN KS,SHERIDAN KS,U.S. Senate,,L,Randall Batson,36
Sheridan,Adell,U.S. House,1,D,James Sherow,3
Sheridan,Bloomfield,U.S. House,1,D,James Sherow,7
Sheridan,Bowcreek,U.S. House,1,D,James Sherow,2
Sheridan,Kenneth - East,U.S. House,1,D,James Sherow,65
Sheridan,Kenneth - West,U.S. House,1,D,James Sherow,59
Sheridan,Logan,U.S. House,1,D,James Sherow,3
Sheridan,Parnell,U.S. House,1,D,James Sherow,8
Sheridan,Prairie Dog,U.S. House,1,D,James Sherow,3
Sheridan,"Saline, East",U.S. House,1,D,James Sherow,2
Sheridan,"Saline, West",U.S. House,1,D,James Sherow,1
Sheridan,Sheridan,U.S. House,1,D,James Sherow,21
Sheridan,Solomon,U.S. House,1,D,James Sherow,14
Sheridan,Springbrook,U.S. House,1,D,James Sherow,4
Sheridan,Union,U.S. House,1,D,James Sherow,1
Sheridan,Valley,U.S. House,1,D,James Sherow,7
SHERIDAN KS,SHERIDAN KS,U.S. House,1,D,James Sherow,200
Sheridan,Adell,U.S. House,1,R,Tim Huelskamp,7
Sheridan,Bloomfield,U.S. House,1,R,Tim Huelskamp,13
Sheridan,Bowcreek,U.S. House,1,R,Tim Huelskamp,20
Sheridan,Kenneth - East,U.S. House,1,R,Tim Huelskamp,231
Sheridan,Kenneth - West,U.S. House,1,R,Tim Huelskamp,202
Sheridan,Logan,U.S. House,1,R,Tim Huelskamp,31
Sheridan,Parnell,U.S. House,1,R,Tim Huelskamp,38
Sheridan,Prairie Dog,U.S. House,1,R,Tim Huelskamp,17
Sheridan,"Saline, East",U.S. House,1,R,Tim Huelskamp,27
Sheridan,"Saline, West",U.S. House,1,R,Tim Huelskamp,23
Sheridan,Sheridan,U.S. House,1,R,Tim Huelskamp,77
Sheridan,Solomon,U.S. House,1,R,Tim Huelskamp,67
Sheridan,Springbrook,U.S. House,1,R,Tim Huelskamp,32
Sheridan,Union,U.S. House,1,R,Tim Huelskamp,17
Sheridan,Valley,U.S. House,1,R,Tim Huelskamp,37
SHERIDAN KS,SHERIDAN KS,U.S. House,1,R,Tim Huelskamp,839
Sheridan,Adell,Governor,,D,Paul Davis,5
Sheridan,Bloomfield,Governor,,D,Paul Davis,5
Sheridan,Bowcreek,Governor,,D,Paul Davis,6
Sheridan,Kenneth - East,Governor,,D,Paul Davis,81
Sheridan,Kenneth - West,Governor,,D,Paul Davis,74
Sheridan,Logan,Governor,,D,Paul Davis,4
Sheridan,Parnell,Governor,,D,Paul Davis,10
Sheridan,Prairie Dog,Governor,,D,Paul Davis,5
Sheridan,"Saline, East",Governor,,D,Paul Davis,3
Sheridan,"Saline, West",Governor,,D,Paul Davis,4
Sheridan,Sheridan,Governor,,D,Paul Davis,24
Sheridan,Solomon,Governor,,D,Paul Davis,14
Sheridan,Springbrook,Governor,,D,Paul Davis,6
Sheridan,Union,Governor,,D,Paul Davis,2
Sheridan,Valley,Governor,,D,Paul Davis,11
SHERIDAN KS,SHERIDAN KS,Governor,,D,Paul Davis,254
Sheridan,Adell,Governor,,R,Sam Brownback,6
Sheridan,Bloomfield,Governor,,R,Sam Brownback,16
Sheridan,Bowcreek,Governor,,R,Sam Brownback,15
Sheridan,Kenneth - East,Governor,,R,Sam Brownback,215
Sheridan,Kenneth - West,Governor,,R,Sam Brownback,182
Sheridan,Logan,Governor,,R,Sam Brownback,30
Sheridan,Parnell,Governor,,R,Sam Brownback,35
Sheridan,Prairie Dog,Governor,,R,Sam Brownback,13
Sheridan,"Saline, East",Governor,,R,Sam Brownback,25
Sheridan,"Saline, West",Governor,,R,Sam Brownback,24
Sheridan,Sheridan,Governor,,R,Sam Brownback,72
Sheridan,Solomon,Governor,,R,Sam Brownback,66
Sheridan,Springbrook,Governor,,R,Sam Brownback,30
Sheridan,Union,Governor,,R,Sam Brownback,15
Sheridan,Valley,Governor,,R,Sam Brownback,32
SHERIDAN KS,SHERIDAN KS,Governor,,R,Sam Brownback,776
Sheridan,Adell,Governor,,L,Keen Umbehr,0
Sheridan,Bloomfield,Governor,,L,Keen Umbehr,0
Sheridan,Bowcreek,Governor,,L,Keen Umbehr,0
Sheridan,Kenneth - East,Governor,,L,Keen Umbehr,6
Sheridan,Kenneth - West,Governor,,L,Keen Umbehr,13
Sheridan,Logan,Governor,,L,Keen Umbehr,0
Sheridan,Parnell,Governor,,L,Keen Umbehr,1
Sheridan,Prairie Dog,Governor,,L,Keen Umbehr,2
Sheridan,"Saline, East",Governor,,L,Keen Umbehr,1
Sheridan,"Saline, West",Governor,,L,Keen Umbehr,0
Sheridan,Sheridan,Governor,,L,Keen Umbehr,4
Sheridan,Solomon,Governor,,L,Keen Umbehr,1
Sheridan,Springbrook,Governor,,L,Keen Umbehr,2
Sheridan,Union,Governor,,L,Keen Umbehr,1
