county,precinct,office,district,party,candidate,votes,ADV,ED,PROV
Crawford,01 Arcadia,Attorney General,,D,A.J. Kotich,55,16,36,3
Crawford,02 Baker,Attorney General,,D,A.J. Kotich,139,39,92,8
Crawford,03 Beulah,Attorney General,,D,A.J. Kotich,31,6,25,0
Crawford,04 Brazilton,Attorney General,,D,A.J. Kotich,6,0,6,0
Crawford,05 Capaldo,Attorney General,,D,A.J. Kotich,8,1,7,0
Crawford,06 Capaldo,Attorney General,,D,A.J. Kotich,60,13,46,1
Crawford,07 Cherokee,Attorney General,,D,A.J. Kotich,70,5,64,1
Crawford,08 Cherokee-Sheridan,Attorney General,,D,A.J. Kotich,39,2,37,0
Crawford,09 Chicopee,Attorney General,,D,A.J. Kotich,83,17,63,3
Crawford,10 Crawford,Attorney General,,D,A.J. Kotich,30,3,26,1
Crawford,11 Crowe,Attorney General,,D,A.J. Kotich,37,12,23,2
Crawford,12 Franklin,Attorney General,,D,A.J. Kotich,66,17,47,2
Crawford,13 Franklin,Attorney General,,D,A.J. Kotich,2,0,2,0
Crawford,14 Frontenac W1,Attorney General,,D,A.J. Kotich,164,56,102,6
Crawford,15 Frontenac W2,Attorney General,,D,A.J. Kotich,254,50,200,4
Crawford,16 Frontenac W3,Attorney General,,D,A.J. Kotich,93,19,71,3
Crawford,17 Frontenac W4,Attorney General,,D,A.J. Kotich,82,26,54,2
Crawford,18 Girard W1,Attorney General,,D,A.J. Kotich,31,5,26,0
Crawford,19 Girard W2,Attorney General,,D,A.J. Kotich,92,17,75,0
Crawford,20 Girard W3,Attorney General,,D,A.J. Kotich,80,16,63,1
Crawford,21 Girard W4,Attorney General,,D,A.J. Kotich,87,11,75,1
Crawford,22 Grant,Attorney General,,D,A.J. Kotich,34,6,28,0
Crawford,23 Hepler,Attorney General,,D,A.J. Kotich,16,4,11,1
Crawford,24 Lincoln,Attorney General,,D,A.J. Kotich,48,12,35,1
Crawford,25 Lincoln,Attorney General,,D,A.J. Kotich,0,0,0,
