,,,,,,Total,Adv,Poll,Prov
Seward,Fargo twp 1,Attorney General,,D,AJ Kotich,3,1,2,0
Seward,Fargo twp 2,Attorney General,,D,AJ Kotich,2,0,2,0
Seward,Fargo twp 3,Attorney General,,D,AJ Kotich,0,0,0,0
Seward,Fargo twp 4,Attorney General,,D,AJ Kotich,14,2,12,0
Seward,Kismet City,Attorney General,,D,AJ Kotich,13,1,11,1
Seward,Liberal twp 1,Attorney General,,D,AJ Kotich,8,1,7,0
Seward,Liberal twp 2,Attorney General,,D,AJ Kotich,3,1,2,0
Seward,Liberal twp 3,Attorney General,,D,AJ Kotich,5,1,4,0
Seward,Liberal twp 4,Attorney General,,D,AJ Kotich,4,2,2,0
Seward,Liberal twp 5,Attorney General,,D,AJ Kotich,3,1,2,0
Seward,Seward twp 1,Attorney General,,D,AJ Kotich,3,0,3,0
Seward,Seward twp 2,Attorney General,,D,AJ Kotich,4,1,2,1
Seward,Seward twp 3,Attorney General,,D,AJ Kotich,1,0,1,0
Seward,Fargo twp 1,Attorney General,,R,Derek Schmidt,35,8,26,1
Seward,Fargo twp 2,Attorney General,,R,Derek Schmidt,32,10,22,0
Seward,Fargo twp 3,Attorney General,,R,Derek Schmidt,18,6,12,0
Seward,Fargo twp 4,Attorney General,,R,Derek Schmidt,56,20,34,2
Seward,Kismet City,Attorney General,,R,Derek Schmidt,88,10,77,1
Seward,Liberal twp 1,Attorney General,,R,Derek Schmidt,49,12,37,0
Seward,Liberal twp 2,Attorney General,,R,Derek Schmidt,27,11,15,1
Seward,Liberal twp 3,Attorney General,,R,Derek Schmidt,47,16,29,2
Seward,Liberal twp 4,Attorney General,,R,Derek Schmidt,30,11,19,0
Seward,Liberal twp 5,Attorney General,,R,Derek Schmidt,24,12,12,0
Seward,Seward twp 1,Attorney General,,R,Derek Schmidt,22,9,13,0
Seward,Seward twp 2,Attorney General,,R,Derek Schmidt,22,6,16,0
Seward,Seward twp 3,Attorney General,,R,Derek Schmidt,16,0,16,0
Seward,Fargo twp 1,1,,R,Tim Huelskamp,35,8,26,1
Seward,Fargo twp 2,1,,R,Tim Huelskamp,31,9,22,0
Seward,Fargo twp 3,1,,R,Tim Huelskamp,16,4,12,0
Seward,Fargo twp 4,1,,R,Tim Huelskamp,46,13,32,1
Seward,Kismet City,1,,R,Tim Huelskamp,78,11,66,1
Seward,Liberal twp 1,1,,R,Tim Huelskamp,45,9,36,0
Seward,Liberal twp 2,1,,R,Tim Huelskamp,22,5,16,1
Seward,Liberal twp 3,1,,R,Tim Huelskamp,41,15,25,1
Seward,Liberal twp 4,1,,R,Tim Huelskamp,29,9,20,0
Seward,Liberal twp 5,1,,R,Tim Huelskamp,23,11,12,0
Seward,Seward twp 1,1,,R,Tim Huelskamp,20,7,13,0
Seward,Seward twp 2,1,,R,Tim Huelskamp,24,7,16,1
Seward,Seward twp 3,1,,R,Tim Huelskamp,12,0,12,0
Seward,Fargo twp 1,1,,D,James Sherow,4,1,3,0
Seward,Fargo twp 2,1,,D,James Sherow,5,1,4,0
Seward,Fargo twp 3,1,,D,James Sherow,1,1,0,0
Seward,Fargo twp 4,1,,D,James Sherow,27,9,17,1
Seward,Kismet City,1,,D,James Sherow,24,0,23,1
Seward,Liberal twp 1,1,,D,James Sherow,11,2,9,0
Seward,Liberal twp 2,1,,D,James Sherow,7,5,2,0
Seward,Liberal twp 3,1,,D,James Sherow,10,2,7,1
Seward,Liberal twp 4,1,,D,James Sherow,5,4,1,0
Seward,Liberal twp 5,1,,D,James Sherow,4,2,2,0
Seward,Seward twp 1,1,,D,James Sherow,5,2,3,0
Seward,Seward twp 2,1,,D,James Sherow,3,0,3,0
Seward,Seward twp 3,1,,D,James Sherow,4,0,4,0
Seward,Liberal twp 1,1,,wri,writeins,1,0,1,0
Seward,Liberal twp 2,1,,wri,writeins,1,1,0,0
Seward,Fargo twp 1,Governor,,R,Sam Brownback,30,8,22,0
Seward,Fargo twp 2,Governor,,R,Sam Brownback,31,9,22,0
Seward,Fargo twp 3,Governor,,R,Sam Brownback,15,3,12,0
Seward,Fargo twp 4,Governor,,R,Sam Brownback,42,11,29,2
Seward,Kismet City,Governor,,R,Sam Brownback,66,9,57,0
Seward,Liberal twp 1,Governor,,R,Sam Brownback,45,11,34,0
Seward,Liberal twp 2,Governor,,R,Sam Brownback,23,7,15,1
Seward,Liberal twp 3,Governor,,R,Sam Brownback,46,15,29,2
Seward,Liberal twp 4,Governor,,R,Sam Brownback,25,8,17,0
Seward,Liberal twp 5,Governor,,R,Sam Brownback,23,12,11,0
Seward,Seward twp 1,Governor,,R,Sam Brownback,20,7,13,0
Seward,Seward twp 2,Governor,,R,Sam Brownback,24,6,17,1
Seward,Seward twp 3,Governor,,R,Sam Brownback,14,0,14,0
Seward,Fargo twp 1,Governor,,D,Paul Davis,7,1,5,1
Seward,Fargo twp 2,Governor,,D,Paul Davis,5,1,4,0
Seward,Fargo twp 3,Governor,,D,Paul Davis,3,3,0,0
Seward,Fargo twp 4,Governor,,D,Paul Davis,27,10,17,0
Seward,Kismet City,Governor,,D,Paul Davis,29,1,27,1
Seward,Liberal twp 1,Governor,,D,Paul Davis,12,2,10,0
Seward,Liberal twp 2,Governor,,D,Paul Davis,9,6,3,0
Seward,Liberal twp 3,Governor,,D,Paul Davis,7,2,5,0
Seward,Liberal twp 4,Governor,,D,Paul Davis,8,4,4,0
Seward,Liberal twp 5,Governor,,D,Paul Davis,3,1,2,0
Seward,Seward twp 1,Governor,,D,Paul Davis,5,2,3,0
Seward,Seward twp 2,Governor,,D,Paul Davis,3,1,2,0
Seward,Seward twp 3,Governor,,D,Paul Davis,3,0,3,0
Seward,Fargo twp 1,Governor,,L,Keen Umbehr,2,0,2,0
Seward,Fargo twp 2,Governor,,L,Keen Umbehr,0,0,0,0
Seward,Fargo twp 3,Governor,,L,Keen Umbehr,0,0,0,0
Seward,Fargo twp 4,Governor,,L,Keen Umbehr,2,1,1,0
Seward,Kismet City,Governor,,L,Keen Umbehr,8,1,6,1
Seward,Liberal twp 1,Governor,,L,Keen Umbehr,0,0,0,0
Seward,Liberal twp 2,Governor,,L,Keen Umbehr,0,0,0,0
Seward,Liberal twp 3,Governor,,L,Keen Umbehr,2,0,2,0
Seward,Liberal twp 4,Governor,,L,Keen Umbehr,2,1,1,0
Seward,Liberal twp 5,Governor,,L,Keen Umbehr,1,0,1,0
Seward,Seward twp 1,Governor,,L,Keen Umbehr,0,0,0,0
Seward,Seward twp 2,Governor,,L,Keen Umbehr,0,0,0,0
Seward,Seward twp 3,Governor,,L,Keen Umbehr,0,0,0,0
Seward,Fargo twp 1,Insurance Commissioner,,D,Dennis Anderson,6,2,3,1
Seward,Fargo twp 2,Insurance Commissioner,,D,Dennis Anderson,3,0,3,0
Seward,Fargo twp 3,Insurance Commissioner,,D,Dennis Anderson,3,3,0,0
Seward,Fargo twp 4,Insurance Commissioner,,D,Dennis Anderson,19,3,16,0
Seward,Kismet City,Insurance Commissioner,,D,Dennis Anderson,16,1,14,1
Seward,Liberal twp 1,Insurance Commissioner,,D,Dennis Anderson,9,1,8,0
Seward,Liberal twp 2,Insurance Commissioner,,D,Dennis Anderson,4,3,1,0
Seward,Liberal twp 3,Insurance Commissioner,,D,Dennis Anderson,4,1,3,0
Seward,Liberal twp 4,Insurance Commissioner,,D,Dennis Anderson,5,2,3,0
Seward,Liberal twp 5,Insurance Commissioner,,D,Dennis Anderson,3,2,1,0
Seward,Seward twp 1,Insurance Commissioner,,D,Dennis Anderson,4,1,3,0
Seward,Seward twp 2,Insurance Commissioner,,D,Dennis Anderson,4,1,3,0
Seward,Seward twp 3,Insurance Commissioner,,D,Dennis Anderson,1,0,1,0
Seward,Fargo twp 1,Insurance Commissioner,,R,Ken Selzer,31,7,24,0
Seward,Fargo twp 2,Insurance Commissioner,,R,Ken Selzer,32,10,22,0
Seward,Fargo twp 3,Insurance Commissioner,,R,Ken Selzer,15,3,12,0
Seward,Fargo twp 4,Insurance Commissioner,,R,Ken Selzer,52,18,32,2
Seward,Kismet City,Insurance Commissioner,,R,Ken Selzer,87,10,76,1
Seward,Liberal twp 1,Insurance Commissioner,,R,Ken Selzer,46,9,37,0
Seward,Liberal twp 2,Insurance Commissioner,,R,Ken Selzer,27,9,17,1
