county,precinct,office,district,party,candidate,vote
Kearny,Deerfield,U.S. Senate,,R,Pat Roberts,115
Kearny,Hartland,U.S. Senate,,R,Pat Roberts,24
Kearny,Hibbard E,U.S. Senate,,R,Pat Roberts,25
Kearny,Hibbard W,U.S. Senate,,R,Pat Roberts,11
Kearny,Kendall,U.S. Senate,,R,Pat Roberts,14
Kearny,Lakin City 1,U.S. Senate,,R,Pat Roberts,194
Kearny,Lakin twp 1,U.S. Senate,,R,Pat Roberts,57
Kearny,Lakin City 2,U.S. Senate,,R,Pat Roberts,135
Kearny,Southside,U.S. Senate,,R,Pat Roberts,51
Kearny,Advance,U.S. Senate,,R,Pat Roberts,137
Kearny,Deerfield,U.S. Senate,,I,Greg Orman,54
Kearny,Hartland,U.S. Senate,,I,Greg Orman,1
Kearny,Hibbard E,U.S. Senate,,I,Greg Orman,6
Kearny,Hibbard W,U.S. Senate,,I,Greg Orman,2
Kearny,Kendall,U.S. Senate,,I,Greg Orman,0
Kearny,Lakin City 1,U.S. Senate,,I,Greg Orman,50
Kearny,Lakin twp 1,U.S. Senate,,I,Greg Orman,11
Kearny,Lakin City 2,U.S. Senate,,I,Greg Orman,45
Kearny,Southside,U.S. Senate,,I,Greg Orman,3
Kearny,Advance,U.S. Senate,,I,Greg Orman,42
Kearny,Deerfield,U.S. Senate,,L,Randall Batson,4
Kearny,Hartland,U.S. Senate,,L,Randall Batson,0
Kearny,Hibbard E,U.S. Senate,,L,Randall Batson,1
Kearny,Hibbard W,U.S. Senate,,L,Randall Batson,0
Kearny,Kendall,U.S. Senate,,L,Randall Batson,0
Kearny,Lakin City 1,U.S. Senate,,L,Randall Batson,6
Kearny,Lakin twp 1,U.S. Senate,,L,Randall Batson,0
Kearny,Lakin City 2,U.S. Senate,,L,Randall Batson,14
Kearny,Southside,U.S. Senate,,L,Randall Batson,3
Kearny,Advance,U.S. Senate,,L,Randall Batson,2
Kearny,Deerfield,U.S. House 1,1,R,Tim Huelskamp,125
Kearny,Hartland,U.S. House 1,1,R,Tim Huelskamp,26
Kearny,Hibbard E,U.S. House 1,1,R,Tim Huelskamp,25
Kearny,Hibbard W,U.S. House 1,1,R,Tim Huelskamp,11
Kearny,Kendall,U.S. House 1,1,R,Tim Huelskamp,13
Kearny,Lakin City 1,U.S. House 1,1,R,Tim Huelskamp,199
Kearny,Lakin twp 1,U.S. House 1,1,R,Tim Huelskamp,55
Kearny,Lakin City 2,U.S. House 1,1,R,Tim Huelskamp,143
Kearny,Southside,U.S. House 1,1,R,Tim Huelskamp,50
Kearny,Advance,U.S. House 1,1,R,Tim Huelskamp,147
Kearny,Deerfield,U.S. House 1,1,D,James Sherow,43
Kearny,Hartland,U.S. House 1,1,D,James Sherow,1
