,,,Dist,Party,,Vote
Sheridan,Bloomfield,Secretary,,D,Jean Schodorf,3
Sheridan,Bowcreek,Secretary,,D,Jean Schodorf,2
Sheridan,Kenneth - East,Secretary,,D,Jean Schodorf,62
Sheridan,Kenneth - West,Secretary,,D,Jean Schodorf,52
Sheridan,Logan,Secretary,,D,Jean Schodorf,3
Sheridan,Parnell,Secretary,,D,Jean Schodorf,6
Sheridan,Prairie Dog,Secretary,,D,Jean Schodorf,3
Sheridan,"Saline, East",Secretary,,D,Jean Schodorf,2
Sheridan,"Saline, West",Secretary,,D,Jean Schodorf,5
Sheridan,Sheridan,Secretary,,D,Jean Schodorf,25
Sheridan,Solomon,Secretary,,D,Jean Schodorf,13
Sheridan,Springbrook,Secretary,,D,Jean Schodorf,5
Sheridan,Union,Secretary,,D,Jean Schodorf,2
Sheridan,Valley,Secretary,,D,Jean Schodorf,10
SHERIDAN KS,SHERIDAN KS,Secretary,,D,Jean Schodorf,196
Sheridan,Adell,Secretary,,R,Kris Kobach,8
Sheridan,Bloomfield,Secretary,,R,Kris Kobach,17
Sheridan,Bowcreek,Secretary,,R,Kris Kobach,20
Sheridan,Kenneth - East,Secretary,,R,Kris Kobach,232
Sheridan,Kenneth - West,Secretary,,R,Kris Kobach,200
Sheridan,Logan,Secretary,,R,Kris Kobach,31
Sheridan,Parnell,Secretary,,R,Kris Kobach,38
Sheridan,Prairie Dog,Secretary,,R,Kris Kobach,15
Sheridan,"Saline, East",Secretary,,R,Kris Kobach,26
Sheridan,"Saline, West",Secretary,,R,Kris Kobach,19
Sheridan,Sheridan,Secretary,,R,Kris Kobach,75
Sheridan,Solomon,Secretary,,R,Kris Kobach,66
Sheridan,Springbrook,Secretary,,R,Kris Kobach,33
Sheridan,Union,Secretary,,R,Kris Kobach,15
Sheridan,Valley,Secretary,,R,Kris Kobach,34
SHERIDAN KS,SHERIDAN KS,Secretary,,R,Kris Kobach,829
Sheridan,Adell,Attorney,,D,A J Kotich,2
Sheridan,Bloomfield,Attorney,,D,A J Kotich,4
Sheridan,Bowcreek,Attorney,,D,A J Kotich,1
Sheridan,Kenneth - East,Attorney,,D,A J Kotich,38
Sheridan,Kenneth - West,Attorney,,D,A J Kotich,37
Sheridan,Logan,Attorney,,D,A J Kotich,4
Sheridan,Parnell,Attorney,,D,A J Kotich,4
Sheridan,Prairie Dog,Attorney,,D,A J Kotich,5
Sheridan,"Saline, East",Attorney,,D,A J Kotich,1
Sheridan,"Saline, West",Attorney,,D,A J Kotich,5
Sheridan,Sheridan,Attorney,,D,A J Kotich,14
Sheridan,Solomon,Attorney,,D,A J Kotich,11
Sheridan,Springbrook,Attorney,,D,A J Kotich,2
Sheridan,Union,Attorney,,D,A J Kotich,0
Sheridan,Valley,Attorney,,D,A J Kotich,7
SHERIDAN KS,SHERIDAN KS,Attorney,,D,A J Kotich,135
Sheridan,Adell,Attorney,,R,Derek Schmidt,7
Sheridan,Bloomfield,Attorney,,R,Derek Schmidt,16
Sheridan,Bowcreek,Attorney,,R,Derek Schmidt,21
Sheridan,Kenneth - East,Attorney,,R,Derek Schmidt,251
Sheridan,Kenneth - West,Attorney,,R,Derek Schmidt,209
Sheridan,Logan,Attorney,,R,Derek Schmidt,30
Sheridan,Parnell,Attorney,,R,Derek Schmidt,41
Sheridan,Prairie Dog,Attorney,,R,Derek Schmidt,14
Sheridan,"Saline, East",Attorney,,R,Derek Schmidt,26
Sheridan,"Saline, West",Attorney,,R,Derek Schmidt,19
Sheridan,Sheridan,Attorney,,R,Derek Schmidt,82
Sheridan,Solomon,Attorney,,R,Derek Schmidt,69
Sheridan,Springbrook,Attorney,,R,Derek Schmidt,35
Sheridan,Union,Attorney,,R,Derek Schmidt,17
Sheridan,Valley,Attorney,,R,Derek Schmidt,37
SHERIDAN KS,SHERIDAN KS,Attorney,,R,Derek Schmidt,874
Sheridan,Adell,Treasurer,,D,Carmen Alldritt,2
Sheridan,Bloomfield,Treasurer,,D,Carmen Alldritt,3
Sheridan,Bowcreek,Treasurer,,D,Carmen Alldritt,2
Sheridan,Kenneth - East,Treasurer,,D,Carmen Alldritt,38
Sheridan,Kenneth - West,Treasurer,,D,Carmen Alldritt,34
Sheridan,Logan,Treasurer,,D,Carmen Alldritt,4
Sheridan,Parnell,Treasurer,,D,Carmen Alldritt,3
Sheridan,Prairie Dog,Treasurer,,D,Carmen Alldritt,3
Sheridan,"Saline, East",Treasurer,,D,Carmen Alldritt,2
Sheridan,"Saline, West",Treasurer,,D,Carmen Alldritt,3
Sheridan,Sheridan,Treasurer,,D,Carmen Alldritt,22
Sheridan,Solomon,Treasurer,,D,Carmen Alldritt,8
Sheridan,Springbrook,Treasurer,,D,Carmen Alldritt,2
Sheridan,Union,Treasurer,,D,Carmen Alldritt,2
Sheridan,Valley,Treasurer,,D,Carmen Alldritt,5
SHERIDAN KS,SHERIDAN KS,Treasurer,,D,Carmen Alldritt,133
Sheridan,Adell,Treasurer,,R,Ron Estes,7
Sheridan,Bloomfield,Treasurer,,R,Ron Estes,17
Sheridan,Bowcreek,Treasurer,,R,Ron Estes,19
Sheridan,Kenneth - East,Treasurer,,R,Ron Estes,254
Sheridan,Kenneth - West,Treasurer,,R,Ron Estes,211
Sheridan,Logan,Treasurer,,R,Ron Estes,30
Sheridan,Parnell,Treasurer,,R,Ron Estes,40
Sheridan,Prairie Dog,Treasurer,,R,Ron Estes,15
Sheridan,"Saline, East",Treasurer,,R,Ron Estes,27
Sheridan,"Saline, West",Treasurer,,R,Ron Estes,20
Sheridan,Sheridan,Treasurer,,R,Ron Estes,73
Sheridan,Solomon,Treasurer,,R,Ron Estes,71
Sheridan,Springbrook,Treasurer,,R,Ron Estes,35
Sheridan,Union,Treasurer,,R,Ron Estes,15
Sheridan,Valley,Treasurer,,R,Ron Estes,39
SHERIDAN KS,SHERIDAN KS,Treasurer,,R,Ron Estes,873
Sheridan,Adell,Insurance,,D,Dennis Anderson,2
Sheridan,Bloomfield,Insurance,,D,Dennis Anderson,2
Sheridan,Bowcreek,Insurance,,D,Dennis Anderson,1
Sheridan,Kenneth - East,Insurance,,D,Dennis Anderson,45
Sheridan,Kenneth - West,Insurance,,D,Dennis Anderson,53
Sheridan,Logan,Insurance,,D,Dennis Anderson,4
Sheridan,Parnell,Insurance,,D,Dennis Anderson,4
Sheridan,Prairie Dog,Insurance,,D,Dennis Anderson,2
Sheridan,"Saline, East",Insurance,,D,Dennis Anderson,1
Sheridan,"Saline, West",Insurance,,D,Dennis Anderson,4
Sheridan,Sheridan,Insurance,,D,Dennis Anderson,22
Sheridan,Solomon,Insurance,,D,Dennis Anderson,10
Sheridan,Springbrook,Insurance,,D,Dennis Anderson,1
Sheridan,Union,Insurance,,D,Dennis Anderson,3
Sheridan,Valley,Insurance,,D,Dennis Anderson,7
SHERIDAN KS,SHERIDAN KS,Insurance,,D,Dennis Anderson,161
Sheridan,Adell,Insurance,,R,Ken Selzer,7
Sheridan,Bloomfield,Insurance,,R,Ken Selzer,18
Sheridan,Bowcreek,Insurance,,R,Ken Selzer,21
Sheridan,Kenneth - East,Insurance,,R,Ken Selzer,240
Sheridan,Kenneth - West,Insurance,,R,Ken Selzer,188
Sheridan,Logan,Insurance,,R,Ken Selzer,30
Sheridan,Parnell,Insurance,,R,Ken Selzer,40
Sheridan,Prairie Dog,Insurance,,R,Ken Selzer,16
Sheridan,"Saline, East",Insurance,,R,Ken Selzer,27
Sheridan,"Saline, West",Insurance,,R,Ken Selzer,19
Sheridan,Sheridan,Insurance,,R,Ken Selzer,70
Sheridan,Solomon,Insurance,,R,Ken Selzer,66
Sheridan,Springbrook,Insurance,,R,Ken Selzer,36
Sheridan,Union,Insurance,,R,Ken Selzer,13
Sheridan,Valley,Insurance,,R,Ken Selzer,34
SHERIDAN KS,SHERIDAN KS,Insurance,,R,Ken Selzer,825
Sheridan,Adell,State Rep 118,H118,R,Don Hineman,9
Sheridan,Bloomfield,State Rep 118,H118,R,Don Hineman,18
Sheridan,Bowcreek,State Rep 118,H118,R,Don Hineman,20
Sheridan,Kenneth - East,State Rep 118,H118,R,Don Hineman,264
Sheridan,Kenneth - West,State Rep 118,H118,R,Don Hineman,216
Sheridan,Logan,State Rep 118,H118,R,Don Hineman,32
Sheridan,Parnell,State Rep 118,H118,R,Don Hineman,44
Sheridan,Prairie Dog,State Rep 118,H118,R,Don Hineman,19
Sheridan,"Saline, East",State Rep 118,H118,R,Don Hineman,27
Sheridan,"Saline, West",State Rep 118,H118,R,Don Hineman,20
Sheridan,Sheridan,State Rep 118,H118,R,Don Hineman,82
Sheridan,Solomon,State Rep 118,H118,R,Don Hineman,78
Sheridan,Springbrook,State Rep 118,H118,R,Don Hineman,35
Sheridan,Union,State Rep 118,H118,R,Don Hineman,16
Sheridan,Valley,State Rep 118,H118,R,Don Hineman,40
SHERIDAN KS,SHERIDAN KS,State Rep 118,H118,R,Don Hineman,920
