COUNTY,PRECINCT,,,,,VOTES
Montgomery,CANEY W2P1,US Senate,,I,Greg Orman,22
Montgomery,CANEY W3P1,US Senate,,I,Greg Orman,16
Montgomery,CANEY W3P2,US Senate,,I,Greg Orman,0
Montgomery,CANEY W4P1,US Senate,,I,Greg Orman,17
Montgomery,CANEY W4P2,US Senate,,I,Greg Orman,0
Montgomery,CHERRYVALE 1,US Senate,,I,Greg Orman,78
Montgomery,CHERRYVALE 2,US Senate,,I,Greg Orman,60
Montgomery,COFFEYVILLE 1,US Senate,,I,Greg Orman,18
Montgomery,COFFEYVILLE 2,US Senate,,I,Greg Orman,27
Montgomery,COFFEYVILLE 3,US Senate,,I,Greg Orman,41
Montgomery,COFFEYVILLE 4,US Senate,,I,Greg Orman,46
Montgomery,COFFEYVILLE 5,US Senate,,I,Greg Orman,76
Montgomery,COFFEYVILLE 6,US Senate,,I,Greg Orman,16
Montgomery,COFFEYVILLE 7,US Senate,,I,Greg Orman,28
Montgomery,COFFEYVILLE 8,US Senate,,I,Greg Orman,25
Montgomery,COFFEYVILLE 9,US Senate,,I,Greg Orman,15
Montgomery,COFFEYVILLE 10,US Senate,,I,Greg Orman,36
Montgomery,COFFEYVILLE 11,US Senate,,I,Greg Orman,85
Montgomery,COFFEYVILLE 12,US Senate,,I,Greg Orman,98
Montgomery,COFFEYVILLE 13,US Senate,,I,Greg Orman,95
Montgomery,INDEPENDENCE W1P1,US Senate,,I,Greg Orman,37
Montgomery,INDEPENDENCE W1P2,US Senate,,I,Greg Orman,64
Montgomery,INDEPENDENCE W2P1,US Senate,,I,Greg Orman,29
Montgomery,INDEPENDENCE W2P2,US Senate,,I,Greg Orman,17
Montgomery,INDEPENDENCE W3P1,US Senate,,I,Greg Orman,39
Montgomery,INDEPENDENCE W3P2,US Senate,,I,Greg Orman,23
Montgomery,INDEPENDENCE W3P2 EX,US Senate,,I,Greg Orman,0
Montgomery,INDEPENDENCE W4P1,US Senate,,I,Greg Orman,58
Montgomery,INDEPENDENCE W4P2,US Senate,,I,Greg Orman,32
Montgomery,INDEPENDENCE W5P1,US Senate,,I,Greg Orman,29
Montgomery,INDEPENDENCE W5P2,US Senate,,I,Greg Orman,71
Montgomery,INDEPENDENCE W6P1 H11,US Senate,,I,Greg Orman,8
Montgomery,INDEPENDENCE W6P1 H12,US Senate,,I,Greg Orman,86
Montgomery,INDEPENDENCE W6P2 H11,US Senate,,I,Greg Orman,54
Montgomery,INDEPENDENCE W6P2 H12,US Senate,,I,Greg Orman,14
Montgomery,INDEPENDENCE W6P2 H11A,US Senate,,I,Greg Orman,43
Montgomery,INDEPENDENCE W6P2 H12A,US Senate,,I,Greg Orman,3
Montgomery,CANEY-HAVANA,US Senate,,I,Greg Orman,42
Montgomery,CANEY-TYRO,US Senate,,I,Greg Orman,24
Montgomery,CHEROKEE,US Senate,,I,Greg Orman,33
Montgomery,CHERRY,US Senate,,I,Greg Orman,42
Montgomery,DRUM CREEK ,US Senate,,I,Greg Orman,33
Montgomery,FAWN CREEK-DEARING,US Senate,,I,Greg Orman,120
Montgomery,FAWN CREEK-TYRO,US Senate,,I,Greg Orman,21
Montgomery,INDEPENDENCE TWP 1 H11,US Senate,,I,Greg Orman,101
Montgomery,INDEPENDENCE TWP 1 H12,US Senate,,I,Greg Orman,17
Montgomery,INDEPENDENCE TWP 2 A H12,US Senate,,I,Greg Orman,30
Montgomery,INDEPENDENCE TWP 2 C H11,US Senate,,I,Greg Orman,8
Montgomery,LIBERTY,US Senate,,I,Greg Orman,41
Montgomery,LOUISBURG,US Senate,,I,Greg Orman,35
Montgomery,PARKER 1,US Senate,,I,Greg Orman,27
Montgomery,PARKER 2,US Senate,,I,Greg Orman,105
Montgomery,PARKER 2 EX H11,US Senate,,I,Greg Orman,3
Montgomery,RUTLAND,US Senate,,I,Greg Orman,17
Montgomery,SYCAMORE,US Senate,,I,Greg Orman,60
Montgomery,WEST CHERRY,US Senate,,I,Greg Orman,23
Montgomery,CANEY W1P1,US Senate,,l,Randall Batson,8
Montgomery,CANEY W1P2 H12,US Senate,,l,Randall Batson,0
Montgomery,CANEY W2P1,US Senate,,l,Randall Batson,6
Montgomery,CANEY W3P1,US Senate,,l,Randall Batson,7
Montgomery,CANEY W3P2,US Senate,,l,Randall Batson,0
Montgomery,CANEY W4P1,US Senate,,l,Randall Batson,8
Montgomery,CANEY W4P2,US Senate,,l,Randall Batson,0
Montgomery,CHERRYVALE 1,US Senate,,l,Randall Batson,21
Montgomery,CHERRYVALE 2,US Senate,,l,Randall Batson,15
Montgomery,COFFEYVILLE 1,US Senate,,l,Randall Batson,2
Montgomery,COFFEYVILLE 2,US Senate,,l,Randall Batson,3
Montgomery,COFFEYVILLE 3,US Senate,,l,Randall Batson,8
Montgomery,COFFEYVILLE 4,US Senate,,l,Randall Batson,6
Montgomery,COFFEYVILLE 5,US Senate,,l,Randall Batson,8
Montgomery,COFFEYVILLE 6,US Senate,,l,Randall Batson,5
Montgomery,COFFEYVILLE 7,US Senate,,l,Randall Batson,6
Montgomery,COFFEYVILLE 8,US Senate,,l,Randall Batson,8
Montgomery,COFFEYVILLE 9,US Senate,,l,Randall Batson,2
Montgomery,COFFEYVILLE 10,US Senate,,l,Randall Batson,7
Montgomery,COFFEYVILLE 11,US Senate,,l,Randall Batson,12
Montgomery,COFFEYVILLE 12,US Senate,,l,Randall Batson,19
Montgomery,COFFEYVILLE 13,US Senate,,l,Randall Batson,9
Montgomery,INDEPENDENCE W1P1,US Senate,,l,Randall Batson,8
Montgomery,INDEPENDENCE W1P2,US Senate,,l,Randall Batson,8
Montgomery,INDEPENDENCE W2P1,US Senate,,l,Randall Batson,2
Montgomery,INDEPENDENCE W2P2,US Senate,,l,Randall Batson,4
Montgomery,INDEPENDENCE W3P1,US Senate,,l,Randall Batson,13
Montgomery,INDEPENDENCE W3P2,US Senate,,l,Randall Batson,8
Montgomery,INDEPENDENCE W3P2 EX,US Senate,,l,Randall Batson,0
Montgomery,INDEPENDENCE W4P1,US Senate,,l,Randall Batson,12
Montgomery,INDEPENDENCE W4P2,US Senate,,l,Randall Batson,7
Montgomery,INDEPENDENCE W5P1,US Senate,,l,Randall Batson,8
Montgomery,INDEPENDENCE W5P2,US Senate,,l,Randall Batson,9
Montgomery,INDEPENDENCE W6P1 H11,US Senate,,l,Randall Batson,0
Montgomery,INDEPENDENCE W6P1 H12,US Senate,,l,Randall Batson,11
Montgomery,INDEPENDENCE W6P2 H11,US Senate,,l,Randall Batson,4
Montgomery,INDEPENDENCE W6P2 H12,US Senate,,l,Randall Batson,1
Montgomery,INDEPENDENCE W6P2 H11A,US Senate,,l,Randall Batson,7
Montgomery,INDEPENDENCE W6P2 H12A,US Senate,,l,Randall Batson,0
Montgomery,CANEY-HAVANA,US Senate,,l,Randall Batson,3
Montgomery,CANEY-TYRO,US Senate,,l,Randall Batson,5
Montgomery,CHEROKEE,US Senate,,l,Randall Batson,7
Montgomery,CHERRY,US Senate,,l,Randall Batson,10
Montgomery,DRUM CREEK ,US Senate,,l,Randall Batson,7
Montgomery,FAWN CREEK-DEARING,US Senate,,l,Randall Batson,17
Montgomery,FAWN CREEK-TYRO,US Senate,,l,Randall Batson,1
Montgomery,INDEPENDENCE TWP 1 H11,US Senate,,l,Randall Batson,22
Montgomery,INDEPENDENCE TWP 1 H12,US Senate,,l,Randall Batson,3
Montgomery,INDEPENDENCE TWP 2 A H12,US Senate,,l,Randall Batson,6
Montgomery,INDEPENDENCE TWP 2 C H11,US Senate,,l,Randall Batson,2
Montgomery,LIBERTY,US Senate,,l,Randall Batson,7
Montgomery,LOUISBURG,US Senate,,l,Randall Batson,10
Montgomery,PARKER 1,US Senate,,l,Randall Batson,2
Montgomery,PARKER 2,US Senate,,l,Randall Batson,15
Montgomery,PARKER 2 EX H11,US Senate,,l,Randall Batson,1
Montgomery,RUTLAND,US Senate,,l,Randall Batson,4
Montgomery,SYCAMORE,US Senate,,l,Randall Batson,13
Montgomery,WEST CHERRY,US Senate,,l,Randall Batson,6
Montgomery,CANEY W1P1,Congress 2,CD2,R,Lynn Jenkins,88
Montgomery,CANEY W1P2 H12,Congress 2,CD2,R,Lynn Jenkins,1
Montgomery,CANEY W2P1,Congress 2,CD2,R,Lynn Jenkins,74
Montgomery,CANEY W3P1,Congress 2,CD2,R,Lynn Jenkins,99
Montgomery,CANEY W3P2,Congress 2,CD2,R,Lynn Jenkins,2
Montgomery,CANEY W4P1,Congress 2,CD2,R,Lynn Jenkins,118
Montgomery,CANEY W4P2,Congress 2,CD2,R,Lynn Jenkins,1
Montgomery,CHERRYVALE 1,Congress 2,CD2,R,Lynn Jenkins,205
Montgomery,CHERRYVALE 2,Congress 2,CD2,R,Lynn Jenkins,161
Montgomery,COFFEYVILLE 1,Congress 2,CD2,R,Lynn Jenkins,5
Montgomery,COFFEYVILLE 2,Congress 2,CD2,R,Lynn Jenkins,51
Montgomery,COFFEYVILLE 3,Congress 2,CD2,R,Lynn Jenkins,68
Montgomery,COFFEYVILLE 4,Congress 2,CD2,R,Lynn Jenkins,101
Montgomery,COFFEYVILLE 5,Congress 2,CD2,R,Lynn Jenkins,118
Montgomery,COFFEYVILLE 6,Congress 2,CD2,R,Lynn Jenkins,31
Montgomery,COFFEYVILLE 7,Congress 2,CD2,R,Lynn Jenkins,46
Montgomery,COFFEYVILLE 8,Congress 2,CD2,R,Lynn Jenkins,63
Montgomery,COFFEYVILLE 9,Congress 2,CD2,R,Lynn Jenkins,14
Montgomery,COFFEYVILLE 10,Congress 2,CD2,R,Lynn Jenkins,62
Montgomery,COFFEYVILLE 11,Congress 2,CD2,R,Lynn Jenkins,161
Montgomery,COFFEYVILLE 12,Congress 2,CD2,R,Lynn Jenkins,259
Montgomery,COFFEYVILLE 13,Congress 2,CD2,R,Lynn Jenkins,222
Montgomery,INDEPENDENCE W1P1,Congress 2,CD2,R,Lynn Jenkins,70
Montgomery,INDEPENDENCE W1P2,Congress 2,CD2,R,Lynn Jenkins,148
Montgomery,INDEPENDENCE W2P1,Congress 2,CD2,R,Lynn Jenkins,56
Montgomery,INDEPENDENCE W2P2,Congress 2,CD2,R,Lynn Jenkins,43
Montgomery,INDEPENDENCE W3P1,Congress 2,CD2,R,Lynn Jenkins,122
Montgomery,INDEPENDENCE W3P2,Congress 2,CD2,R,Lynn Jenkins,57
Montgomery,INDEPENDENCE W3P2 EX,Congress 2,CD2,R,Lynn Jenkins,1
Montgomery,INDEPENDENCE W4P1,Congress 2,CD2,R,Lynn Jenkins,107
Montgomery,INDEPENDENCE W4P2,Congress 2,CD2,R,Lynn Jenkins,70
Montgomery,INDEPENDENCE W5P1,Congress 2,CD2,R,Lynn Jenkins,73
Montgomery,INDEPENDENCE W5P2,Congress 2,CD2,R,Lynn Jenkins,138
Montgomery,INDEPENDENCE W6P1 H11,Congress 2,CD2,R,Lynn Jenkins,12
Montgomery,INDEPENDENCE W6P1 H12,Congress 2,CD2,R,Lynn Jenkins,197
Montgomery,INDEPENDENCE W6P2 H11,Congress 2,CD2,R,Lynn Jenkins,184
Montgomery,INDEPENDENCE W6P2 H12,Congress 2,CD2,R,Lynn Jenkins,62
Montgomery,INDEPENDENCE W6P2 H11A,Congress 2,CD2,R,Lynn Jenkins,75
Montgomery,INDEPENDENCE W6P2 H12A,Congress 2,CD2,R,Lynn Jenkins,6
Montgomery,CANEY-HAVANA,Congress 2,CD2,R,Lynn Jenkins,180
Montgomery,CANEY-TYRO,Congress 2,CD2,R,Lynn Jenkins,211
Montgomery,CHEROKEE,Congress 2,CD2,R,Lynn Jenkins,89
Montgomery,CHERRY,Congress 2,CD2,R,Lynn Jenkins,145
Montgomery,DRUM CREEK ,Congress 2,CD2,R,Lynn Jenkins,168
Montgomery,FAWN CREEK-DEARING,Congress 2,CD2,R,Lynn Jenkins,421
Montgomery,FAWN CREEK-TYRO,Congress 2,CD2,R,Lynn Jenkins,124
Montgomery,INDEPENDENCE TWP 1 H11,Congress 2,CD2,R,Lynn Jenkins,423
Montgomery,INDEPENDENCE TWP 1 H12,Congress 2,CD2,R,Lynn Jenkins,73
Montgomery,INDEPENDENCE TWP 2 A H12,Congress 2,CD2,R,Lynn Jenkins,106
Montgomery,INDEPENDENCE TWP 2 C H11,Congress 2,CD2,R,Lynn Jenkins,35
Montgomery,LIBERTY,Congress 2,CD2,R,Lynn Jenkins,137
Montgomery,LOUISBURG,Congress 2,CD2,R,Lynn Jenkins,134
Montgomery,PARKER 1,Congress 2,CD2,R,Lynn Jenkins,64
Montgomery,PARKER 2,Congress 2,CD2,R,Lynn Jenkins,202
Montgomery,PARKER 2 EX H11,Congress 2,CD2,R,Lynn Jenkins,5
Montgomery,RUTLAND,Congress 2,CD2,R,Lynn Jenkins,110
Montgomery,SYCAMORE,Congress 2,CD2,R,Lynn Jenkins,269
Montgomery,WEST CHERRY,Congress 2,CD2,R,Lynn Jenkins,78
Montgomery,CANEY W1P1,Congress 2,CD2,D,Margie Wakefield,21
Montgomery,CANEY W1P2 H12,Congress 2,CD2,D,Margie Wakefield,2
Montgomery,CANEY W2P1,Congress 2,CD2,D,Margie Wakefield,21
Montgomery,CANEY W3P1,Congress 2,CD2,D,Margie Wakefield,17
Montgomery,CANEY W3P2,Congress 2,CD2,D,Margie Wakefield,0
Montgomery,CANEY W4P1,Congress 2,CD2,D,Margie Wakefield,17
Montgomery,CANEY W4P2,Congress 2,CD2,D,Margie Wakefield,0
Montgomery,CHERRYVALE 1,Congress 2,CD2,D,Margie Wakefield,71
Montgomery,CHERRYVALE 2,Congress 2,CD2,D,Margie Wakefield,56
Montgomery,COFFEYVILLE 1,Congress 2,CD2,D,Margie Wakefield,22
Montgomery,COFFEYVILLE 2,Congress 2,CD2,D,Margie Wakefield,26
Montgomery,COFFEYVILLE 3,Congress 2,CD2,D,Margie Wakefield,45
Montgomery,COFFEYVILLE 4,Congress 2,CD2,D,Margie Wakefield,42
Montgomery,COFFEYVILLE 5,Congress 2,CD2,D,Margie Wakefield,65
Montgomery,COFFEYVILLE 6,Congress 2,CD2,D,Margie Wakefield,24
Montgomery,COFFEYVILLE 7,Congress 2,CD2,D,Margie Wakefield,27
Montgomery,COFFEYVILLE 8,Congress 2,CD2,D,Margie Wakefield,37
Montgomery,COFFEYVILLE 9,Congress 2,CD2,D,Margie Wakefield,16
Montgomery,COFFEYVILLE 10,Congress 2,CD2,D,Margie Wakefield,38
Montgomery,COFFEYVILLE 11,Congress 2,CD2,D,Margie Wakefield,88
Montgomery,COFFEYVILLE 12,Congress 2,CD2,D,Margie Wakefield,99
Montgomery,COFFEYVILLE 13,Congress 2,CD2,D,Margie Wakefield,84
Montgomery,INDEPENDENCE W1P1,Congress 2,CD2,D,Margie Wakefield,34
Montgomery,INDEPENDENCE W1P2,Congress 2,CD2,D,Margie Wakefield,45
Montgomery,INDEPENDENCE W2P1,Congress 2,CD2,D,Margie Wakefield,20
Montgomery,INDEPENDENCE W2P2,Congress 2,CD2,D,Margie Wakefield,18
Montgomery,INDEPENDENCE W3P1,Congress 2,CD2,D,Margie Wakefield,28
Montgomery,INDEPENDENCE W3P2,Congress 2,CD2,D,Margie Wakefield,20
Montgomery,INDEPENDENCE W3P2 EX,Congress 2,CD2,D,Margie Wakefield,0
Montgomery,INDEPENDENCE W4P1,Congress 2,CD2,D,Margie Wakefield,55
Montgomery,INDEPENDENCE W4P2,Congress 2,CD2,D,Margie Wakefield,28
Montgomery,INDEPENDENCE W5P1,Congress 2,CD2,D,Margie Wakefield,26
Montgomery,INDEPENDENCE W5P2,Congress 2,CD2,D,Margie Wakefield,64
Montgomery,INDEPENDENCE W6P1 H11,Congress 2,CD2,D,Margie Wakefield,6
Montgomery,INDEPENDENCE W6P1 H12,Congress 2,CD2,D,Margie Wakefield,78
Montgomery,INDEPENDENCE W6P2 H11,Congress 2,CD2,D,Margie Wakefield,44
Montgomery,INDEPENDENCE W6P2 H12,Congress 2,CD2,D,Margie Wakefield,10
Montgomery,INDEPENDENCE W6P2 H11A,Congress 2,CD2,D,Margie Wakefield,30
Montgomery,INDEPENDENCE W6P2 H12A,Congress 2,CD2,D,Margie Wakefield,3
Montgomery,CANEY-HAVANA,Congress 2,CD2,D,Margie Wakefield,25
Montgomery,CANEY-TYRO,Congress 2,CD2,D,Margie Wakefield,24
Montgomery,CHEROKEE,Congress 2,CD2,D,Margie Wakefield,31
Montgomery,CHERRY,Congress 2,CD2,D,Margie Wakefield,32
Montgomery,DRUM CREEK ,Congress 2,CD2,D,Margie Wakefield,35
Montgomery,FAWN CREEK-DEARING,Congress 2,CD2,D,Margie Wakefield,94
Montgomery,FAWN CREEK-TYRO,Congress 2,CD2,D,Margie Wakefield,14
Montgomery,INDEPENDENCE TWP 1 H11,Congress 2,CD2,D,Margie Wakefield,85
Montgomery,INDEPENDENCE TWP 1 H12,Congress 2,CD2,D,Margie Wakefield,12
Montgomery,INDEPENDENCE TWP 2 A H12,Congress 2,CD2,D,Margie Wakefield,29
Montgomery,INDEPENDENCE TWP 2 C H11,Congress 2,CD2,D,Margie Wakefield,3
Montgomery,LIBERTY,Congress 2,CD2,D,Margie Wakefield,38
Montgomery,LOUISBURG,Congress 2,CD2,D,Margie Wakefield,25
Montgomery,PARKER 1,Congress 2,CD2,D,Margie Wakefield,23
Montgomery,PARKER 2,Congress 2,CD2,D,Margie Wakefield,87
Montgomery,PARKER 2 EX H11,Congress 2,CD2,D,Margie Wakefield,3
Montgomery,RUTLAND,Congress 2,CD2,D,Margie Wakefield,17
Montgomery,SYCAMORE,Congress 2,CD2,D,Margie Wakefield,46
Montgomery,WEST CHERRY,Congress 2,CD2,D,Margie Wakefield,18
Montgomery,CANEY W1P1,Congress 2,CD2,L,Christopher Clemmons,4
Montgomery,CANEY W1P2 H12,Congress 2,CD2,L,Christopher Clemmons,0
Montgomery,CANEY W2P1,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,CANEY W3P1,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,CANEY W3P2,Congress 2,CD2,L,Christopher Clemmons,0
Montgomery,CANEY W4P1,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,CANEY W4P2,Congress 2,CD2,L,Christopher Clemmons,0
Montgomery,CHERRYVALE 1,Congress 2,CD2,L,Christopher Clemmons,22
Montgomery,CHERRYVALE 2,Congress 2,CD2,L,Christopher Clemmons,13
Montgomery,COFFEYVILLE 1,Congress 2,CD2,L,Christopher Clemmons,0
Montgomery,COFFEYVILLE 2,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,COFFEYVILLE 3,Congress 2,CD2,L,Christopher Clemmons,8
Montgomery,COFFEYVILLE 4,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,COFFEYVILLE 5,Congress 2,CD2,L,Christopher Clemmons,8
Montgomery,COFFEYVILLE 6,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,COFFEYVILLE 7,Congress 2,CD2,L,Christopher Clemmons,3
Montgomery,COFFEYVILLE 8,Congress 2,CD2,L,Christopher Clemmons,3
Montgomery,COFFEYVILLE 9,Congress 2,CD2,L,Christopher Clemmons,3
Montgomery,COFFEYVILLE 10,Congress 2,CD2,L,Christopher Clemmons,3
Montgomery,COFFEYVILLE 11,Congress 2,CD2,L,Christopher Clemmons,8
Montgomery,COFFEYVILLE 12,Congress 2,CD2,L,Christopher Clemmons,11
Montgomery,COFFEYVILLE 13,Congress 2,CD2,L,Christopher Clemmons,12
Montgomery,INDEPENDENCE W1P1,Congress 2,CD2,L,Christopher Clemmons,4
Montgomery,INDEPENDENCE W1P2,Congress 2,CD2,L,Christopher Clemmons,3
Montgomery,INDEPENDENCE W2P1,Congress 2,CD2,L,Christopher Clemmons,5
Montgomery,INDEPENDENCE W2P2,Congress 2,CD2,L,Christopher Clemmons,2
Montgomery,INDEPENDENCE W3P1,Congress 2,CD2,L,Christopher Clemmons,3
Montgomery,INDEPENDENCE W3P2,Congress 2,CD2,L,Christopher Clemmons,9
Montgomery,INDEPENDENCE W3P2 EX,Congress 2,CD2,L,Christopher Clemmons,0
Montgomery,INDEPENDENCE W4P1,Congress 2,CD2,L,Christopher Clemmons,10
