COUNTY,PRECINCT,,,,,VOTES
Montgomery,CANEY W1P1,Voters,,,,116
Montgomery,CANEY W1P2 H12,Voters,,,,4
Montgomery,CANEY W2P1,Voters,,,,101
Montgomery,CANEY W3P1,Voters,,,,121
Montgomery,CANEY W3P2,Voters,,,,2
Montgomery,CANEY W4P1,Voters,,,,142
Montgomery,CANEY W4P2,Voters,,,,1
Montgomery,CHERRYVALE 1,Voters,,,,303
Montgomery,CHERRYVALE 2,Voters,,,,233
Montgomery,COFFEYVILLE 1,Voters,,,,27
Montgomery,COFFEYVILLE 2,Voters,,,,81
Montgomery,COFFEYVILLE 3,Voters,,,,123
Montgomery,COFFEYVILLE 4,Voters,,,,150
Montgomery,COFFEYVILLE 5,Voters,,,,193
Montgomery,COFFEYVILLE 6,Voters,,,,59
Montgomery,COFFEYVILLE 7,Voters,,,,77
Montgomery,COFFEYVILLE 8,Voters,,,,105
Montgomery,COFFEYVILLE 9,Voters,,,,34
Montgomery,COFFEYVILLE 10,Voters,,,,105
Montgomery,COFFEYVILLE 11,Voters,,,,266
Montgomery,COFFEYVILLE 12,Voters,,,,375
Montgomery,COFFEYVILLE 13,Voters,,,,324
Montgomery,INDEPENDENCE W1P1,Voters,,,,109
Montgomery,INDEPENDENCE W1P2,Voters,,,,197
Montgomery,INDEPENDENCE W2P1,Voters,,,,81
Montgomery,INDEPENDENCE W2P2,Voters,,,,64
Montgomery,INDEPENDENCE W3P1,Voters,,,,158
Montgomery,INDEPENDENCE W3P2,Voters,,,,87
Montgomery,INDEPENDENCE W3P2 EX,Voters,,,,1
Montgomery,INDEPENDENCE W4P1,Voters,,,,175
Montgomery,INDEPENDENCE W4P2,Voters,,,,110
Montgomery,INDEPENDENCE W5P1,Voters,,,,106
Montgomery,INDEPENDENCE W5P2,Voters,,,,211
Montgomery,INDEPENDENCE W6P1 H11,Voters,,,,21
Montgomery,INDEPENDENCE W6P1 H12,Voters,,,,286
Montgomery,INDEPENDENCE W6P2 H11,Voters,,,,232
Montgomery,INDEPENDENCE W6P2 H12,Voters,,,,74
Montgomery,INDEPENDENCE W6P2 H11A,Voters,,,,111
Montgomery,INDEPENDENCE W6P2 H12A,Voters,,,,9
Montgomery,CANEY-HAVANA,Voters,,,,201
Montgomery,CANEY-TYRO,Voters,,,,240
Montgomery,CHEROKEE,Voters,,,,133
Montgomery,CHERRY,Voters,,,,204
Montgomery,DRUM CREEK ,Voters,,,,207
Montgomery,FAWN CREEK-DEARING,Voters,,,,533
Montgomery,FAWN CREEK-TYRO,Voters,,,,150
Montgomery,INDEPENDENCE TWP 1 H11,Voters,,,,532
Montgomery,INDEPENDENCE TWP 1 H12,Voters,,,,102
Montgomery,INDEPENDENCE TWP 2 A H12,Voters,,,,136
Montgomery,INDEPENDENCE TWP 2 C H11,Voters,,,,40
Montgomery,LIBERTY,Voters,,,,185
Montgomery,LOUISBURG,Voters,,,,175
Montgomery,PARKER 1,Voters,,,,93
Montgomery,PARKER 2,Voters,,,,308
Montgomery,PARKER 2 EX H11,Voters,,,,10
Montgomery,RUTLAND,Voters,,,,132
Montgomery,SYCAMORE,Voters,,,,340
Montgomery,WEST CHERRY,Voters,,,,103
,,,,,,
Montgomery,CANEY W1P1,US Senate,,R,Pat Roberts,82
Montgomery,CANEY W1P2 H12,US Senate,,R,Pat Roberts,3
Montgomery,CANEY W2P1,US Senate,,R,Pat Roberts,72
Montgomery,CANEY W3P1,US Senate,,R,Pat Roberts,96
Montgomery,CANEY W3P2,US Senate,,R,Pat Roberts,2
Montgomery,CANEY W4P1,US Senate,,R,Pat Roberts,116
Montgomery,CANEY W4P2,US Senate,,R,Pat Roberts,1
Montgomery,CHERRYVALE 1,US Senate,,R,Pat Roberts,195
Montgomery,CHERRYVALE 2,US Senate,,R,Pat Roberts,151
Montgomery,COFFEYVILLE 1,US Senate,,R,Pat Roberts,4
Montgomery,COFFEYVILLE 2,US Senate,,R,Pat Roberts,46
Montgomery,COFFEYVILLE 3,US Senate,,R,Pat Roberts,69
Montgomery,COFFEYVILLE 4,US Senate,,R,Pat Roberts,95
Montgomery,COFFEYVILLE 5,US Senate,,R,Pat Roberts,105
Montgomery,COFFEYVILLE 6,US Senate,,R,Pat Roberts,32
Montgomery,COFFEYVILLE 7,US Senate,,R,Pat Roberts,43
Montgomery,COFFEYVILLE 8,US Senate,,R,Pat Roberts,65
Montgomery,COFFEYVILLE 9,US Senate,,R,Pat Roberts,16
Montgomery,COFFEYVILLE 10,US Senate,,R,Pat Roberts,58
Montgomery,COFFEYVILLE 11,US Senate,,R,Pat Roberts,163
Montgomery,COFFEYVILLE 12,US Senate,,R,Pat Roberts,253
Montgomery,COFFEYVILLE 13,US Senate,,R,Pat Roberts,214
Montgomery,INDEPENDENCE W1P1,US Senate,,R,Pat Roberts,62
Montgomery,INDEPENDENCE W1P2,US Senate,,R,Pat Roberts,123
Montgomery,INDEPENDENCE W2P1,US Senate,,R,Pat Roberts,50
Montgomery,INDEPENDENCE W2P2,US Senate,,R,Pat Roberts,39
Montgomery,INDEPENDENCE W3P1,US Senate,,R,Pat Roberts,97
Montgomery,INDEPENDENCE W3P2,US Senate,,R,Pat Roberts,52
Montgomery,INDEPENDENCE W3P2 EX,US Senate,,R,Pat Roberts,1
Montgomery,INDEPENDENCE W4P1,US Senate,,R,Pat Roberts,100
Montgomery,INDEPENDENCE W4P2,US Senate,,R,Pat Roberts,66
Montgomery,INDEPENDENCE W5P1,US Senate,,R,Pat Roberts,65
Montgomery,INDEPENDENCE W5P2,US Senate,,R,Pat Roberts,127
Montgomery,INDEPENDENCE W6P1 H11,US Senate,,R,Pat Roberts,12
Montgomery,INDEPENDENCE W6P1 H12,US Senate,,R,Pat Roberts,186
Montgomery,INDEPENDENCE W6P2 H11,US Senate,,R,Pat Roberts,172
Montgomery,INDEPENDENCE W6P2 H12,US Senate,,R,Pat Roberts,59
Montgomery,INDEPENDENCE W6P2 H11A,US Senate,,R,Pat Roberts,59
Montgomery,INDEPENDENCE W6P2 H12A,US Senate,,R,Pat Roberts,6
Montgomery,CANEY-HAVANA,US Senate,,R,Pat Roberts,167
Montgomery,CANEY-TYRO,US Senate,,R,Pat Roberts,212
Montgomery,CHEROKEE,US Senate,,R,Pat Roberts,86
Montgomery,CHERRY,US Senate,,R,Pat Roberts,135
Montgomery,DRUM CREEK ,US Senate,,R,Pat Roberts,167
Montgomery,FAWN CREEK-DEARING,US Senate,,R,Pat Roberts,396
Montgomery,FAWN CREEK-TYRO,US Senate,,R,Pat Roberts,122
Montgomery,INDEPENDENCE TWP 1 H11,US Senate,,R,Pat Roberts,408
Montgomery,INDEPENDENCE TWP 1 H12,US Senate,,R,Pat Roberts,71
Montgomery,INDEPENDENCE TWP 2 A H12,US Senate,,R,Pat Roberts,100
Montgomery,INDEPENDENCE TWP 2 C H11,US Senate,,R,Pat Roberts,30
Montgomery,LIBERTY,US Senate,,R,Pat Roberts,138
Montgomery,LOUISBURG,US Senate,,R,Pat Roberts,122
Montgomery,PARKER 1,US Senate,,R,Pat Roberts,63
Montgomery,PARKER 2,US Senate,,R,Pat Roberts,188
Montgomery,PARKER 2 EX H11,US Senate,,R,Pat Roberts,6
Montgomery,RUTLAND,US Senate,,R,Pat Roberts,107
Montgomery,SYCAMORE,US Senate,,R,Pat Roberts,252
Montgomery,WEST CHERRY,US Senate,,R,Pat Roberts,70
Montgomery,CANEY W1P1,US Senate,,I,Greg Orman,25
Montgomery,CANEY W1P2 H12,US Senate,,I,Greg Orman,0
