county,precinct,office,district,party,candidate,votes,,,,,,,,,
Elk,Liberty,Voters,,,Registered,71,,,,,,,,,
Elk,Busby-Painterhood,Voters,,,Registered,127,,,,,,,,,
Elk,Longton,Voters,,,Registered,256,,,,,,,,,
Elk,Oak Valley,Voters,,,Registered,73,,,,,,,,,
Elk,Union Ctr,Voters,,,Registered,61,,,,,,,,,
Elk,Howard,Voters,,,Registered,554,,,,,,,,,
Elk,Flat-Paw Paw,Voters,,,Registered,82,,,,,,,,,
Elk,Grenola-Greenfield,Voters,,,Registered,66,,,,,,,,,
Elk,Moline-Wildcat,Voters,,,Registered,355,,,,,,,,,
Elk,Elk Falls,Voters,,,Registered,138,,,,,,,,,
Elk,Advance,Voters,,,Registered,0,,,,,,,,,
Elk,Prov,Voters,,,Registered,0,,,,,,,,,
Elk,Liberty,U.S. Senate,,R,Pat Roberts,11,,,,,,,,,
Elk,Busby-Painterhood,U.S. Senate,,R,Pat Roberts,8,,,,,,,,,
Elk,Longton,U.S. Senate,,R,Pat Roberts,81,,,,,,,,,
Elk,Oak Valley,U.S. Senate,,R,Pat Roberts,27,,,,,,,,,
Elk,Union Ctr,U.S. Senate,,R,Pat Roberts,22,,,,,,,,,
Elk,Howard,U.S. Senate,,R,Pat Roberts,178,,,,,,,,,
Elk,Flat-Paw Paw,U.S. Senate,,R,Pat Roberts,20,,,,,,,,,
Elk,Grenola-Greenfield,U.S. Senate,,R,Pat Roberts,60,,,,,,,,,
Elk,Moline-Wildcat,U.S. Senate,,R,Pat Roberts,106,,,,,,,,,
Elk,Elk Falls,U.S. Senate,,R,Pat Roberts,33,,,,,,,,,
Elk,Advance,U.S. Senate,,R,Pat Roberts,118,,,,,,,,,
Elk,Prov,U.S. Senate,,R,Pat Roberts,9,,,,,,,,,
Elk,Liberty,U.S. Senate,,I,Greg Orman,8,,,,,,,,,
Elk,Busby-Painterhood,U.S. Senate,,I,Greg Orman,3,,,,,,,,,
Elk,Longton,U.S. Senate,,I,Greg Orman,28,,,,,,,,,
Elk,Oak Valley,U.S. Senate,,I,Greg Orman,14,,,,,,,,,
Elk,Union Ctr,U.S. Senate,,I,Greg Orman,6,,,,,,,,,
Elk,Howard,U.S. Senate,,I,Greg Orman,94,,,,,,,,,
Elk,Flat-Paw Paw,U.S. Senate,,I,Greg Orman,9,,,,,,,,,
Elk,Grenola-Greenfield,U.S. Senate,,I,Greg Orman,11,,,,,,,,,
Elk,Moline-Wildcat,U.S. Senate,,I,Greg Orman,64,,,,,,,,,
Elk,Elk Falls,U.S. Senate,,I,Greg Orman,11,,,,,,,,,
Elk,Advance,U.S. Senate,,I,Greg Orman,63,,,,,,,,,
Elk,Prov,U.S. Senate,,I,Greg Orman,7,,,,,,,,,
Elk,Liberty,U.S. Senate,,L,Randall Batson,1,,,,,,,,,
Elk,Busby-Painterhood,U.S. Senate,,L,Randall Batson,0,,,,,,,,,
Elk,Longton,U.S. Senate,,L,Randall Batson,15,,,,,,,,,
Elk,Oak Valley,U.S. Senate,,L,Randall Batson,2,,,,,,,,,
Elk,Union Ctr,U.S. Senate,,L,Randall Batson,4,,,,,,,,,
Elk,Howard,U.S. Senate,,L,Randall Batson,16,,,,,,,,,
Elk,Flat-Paw Paw,U.S. Senate,,L,Randall Batson,3,,,,,,,,,
Elk,Grenola-Greenfield,U.S. Senate,,L,Randall Batson,3,,,,,,,,,
Elk,Moline-Wildcat,U.S. Senate,,L,Randall Batson,17,,,,,,,,,
Elk,Elk Falls,U.S. Senate,,L,Randall Batson,7,,,,,,,,,
Elk,Advance,U.S. Senate,,L,Randall Batson,16,,,,,,,,,
Elk,Prov,U.S. Senate,,L,Randall Batson,2,,,,,,,,,
Elk,Liberty,U.S. House,4,R,Mike Pompeo,14,,,,,,,,,
Elk,Busby-Painterhood,U.S. House,4,R,Mike Pompeo,11,,,,,,,,,
Elk,Longton,U.S. House,4,R,Mike Pompeo,96,,,,,,,,,
Elk,Oak Valley,U.S. House,4,R,Mike Pompeo,32,,,,,,,,,
Elk,Union Ctr,U.S. House,4,R,Mike Pompeo,25,,,,,,,,,
Elk,Howard,U.S. House,4,R,Mike Pompeo,223,,,,,,,,,
Elk,Flat-Paw Paw,U.S. House,4,R,Mike Pompeo,26,,,,,,,,,
Elk,Grenola-Greenfield,U.S. House,4,R,Mike Pompeo,58,,,,,,,,,
Elk,Moline-Wildcat,U.S. House,4,R,Mike Pompeo,131,,,,,,,,,
Elk,Elk Falls,U.S. House,4,R,Mike Pompeo,39,,,,,,,,,
Elk,Advance,U.S. House,4,R,Mike Pompeo,166,,,,,,,,,
Elk,Prov,U.S. House,4,R,Mike Pompeo,14,,,,,,,,,
Elk,Liberty,U.S. House,4,R,Mike Pompeo,14,,,,,,,,,
Elk,Busby-Painterhood,U.S. House,4,R,Mike Pompeo,11,,,,,,,,,
Elk,Longton,U.S. House,4,R,Mike Pompeo,96,,,,,,,,,
Elk,Oak Valley,U.S. House,4,R,Mike Pompeo,32,,,,,,,,,
Elk,Union Ctr,U.S. House,4,R,Mike Pompeo,25,,,,,,,,,
Elk,Howard,U.S. House,4,R,Mike Pompeo,223,,,,,,,,,
Elk,Flat-Paw Paw,U.S. House,4,R,Mike Pompeo,26,,,,,,,,,
Elk,Grenola-Greenfield,U.S. House,4,R,Mike Pompeo,58,,,,,,,,,
Elk,Moline-Wildcat,U.S. House,4,R,Mike Pompeo,131,,,,,,,,,
Elk,Elk Falls,U.S. House,4,R,Mike Pompeo,39,,,,,,,,,
Elk,Advance,U.S. House,4,R,Mike Pompeo,166,,,,,,,,,
Elk,Prov,U.S. House,4,R,Mike Pompeo,14,,,,,,,,,
Elk,Liberty,U.S. House,4,D,Perry Schuckman,6,,,,,,,,,
Elk,Busby-Painterhood,U.S. House,4,D,Perry Schuckman,0,,,,,,,,,
Elk,Longton,U.S. House,4,D,Perry Schuckman,26,,,,,,,,,
Elk,Oak Valley,U.S. House,4,D,Perry Schuckman,10,,,,,,,,,
Elk,Union Ctr,U.S. House,4,D,Perry Schuckman,7,,,,,,,,,
Elk,Howard,U.S. House,4,D,Perry Schuckman,67,,,,,,,,,
Elk,Flat-Paw Paw,U.S. House,4,D,Perry Schuckman,6,,,,,,,,,
Elk,Grenola-Greenfield,U.S. House,4,D,Perry Schuckman,16,,,,,,,,,
Elk,Moline-Wildcat,U.S. House,4,D,Perry Schuckman,57,,,,,,,,,
Elk,Elk Falls,U.S. House,4,D,Perry Schuckman,12,,,,,,,,,
Elk,Advance,U.S. House,4,D,Perry Schuckman,37,,,,,,,,,
Elk,Prov,U.S. House,4,D,Perry Schuckman,3,,,,,,,,,
Elk,Liberty,Governor,,R,Sam Brownback,13,,,,,,,,,
Elk,Busby-Painterhood,Governor,,R,Sam Brownback,7,,,,,,,,,
Elk,Longton,Governor,,R,Sam Brownback,79,,,,,,,,,
Elk,Oak Valley,Governor,,R,Sam Brownback,27,,,,,,,,,
Elk,Union Ctr,Governor,,R,Sam Brownback,20,,,,,,,,,
Elk,Howard,Governor,,R,Sam Brownback,158,,,,,,,,,
Elk,Flat-Paw Paw,Governor,,R,Sam Brownback,23,,,,,,,,,
Elk,Grenola-Greenfield,Governor,,R,Sam Brownback,49,,,,,,,,,
Elk,Moline-Wildcat,Governor,,R,Sam Brownback,93,,,,,,,,,
Elk,Elk Falls,Governor,,R,Sam Brownback,29,,,,,,,,,
Elk,Advance,Governor,,R,Sam Brownback,117,,,,,,,,,
Elk,Prov,Governor,,R,Sam Brownback,7,,,,,,,,,
Elk,Liberty,Governor,,D,Paul Davis,5,,,,,,,,,
Elk,Busby-Painterhood,Governor,,D,Paul Davis,5,,,,,,,,,
Elk,Longton,Governor,,D,Paul Davis,36,,,,,,,,,
Elk,Oak Valley,Governor,,D,Paul Davis,16,,,,,,,,,
Elk,Union Ctr,Governor,,D,Paul Davis,11,,,,,,,,,
Elk,Howard,Governor,,D,Paul Davis,117,,,,,,,,,
Elk,Flat-Paw Paw,Governor,,D,Paul Davis,7,,,,,,,,,
Elk,Grenola-Greenfield,Governor,,D,Paul Davis,20,,,,,,,,,
Elk,Moline-Wildcat,Governor,,D,Paul Davis,82,,,,,,,,,
Elk,Elk Falls,Governor,,D,Paul Davis,17,,,,,,,,,
Elk,Advance,Governor,,D,Paul Davis,76,,,,,,,,,
Elk,Prov,Governor,,D,Paul Davis,9,,,,,,,,,
Elk,Liberty,Governor,,L,Keen Umbehr,2,,,,,,,,,
Elk,Busby-Painterhood,Governor,,L,Keen Umbehr,0,,,,,,,,,
Elk,Longton,Governor,,L,Keen Umbehr,11,,,,,,,,,
Elk,Oak Valley,Governor,,L,Keen Umbehr,1,,,,,,,,,
Elk,Union Ctr,Governor,,L,Keen Umbehr,1,,,,,,,,,
Elk,Howard,Governor,,L,Keen Umbehr,14,,,,,,,,,
Elk,Flat-Paw Paw,Governor,,L,Keen Umbehr,2,,,,,,,,,
Elk,Grenola-Greenfield,Governor,,L,Keen Umbehr,4,,,,,,,,,
Elk,Moline-Wildcat,Governor,,L,Keen Umbehr,14,,,,,,,,,
Elk,Elk Falls,Governor,,L,Keen Umbehr,5,,,,,,,,,
Elk,Advance,Governor,,L,Keen Umbehr,16,,,,,,,,,
Elk,Prov,Governor,,L,Keen Umbehr,2,,,,,,,,,
Elk,Liberty,Secretary of State,,R,Kris Kobach,11,,,,,,,,,
