county,precinct,office,district,party,candidate,votes
Leavenworth,W1P1,,,,Registration,767
Leavenworth,W2P1,,,,Registration,560
Leavenworth,W2P2,,,,Registration,567
Leavenworth,W2P3,,,,Registration,881
Leavenworth,W3P1,,,,Registration,986
Leavenworth,W4P1 ,,,,Registration,648
Leavenworth,W5P1,,,,Registration,758
Leavenworth,W5P2,,,,Registration,698
Leavenworth,W5P3,,,,Registration,1148
Leavenworth,W5P4,,,,Registration,680
Leavenworth,W6P1,,,,Registration,905
Leavenworth,W6P2,,,,Registration,766
Leavenworth,W6P3,,,,Registration,743
Leavenworth,W6P4,,,,Registration,1338
Leavenworth,W6P5,,,,Registration,1186
Leavenworth,W7P1,,,,Registration,527
Leavenworth,W7P2,,,,Registration,2074
Leavenworth,W7P3,,,,Registration,2336
Leavenworth,W1P1,,,,Ballots,193
Leavenworth,W2P1,,,,Ballots,159
Leavenworth,W2P2,,,,Ballots,215
Leavenworth,W2P3,,,,Ballots,285
Leavenworth,W3P1,,,,Ballots,316
Leavenworth,W4P1 ,,,,Ballots,148
Leavenworth,W5P1,,,,Ballots,219
Leavenworth,W5P2,,,,Ballots,225
Leavenworth,W5P3,,,,Ballots,441
Leavenworth,W5P4,,,,Ballots,286
Leavenworth,W6P1,,,,Ballots,363
Leavenworth,W6P2,,,,Ballots,252
Leavenworth,W6P3,,,,Ballots,280
Leavenworth,W6P4,,,,Ballots,525
Leavenworth,W6P5,,,,Ballots,581
Leavenworth,W7P1,,,,Ballots,116
Leavenworth,W7P2,,,,Ballots,937
Leavenworth,W7P3,,,,Ballots,1119
Leavenworth,W1P1,US Senate,,R,Pat Roberts,64
Leavenworth,W2P1,US Senate,,R,Pat Roberts,76
Leavenworth,W2P2,US Senate,,R,Pat Roberts,92
Leavenworth,W2P3,US Senate,,R,Pat Roberts,126
Leavenworth,W3P1,US Senate,,R,Pat Roberts,121
Leavenworth,W4P1 ,US Senate,,R,Pat Roberts,59
Leavenworth,W5P1,US Senate,,R,Pat Roberts,110
Leavenworth,W5P2,US Senate,,R,Pat Roberts,98
Leavenworth,W5P3,US Senate,,R,Pat Roberts,203
Leavenworth,W5P4,US Senate,,R,Pat Roberts,155
Leavenworth,W6P1,US Senate,,R,Pat Roberts,157
Leavenworth,W6P2,US Senate,,R,Pat Roberts,92
Leavenworth,W6P3,US Senate,,R,Pat Roberts,120
Leavenworth,W6P4,US Senate,,R,Pat Roberts,271
Leavenworth,W6P5,US Senate,,R,Pat Roberts,306
Leavenworth,W7P1,US Senate,,R,Pat Roberts,26
Leavenworth,W7P2,US Senate,,R,Pat Roberts,475
Leavenworth,W7P3,US Senate,,R,Pat Roberts,580
Leavenworth,W1P1,US Senate,,I,Greg Orman,114
Leavenworth,W2P1,US Senate,,I,Greg Orman,71
Leavenworth,W2P2,US Senate,,I,Greg Orman,107
Leavenworth,W2P3,US Senate,,I,Greg Orman,133
Leavenworth,W3P1,US Senate,,I,Greg Orman,163
Leavenworth,W4P1 ,US Senate,,I,Greg Orman,74
Leavenworth,W5P1,US Senate,,I,Greg Orman,95
Leavenworth,W5P2,US Senate,,I,Greg Orman,97
Leavenworth,W5P3,US Senate,,I,Greg Orman,196
Leavenworth,W5P4,US Senate,,I,Greg Orman,105
Leavenworth,W6P1,US Senate,,I,Greg Orman,180
Leavenworth,W6P2,US Senate,,I,Greg Orman,146
Leavenworth,W6P3,US Senate,,I,Greg Orman,136
Leavenworth,W6P4,US Senate,,I,Greg Orman,224
Leavenworth,W6P5,US Senate,,I,Greg Orman,250
Leavenworth,W7P1,US Senate,,I,Greg Orman,78
Leavenworth,W7P2,US Senate,,I,Greg Orman,401
Leavenworth,W7P3,US Senate,,I,Greg Orman,490
Leavenworth,W1P1,US Senate,,L,Randall Batson,9
Leavenworth,W2P1,US Senate,,L,Randall Batson,10
Leavenworth,W2P2,US Senate,,L,Randall Batson,14
Leavenworth,W2P3,US Senate,,L,Randall Batson,19
Leavenworth,W3P1,US Senate,,L,Randall Batson,27
