County,Precinct,Office,Dist,Party,Candidate,Total,Poll,Adv,Prov
Norton,NORTON KS,U S Senate,,I,Greg Orman,390,312,73,5
Norton,Almena Township,U S Senate,,L,Nathan Batson,7,7,0,0
Norton,Center Precinct 1,U S Senate,,L,Nathan Batson,7,6,1,0
Norton,Belle Plaine,U S Senate,,L,Nathan Batson,0,0,0,0
Norton,Center Precinct 2,U S Senate,,L,Nathan Batson,0,0,0,0
Norton,Highland Precinct 1,U S Senate,,L,Nathan Batson,13,10,3,0
Norton,Highland Precinct 2,U S Senate,,L,Nathan Batson,2,2,0,0
Norton,Highland Precinct 3,U S Senate,,L,Nathan Batson,3,2,1,0
Norton,Norton Ward 1,U S Senate,,L,Nathan Batson,19,19,0,0
Norton,Norton Ward 2,U S Senate,,L,Nathan Batson,14,12,2,0
Norton,Norton Ward 3,U S Senate,,L,Nathan Batson,22,21,1,0
Norton,Solomon Precinct 1,U S Senate,,L,Nathan Batson,0,0,0,0
Norton,Sandcreek-Sol 1,U S Senate,,L,Nathan Batson,0,0,0,0
Norton,Solomon Precinct 2,U S Senate,,L,Nathan Batson,0,0,0,0
Norton,NORTON KS,U S Senate,,L,Nathan Batson,87,79,8,0
Norton,Norton Ward 2,U S Senate,,wri,Taryn Stover,1,1,0,0
Norton,Norton Ward 2,U S Senate,,wri,Al Ebke,1,1,0,0
County,Precinct,Office,Dist,Party,Candidate,Total,Poll,Adv,Prov
Norton,Almena Township,Congress,1,R,Tim Huelskamp,158,156,2,0
Norton,Center Precinct 1,Congress,1,R,Tim Huelskamp,219,181,37,1
Norton,Belle Plaine,Congress,1,R,Tim Huelskamp,12,12,0,0
Norton,Center Precinct 2,Congress,1,R,Tim Huelskamp,47,39,8,0
Norton,Highland Precinct 1,Congress,1,R,Tim Huelskamp,133,121,12,0
Norton,Highland Precinct 2,Congress,1,R,Tim Huelskamp,29,25,4,0
Norton,Highland Precinct 3,Congress,1,R,Tim Huelskamp,33,29,3,1
Norton,Solomon Precinct 1,Congress,1,R,Tim Huelskamp,22,22,0,0
Norton,Sandcreek-Sol 1,Congress,1,R,Tim Huelskamp,6,4,2,0
Norton,Solomon Precinct 2,Congress,1,R,Tim Huelskamp,11,11,0,0
Norton,Norton Ward 1,Congress,1,R,Tim Huelskamp,233,204,27,2
Norton,Norton Ward 2,Congress,1,R,Tim Huelskamp,304,247,51,6
Norton,Norton Ward 3,Congress,1,R,Tim Huelskamp,236,199,33,4
Norton,NORTON KS,Congress,1,R,Tim Huelskamp,1443,1250,179,14
Norton,Almena Township,Congress,1,D,James Sherow,35,32,3,0
Norton,Center Precinct 1,Congress,1,D,James Sherow,37,31,6,0
Norton,Belle Plaine,Congress,1,D,James Sherow,1,0,1,0
Norton,Center Precinct 2,Congress,1,D,James Sherow,11,8,3,0
Norton,Highland Precinct 1,Congress,1,D,James Sherow,41,38,3,0
Norton,Highland Precinct 2,Congress,1,D,James Sherow,6,5,1,0
Norton,Highland Precinct 3,Congress,1,D,James Sherow,1,1,0,0
Norton,Solomon Precinct 1,Congress,1,D,James Sherow,4,3,1,0
Norton,Sandcreek-Sol 1,Congress,1,D,James Sherow,0,0,0,0
Norton,Solomon Precinct 2,Congress,1,D,James Sherow,1,1,0,0
Norton,Norton Ward 1,Congress,1,D,James Sherow,55,50,5,0
Norton,Norton Ward 2,Congress,1,D,James Sherow,90,63,26,1
Norton,Norton Ward 3,Congress,1,D,James Sherow,79,60,18,1
Norton,NORTON KS,Congress,1,D,James Sherow,361,292,67,2
Norton,Highland 1,Congress,1,,write-in,1,1,0,0
County,Precinct,Office,Dist,Party,Candidate,Total,Poll,Adv,Prov
Norton,Almena Township,Governor,,R,Sam Brownback,137,133,4,0
Norton,Center Precinct 1,Governor,,R,Sam Brownback,183,152,30,1
Norton,Belle Plaine,Governor,,R,Sam Brownback,11,11,0,0
Norton,Center Precinct 2,Governor,,R,Sam Brownback,43,33,10,0
Norton,Highland Precinct 1,Governor,,R,Sam Brownback,131,121,10,0
Norton,Highland Precinct 2,Governor,,R,Sam Brownback,27,23,4,0
Norton,Highland Precinct 3,Governor,,R,Sam Brownback,24,21,2,1
Norton,Solomon Precinct 1,Governor,,R,Sam Brownback,21,21,0,0
Norton,Sandcreek-Sol 1,Governor,,R,Sam Brownback,4,3,1,0
Norton,Solomon Precinct 2,Governor,,R,Sam Brownback,11,11,0,0
Norton,Norton Ward 1,Governor,,R,Sam Brownback,183,160,23,0
Norton,Norton Ward 2,Governor,,R,Sam Brownback,255,207,44,4
Norton,Norton Ward 3,Governor,,R,Sam Brownback,186,158,24,4
Norton,NORTON KS,Governor,,R,Sam Brownback,1216,1054,152,10
Norton,Almena Township,Governor,,D,Paul Davis,45,44,1,0
Norton,Center Precinct 1,Governor,,D,Paul Davis,65,53,12,0
Norton,Belle Plaine,Governor,,D,Paul Davis,2,1,1,0
Norton,Center Precinct 2,Governor,,D,Paul Davis,14,12,2,0
Norton,Highland Precinct 1,Governor,,D,Paul Davis,35,31,4,0
Norton,Highland Precinct 2,Governor,,D,Paul Davis,11,9,2,0
Norton,Highland Precinct 3,Governor,,D,Paul Davis,9,8,1,0
Norton,Solomon Precinct 1,Governor,,D,Paul Davis,5,4,1,0
Norton,Sandcreek-Sol 1,Governor,,D,Paul Davis,2,1,1,0
Norton,Solomon Precinct 2,Governor,,D,Paul Davis,1,1,0,0
Norton,Norton Ward 1,Governor,,D,Paul Davis,92,84,7,1
Norton,Norton Ward 2,Governor,,D,Paul Davis,127,92,32,3
Norton,Norton Ward 3,Governor,,D,Paul Davis,110,85,24,1
Norton,NORTON KS,Governor,,D,Paul Davis,518,425,88,5
Norton,Almena Township,Governor,,L,Keen Umbehr,11,11,0,0
Norton,Center Precinct 1,Governor,,L,Keen Umbehr,10,9,1,0
Norton,Belle Plaine,Governor,,L,Keen Umbehr,0,0,0,0
Norton,Center Precinct 2,Governor,,L,Keen Umbehr,3,3,0,0
Norton,Highland Precinct 1,Governor,,L,Keen Umbehr,11,10,1,0
Norton,Highland Precinct 2,Governor,,L,Keen Umbehr,1,1,0,0
Norton,Highland Precinct 3,Governor,,L,Keen Umbehr,2,1,1,0
Norton,Solomon Precinct 1,Governor,,L,Keen Umbehr,0,0,0,0
Norton,Sandcreek-Sol 1,Governor,,L,Keen Umbehr,0,0,0,0
Norton,Solomon Precinct 2,Governor,,L,Keen Umbehr,0,0,0,0
Norton,Norton Ward 1,Governor,,L,Keen Umbehr,16,13,2,1
Norton,Norton Ward 2,Governor,,L,Keen Umbehr,14,11,3,0
Norton,Norton Ward 3,Governor,,L,Keen Umbehr,22,20,2,0
Norton,NORTON KS,Governor,,L,Keen Umbehr,90,79,10,1
Norton,Almena Township,Secretary,,R,Kris Kobach,170,166,4,0
Norton,Center Precinct 1,Secretary,,R,Kris Kobach,207,174,32,1
Norton,Belle Plaine,Secretary,,R,Kris Kobach,10,10,0,0
Norton,Center Precinct 2,Secretary,,R,Kris Kobach,47,38,9,0
Norton,Highland Precinct 1,Secretary,,R,Kris Kobach,128,118,10,0
Norton,Highland Precinct 2,Secretary,,R,Kris Kobach,76,26,5,0
Norton,Highland Precinct 3,Secretary,,R,Kris Kobach,34,29,4,1
Norton,Solomon Precinct 1,Secretary,,R,Kris Kobach,24,23,1,0
Norton,Sandcreek-Sol 1,Secretary,,R,Kris Kobach,4,3,1,0
Norton,Solomon Precinct 2,Secretary,,R,Kris Kobach,11,11,0,0
Norton,Norton Ward 1,Secretary,,R,Kris Kobach,225,197,26,2
Norton,Norton Ward 2,Secretary,,R,Kris Kobach,309,260,45,4
Norton,Norton Ward 3,Secretary,,R,Kris Kobach,244,205,35,4
Norton,NORTON KS,Secretary,,R,Kris Kobach,1444,1260,172,12
Norton,Almena Township,Secretary,,D,Jean Schodorf,24,23,1,0
Norton,Center Precinct 1,Secretary,,D,Jean Schodorf,43,33,10,0
Norton,Belle Plaine,Secretary,,D,Jean Schodorf,1,0,1,0
Norton,Center Precinct 2,Secretary,,D,Jean Schodorf,15,8,7,0
Norton,Highland Precinct 1,Secretary,,D,Jean Schodorf,39,34,5,0
Norton,Highland Precinct 2,Secretary,,D,Jean Schodorf,6,5,1,0
Norton,Highland Precinct 3,Secretary,,D,Jean Schodorf,0,0,0,0
Norton,Solomon Precinct 1,Secretary,,D,Jean Schodorf,0,0,0,0
Norton,Sandcreek-Sol 1,Secretary,,D,Jean Schodorf,2,1,1,0
Norton,Solomon Precinct 2,Secretary,,D,Jean Schodorf,1,1,0,0
Norton,Norton Ward 1,Secretary,,D,Jean Schodorf,59,53,6,0
Norton,Norton Ward 2,Secretary,,D,Jean Schodorf,89,53,34,2
Norton,Norton Ward 3,Secretary,,D,Jean Schodorf,67,51,15,1
Norton,NORTON KS,Secretary,,D,Jean Schodorf,346,262,81,3
Norton,Norton Ward 2,Secretary,,wri,Kylie Ulrich,1,1,0,0
Norton,NORTON KS,Secretary,,wri,Kylie Ulrich,1,1,0,0
County,Precinct,Office,Dist,Party,Candidate,Total,Poll,Adv,Prov
Norton,Almena Township,Attorney,,R,Derek Schmidt,166,162,4,0
Norton,Center Precinct 1,Attorney,,R,Derek Schmidt,213,178,34,1
Norton,Belle Plaine,Attorney,,R,Derek Schmidt,9,9,0,0
Norton,Center Precinct 2,Attorney,,R,Derek Schmidt,54,39,15,0
Norton,Highland Precinct 1,Attorney,,R,Derek Schmidt,149,135,14,0
Norton,Highland Precinct 2,Attorney,,R,Derek Schmidt,32,27,5,0
Norton,Highland Precinct 3,Attorney,,R,Derek Schmidt,34,29,4,1
Norton,Solomon Precinct 1,Attorney,,R,Derek Schmidt,24,23,1,0
Norton,Sandcreek-Sol 1,Attorney,,R,Derek Schmidt,4,3,1,0
Norton,Solomon Precinct 2,Attorney,,R,Derek Schmidt,10,10,0,0
Norton,Norton Ward 1,Attorney,,R,Derek Schmidt,235,204,29,2
Norton,Norton Ward 2,Attorney,,R,Derek Schmidt,319,258,55,6
Norton,Norton Ward 3,Attorney,,R,Derek Schmidt,254,213,37,4
Norton,NORTON KS,Attorney,,R,Derek Schmidt,1503,1290,199,14
Norton,Almena Township,Attorney,,D,A J Kotich,23,22,1,0
Norton,Center Precinct 1,Attorney,,D,A J Kotich,35,27,8,0
Norton,Belle Plaine,Attorney,,D,A J Kotich,2,1,1,0
Norton,Center Precinct 2,Attorney,,D,A J Kotich,8,7,1,0
Norton,Highland Precinct 1,Attorney,,D,A J Kotich,21,20,1,0
Norton,Highland Precinct 2,Attorney,,D,A J Kotich,5,4,1,0
Norton,Highland Precinct 3,Attorney,,D,A J Kotich,1,1,0,0
Norton,Solomon Precinct 1,Attorney,,D,A J Kotich,2,2,0,0
Norton,Sandcreek-Sol 1,Attorney,,D,A J Kotich,1,1,0,0
Norton,Solomon Precinct 2,Attorney,,D,A J Kotich,2,2,0,0
Norton,Norton Ward 1,Attorney,,D,A J Kotich,40,37,3,0
Norton,Norton Ward 2,Attorney,,D,A J Kotich,65,43,21,1
Norton,Norton Ward 3,Attorney,,D,A J Kotich,60,45,14,1
Norton,NORTON KS,Attorney,,D,A J Kotich,265,212,51,2
Norton,Almena Township,Treasurer,,R,Ron Estes,170,166,4,0
Norton,Center Precinct 1,Treasurer,,R,Ron Estes,214,181,32,1
Norton,Belle Plaine,Treasurer,,R,Ron Estes,9,9,0,0
Norton,Center Precinct 2,Treasurer,,R,Ron Estes,47,38,9,0
Norton,Highland Precinct 1,Treasurer,,R,Ron Estes,144,130,14,0
Norton,Highland Precinct 2,Treasurer,,R,Ron Estes,32,28,4,0
Norton,Highland Precinct 3,Treasurer,,R,Ron Estes,35,30,4,1
Norton,Solomon Precinct 1,Treasurer,,R,Ron Estes,25,24,1,0
Norton,Sandcreek-Sol 1,Treasurer,,R,Ron Estes,4,3,1,0
Norton,Solomon Precinct 2,Treasurer,,R,Ron Estes,11,11,0,0
Norton,Norton Ward 1,Treasurer,,R,Ron Estes,238,208,28,2
Norton,Norton Ward 2,Treasurer,,R,Ron Estes,326,267,55,4
Norton,Norton Ward 3,Treasurer,,R,Ron Estes,258,219,35,4
Norton,NORTON KS,Treasurer,,R,Ron Estes,1513,1314,187,12
Norton,Almena Township,Treasurer,,D,Carmen Alldritt,21,20,1,0
Norton,Center Precinct 1,Treasurer,,D,Carmen Alldritt,37,28,9,0
Norton,Belle Plaine,Treasurer,,D,Carmen Alldritt,2,1,1,0
Norton,Center Precinct 2,Treasurer,,D,Carmen Alldritt,9,7,2,0
Norton,Highland Precinct 1,Treasurer,,D,Carmen Alldritt,24,23,1,0
Norton,Highland Precinct 2,Treasurer,,D,Carmen Alldritt,5,3,2,0
Norton,Highland Precinct 3,Treasurer,,D,Carmen Alldritt,0,0,0,0
Norton,Solomon Precinct 1,Treasurer,,D,Carmen Alldritt,1,1,0,0
Norton,Sandcreek-Sol 1,Treasurer,,D,Carmen Alldritt,1,1,0,0
Norton,Solomon Precinct 2,Treasurer,,D,Carmen Alldritt,1,1,0,0
Norton,Norton Ward 1,Treasurer,,D,Carmen Alldritt,41,38,3,0
Norton,Norton Ward 2,Treasurer,,D,Carmen Alldritt,58,36,21,1
Norton,Norton Ward 3,Treasurer,,D,Carmen Alldritt,56,40,15,1
Norton,NORTON KS,Treasurer,,D,Carmen Alldritt,256,199,55,2
Norton,Almena Township,Insurance,,R,Ken Selzer,154,151,3,0
Norton,Center Precinct 1,Insurance,,R,Ken Selzer,199,168,30,1
Norton,Belle Plaine,Insurance,,R,Ken Selzer,10,10,0,0
Norton,Center Precinct 2,Insurance,,R,Ken Selzer,42,34,8,0
Norton,Highland Precinct 1,Insurance,,R,Ken Selzer,132,122,10,0
Norton,Highland Precinct 2,Insurance,,R,Ken Selzer,27,22,5,0
Norton,Highland Precinct 3,Insurance,,R,Ken Selzer,33,28,4,1
Norton,Solomon Precinct 1,Insurance,,R,Ken Selzer,24,23,1,0
Norton,Sandcreek-Sol 1,Insurance,,R,Ken Selzer,3,2,1,0
Norton,Solomon Precinct 2,Insurance,,R,Ken Selzer,10,10,0,0
Norton,Norton Ward 1,Insurance,,R,Ken Selzer,235,206,28,1
Norton,Norton Ward 2,Insurance,,R,Ken Selzer,282,233,44,5
Norton,Norton Ward 3,Insurance,,R,Ken Selzer,236,200,32,4
Norton,NORTON KS,Insurance,,R,Ken Selzer,1387,1209,166,12
Norton,Almena Township,Insurance,,D,Dennis Anderson,32,30,2,0
Norton,Center Precinct 1,Insurance,,D,Dennis Anderson,38,28,10,0
Norton,Belle Plaine,Insurance,,D,Dennis Anderson,1,0,1,0
Norton,Center Precinct 2,Insurance,,D,Dennis Anderson,12,9,3,0
Norton,Highland Precinct 1,Insurance,,D,Dennis Anderson,33,29,4,0
Norton,Highland Precinct 2,Insurance,,D,Dennis Anderson,8,7,1,0
Norton,Highland Precinct 3,Insurance,,D,Dennis Anderson,2,2,0,0
Norton,Solomon Precinct 1,Insurance,,D,Dennis Anderson,1,1,0,0
Norton,Sandcreek-Sol 1,Insurance,,D,Dennis Anderson,1,1,0,0
Norton,Solomon Precinct 2,Insurance,,D,Dennis Anderson,2,2,0,0
Norton,Norton Ward 1,Insurance,,D,Dennis Anderson,46,43,3,0
Norton,Norton Ward 2,Insurance,,D,Dennis Anderson,85,62,22,1
Norton,Norton Ward 3,Insurance,,D,Dennis Anderson,69,50,18,1
Norton,NORTON KS,Insurance,,D,Dennis Anderson,330,264,64,2
Norton,Highland Precinct 1,Insurance,,wri,write-in,1,1,0,0
Norton,Norton Ward 2,Insurance,,wri,Ron Estes,2,0,2,0
County,Precinct,Office,Dist,Party,Candidate,Total,Poll,Adv,Prov
Norton,Almena Township,House 110,,R,Travis Couture-Lovelady,178,174,4,0
Norton,Center Precinct 1,House 110,,R,Travis Couture-Lovelady,227,191,35,1
Norton,Belle Plaine,House 110,,R,Travis Couture-Lovelady,11,10,1,0
Norton,Center Precinct 2,House 110,,R,Travis Couture-Lovelady,46,37,9,0
Norton,Highland Precinct 1,House 110,,R,Travis Couture-Lovelady,155,141,14,0
Norton,Highland Precinct 2,House 110,,R,Travis Couture-Lovelady,34,31,3,0
Norton,Highland Precinct 3,House 110,,R,Travis Couture-Lovelady,34,29,4,1
Norton,Solomon Precinct 1,House 110,,R,Travis Couture-Lovelady,25,24,1,0
Norton,Sandcreek-Sol 1,House 110,,R,Travis Couture-Lovelady,4,4,0,0
Norton,Solomon Precinct 2,House 110,,R,Travis Couture-Lovelady,11,11,0,0
Norton,Norton Ward 1,House 110,,R,Travis Couture-Lovelady,261,231,28,2
Norton,Norton Ward 2,House 110,,R,Travis Couture-Lovelady,342,274,61,7
Norton,Norton Ward 3,House 110,,R,Travis Couture-Lovelady,273,230,38,5
Norton,NORTON KS,House 110,,R,Travis Couture-Lovelady,1601,1387,198,16
Norton,Almena Township,House 110,,,write-ins,2,2,0,0
Norton,Center Precinct 1,House 110,,,write-ins,0,0,0,0
Norton,Belle Plaine,House 110,,,write-ins,0,0,0,0
Norton,Center Precinct 2,House 110,,,write-ins,1,1,0,0
Norton,Highland Precinct 1,House 110,,,write-ins,1,1,0,0
Norton,Highland Precinct 2,House 110,,,write-ins,0,0,0,0
Norton,Highland Precinct 3,House 110,,,write-ins,0,0,0,0
Norton,Solomon Precinct 1,House 110,,,write-ins,0,0,0,0
Norton,Sandcreek-Sol 1,House 110,,,write-ins,0,0,0,0
Norton,Solomon Precinct 2,House 110,,,write-ins,0,0,0,0
Norton,Norton Ward 1,House 110,,,write-ins,2,2,0,0
Norton,Norton Ward 2,House 110,,,write-ins,9,6,3,0
Norton,Norton Ward 3,House 110,,,write-ins,8,4,4,0
Norton,NORTON KS,House 110,,,write-ins,23,16,7,0
