county,precinct,office,district,party,candidate,votes,advance,polling
Jefferson,Delaware,Voters,,,Registered,1302,,
Jefferson,East Fairview,Voters,,,Registered,745,,
Jefferson,Jefferson,Voters,,,Registered,774,,
Jefferson,Kaw,Voters,,,Registered,944,,
Jefferson,Kentucky,Voters,,,Registered,1116,,
Jefferson,Norton,Voters,,,Registered,543,,
Jefferson,Oskaloosa,Voters,,,Registered,1459,,
Jefferson,Ozawkie,Voters,,,Registered,1171,,
Jefferson,Rock Creek,Voters,,,Registered,1848,,
Jefferson,Rural,Voters,,,Registered,524,,
Jefferson,Sarcoxie,Voters,,,Registered,800,,
Jefferson,Union,Voters,,,Registered,1182,,
Jefferson,West Fairview,Voters,,,Registered,480,,
Jefferson,JEFFERSON KS,Voters,,,Registered,12888,,
Jefferson,Delaware,Voters,,,Cast,634,55,579
Jefferson,East Fairview,Voters,,,Cast,321,38,283
Jefferson,Jefferson,Voters,,,Cast,348,29,319
Jefferson,Kaw,Voters,,,Cast,578,51,527
Jefferson,Kentucky,Voters,,,Cast,605,52,553
Jefferson,Norton,Voters,,,Cast,290,16,274
Jefferson,Oskaloosa,Voters,,,Cast,707,96,611
Jefferson,Ozawkie,Voters,,,Cast,596,68,528
Jefferson,Rock Creek,Voters,,,Cast,974,78,896
Jefferson,Rural,Voters,,,Cast,294,48,246
Jefferson,Sarcoxie,Voters,,,Cast,457,50,407
Jefferson,Union,Voters,,,Cast,538,46,492
Jefferson,West Fairview,Voters,,,Cast,282,39,243
Jefferson,JEFFERSON KS,Voters,,,Cast,6624,666,5958
Jefferson,Delaware,U.S. Senate,,R,Pat Roberts,326,28,298
Jefferson,East Fairview,U.S. Senate,,R,Pat Roberts,145,13,132
Jefferson,Jefferson,U.S. Senate,,R,Pat Roberts,211,17,194
Jefferson,Kaw,U.S. Senate,,R,Pat Roberts,296,22,274
Jefferson,Kentucky,U.S. Senate,,R,Pat Roberts,277,23,254
Jefferson,Norton,U.S. Senate,,R,Pat Roberts,164,7,157
Jefferson,Oskaloosa,U.S. Senate,,R,Pat Roberts,387,47,340
Jefferson,Ozawkie,U.S. Senate,,R,Pat Roberts,315,33,282
Jefferson,Rock Creek,U.S. Senate,,R,Pat Roberts,529,52,477
Jefferson,Rural,U.S. Senate,,R,Pat Roberts,135,13,122
Jefferson,Sarcoxie,U.S. Senate,,R,Pat Roberts,181,21,160
Jefferson,Union,U.S. Senate,,R,Pat Roberts,293,30,263
Jefferson,West Fairview,U.S. Senate,,R,Pat Roberts,162,18,144
Jefferson,JEFFERSON KS,U.S. Senate,,R,Pat Roberts,3421,324,3097
Jefferson,Delaware,U.S. Senate,,I,Greg Orman,272,25,247
Jefferson,East Fairview,U.S. Senate,,I,Greg Orman,154,25,129
Jefferson,Jefferson,U.S. Senate,,I,Greg Orman,119,12,107
Jefferson,Kaw,U.S. Senate,,I,Greg Orman,249,24,225
Jefferson,Kentucky,U.S. Senate,,I,Greg Orman,295,29,266
Jefferson,Norton,U.S. Senate,,I,Greg Orman,111,9,102
Jefferson,Oskaloosa,U.S. Senate,,I,Greg Orman,287,44,243
Jefferson,Ozawkie,U.S. Senate,,I,Greg Orman,253,32,221
Jefferson,Rock Creek,U.S. Senate,,I,Greg Orman,400,26,374
Jefferson,Rural,U.S. Senate,,I,Greg Orman,154,32,122
Jefferson,Sarcoxie,U.S. Senate,,I,Greg Orman,259,27,232
Jefferson,Union,U.S. Senate,,I,Greg Orman,212,11,201
Jefferson,West Fairview,U.S. Senate,,I,Greg Orman,113,20,93
Jefferson,JEFFERSON KS,U.S. Senate,,I,Greg Orman,2878,316,2562
Jefferson,Delaware,U.S. Senate,,L,Randall Batson,28,2,26
Jefferson,East Fairview,U.S. Senate,,L,Randall Batson,18,0,18
Jefferson,Jefferson,U.S. Senate,,L,Randall Batson,17,0,17
Jefferson,Kaw,U.S. Senate,,L,Randall Batson,27,4,23
Jefferson,Kentucky,U.S. Senate,,L,Randall Batson,28,0,28
Jefferson,Norton,U.S. Senate,,L,Randall Batson,12,0,12
Jefferson,Oskaloosa,U.S. Senate,,L,Randall Batson,27,2,25
Jefferson,Ozawkie,U.S. Senate,,L,Randall Batson,24,2,22
Jefferson,Rock Creek,U.S. Senate,,L,Randall Batson,37,0,37
Jefferson,Rural,U.S. Senate,,L,Randall Batson,4,2,2
Jefferson,Sarcoxie,U.S. Senate,,L,Randall Batson,11,2,9
Jefferson,Union,U.S. Senate,,L,Randall Batson,29,5,24
Jefferson,West Fairview,U.S. Senate,,L,Randall Batson,5,0,5
Jefferson,JEFFERSON KS,U.S. Senate,,L,Randall Batson,267,19,248
Jefferson,East Fairview,U.S. Senate,,,write-ins,1,0,1
Jefferson,Kaw,U.S. Senate,,,write-ins,2,0,2
Jefferson,Kentucky,U.S. Senate,,,write-ins,1,0,1
Jefferson,Oskaloosa,U.S. Senate,,,write-ins,1,0,1
Jefferson,Union,U.S. Senate,,,write-ins,1,0,1
Jefferson,JEFFERSON KS,U.S. Senate,,,write-ins,7,1,6
Jefferson,Delaware,U.S. House,2,R,Lynn Jenkins,363,30,333
Jefferson,East Fairview,U.S. House,2,R,Lynn Jenkins,173,13,160
Jefferson,Jefferson,U.S. House,2,R,Lynn Jenkins,236,16,220
Jefferson,Kaw,U.S. House,2,R,Lynn Jenkins,333,25,308
Jefferson,Kentucky,U.S. House,2,R,Lynn Jenkins,327,27,300
Jefferson,Norton,U.S. House,2,R,Lynn Jenkins,199,11,188
Jefferson,Oskaloosa,U.S. House,2,R,Lynn Jenkins,442,53,389
Jefferson,Ozawkie,U.S. House,2,R,Lynn Jenkins,356,38,318
Jefferson,Rock Creek,U.S. House,2,R,Lynn Jenkins,598,57,541
Jefferson,Rural,U.S. House,2,R,Lynn Jenkins,143,14,129
Jefferson,Sarcoxie,U.S. House,2,R,Lynn Jenkins,200,21,179
Jefferson,Union,U.S. House,2,R,Lynn Jenkins,347,31,316
Jefferson,West Fairview,U.S. House,2,R,Lynn Jenkins,185,22,163
Jefferson,JEFFERSON KS,U.S. House,2,R,Lynn Jenkins,3902,358,3544
Jefferson,Delaware,U.S. House,2,D,Margie Wakefield,227,21,206
Jefferson,East Fairview,U.S. House,2,D,Margie Wakefield,128,24,104
Jefferson,Jefferson,U.S. House,2,D,Margie Wakefield,99,13,86
Jefferson,Kaw,U.S. House,2,D,Margie Wakefield,220,24,196
Jefferson,Kentucky,U.S. House,2,D,Margie Wakefield,243,24,219
Jefferson,Norton,U.S. House,2,D,Margie Wakefield,80,4,76
Jefferson,Oskaloosa,U.S. House,2,D,Margie Wakefield,228,35,193
Jefferson,Ozawkie,U.S. House,2,D,Margie Wakefield,217,27,190
Jefferson,Rock Creek,U.S. House,2,D,Margie Wakefield,321,20,301
Jefferson,Rural,U.S. House,2,D,Margie Wakefield,143,32,111
Jefferson,Sarcoxie,U.S. House,2,D,Margie Wakefield,237,27,210
Jefferson,Union,U.S. House,2,D,Margie Wakefield,166,11,155
Jefferson,West Fairview,U.S. House,2,D,Margie Wakefield,87,17,70
Jefferson,JEFFERSON KS,U.S. House,2,D,Margie Wakefield,2396,279,2117
Jefferson,Delaware,U.S. House,2,L,Chris Clemmons,37,4,33
Jefferson,East Fairview,U.S. House,2,L,Chris Clemmons,14,1,13
Jefferson,Jefferson,U.S. House,2,L,Chris Clemmons,11,0,11
Jefferson,Kaw,U.S. House,2,L,Chris Clemmons,21,2,19
Jefferson,Kentucky,U.S. House,2,L,Chris Clemmons,32,1,31
Jefferson,Norton,U.S. House,2,L,Chris Clemmons,8,1,7
Jefferson,Oskaloosa,U.S. House,2,L,Chris Clemmons,33,4,29
Jefferson,Ozawkie,U.S. House,2,L,Chris Clemmons,21,2,19
Jefferson,Rock Creek,U.S. House,2,L,Chris Clemmons,49,1,48
Jefferson,Rural,U.S. House,2,L,Chris Clemmons,7,1,6
Jefferson,Sarcoxie,U.S. House,2,L,Chris Clemmons,13,2,11
