county,precinct,office,district,party,candidate,poll
Pratt,WARD 1,U.S. Senate,,R,Pat Roberts,237
Pratt,WARD 2,U.S. Senate,,R,Pat Roberts,143
Pratt,WARD 3,U.S. Senate,,R,Pat Roberts,335
Pratt,WARD 4,U.S. Senate,,R,Pat Roberts,241
Pratt,WARD 5,U.S. Senate,,R,Pat Roberts,249
Pratt,TWP 6,U.S. Senate,,R,Pat Roberts,134
Pratt,TWP 7,U.S. Senate,,R,Pat Roberts,80
Pratt,TWP 8,U.S. Senate,,R,Pat Roberts,31
Pratt,TWP 9,U.S. Senate,,R,Pat Roberts,83
Pratt,TWP 10,U.S. Senate,,R,Pat Roberts,45
Pratt,TWP 11,U.S. Senate,,R,Pat Roberts,82
Pratt,TWP 12,U.S. Senate,,R,Pat Roberts,308
Pratt,WARD 1,U.S. Senate,,I,Greg Orman,135
Pratt,WARD 2,U.S. Senate,,I,Greg Orman,73
Pratt,WARD 3,U.S. Senate,,I,Greg Orman,212
Pratt,WARD 4,U.S. Senate,,I,Greg Orman,169
Pratt,WARD 5,U.S. Senate,,I,Greg Orman,130
Pratt,TWP 6,U.S. Senate,,I,Greg Orman,56
Pratt,TWP 7,U.S. Senate,,I,Greg Orman,32
Pratt,TWP 8,U.S. Senate,,I,Greg Orman,17
Pratt,TWP 9,U.S. Senate,,I,Greg Orman,20
Pratt,TWP 10,U.S. Senate,,I,Greg Orman,13
Pratt,TWP 11,U.S. Senate,,I,Greg Orman,21
Pratt,TWP 12,U.S. Senate,,I,Greg Orman,128
Pratt,WARD 1,U.S. Senate,,L,Randall Batson,22
Pratt,WARD 2,U.S. Senate,,L,Randall Batson,13
Pratt,WARD 3,U.S. Senate,,L,Randall Batson,23
Pratt,WARD 4,U.S. Senate,,L,Randall Batson,30
Pratt,WARD 5,U.S. Senate,,L,Randall Batson,23
Pratt,TWP 6,U.S. Senate,,L,Randall Batson,11
Pratt,TWP 7,U.S. Senate,,L,Randall Batson,2
Pratt,TWP 8,U.S. Senate,,L,Randall Batson,0
Pratt,TWP 9,U.S. Senate,,L,Randall Batson,5
Pratt,TWP 10,U.S. Senate,,L,Randall Batson,1
Pratt,TWP 11,U.S. Senate,,L,Randall Batson,5
Pratt,TWP 12,U.S. Senate,,L,Randall Batson,17
Pratt,WARD 1,U.S. House,4,D,Perry Schuckman,87
Pratt,WARD 2,U.S. House,4,D,Perry Schuckman,62
Pratt,WARD 3,U.S. House,4,D,Perry Schuckman,131
Pratt,WARD 4,U.S. House,4,D,Perry Schuckman,134
Pratt,WARD 5,U.S. House,4,D,Perry Schuckman,80
Pratt,TWP 6,U.S. House,4,D,Perry Schuckman,47
Pratt,TWP 7,U.S. House,4,D,Perry Schuckman,27
Pratt,TWP 8,U.S. House,4,D,Perry Schuckman,9
Pratt,TWP 9,U.S. House,4,D,Perry Schuckman,19
Pratt,TWP 10,U.S. House,4,D,Perry Schuckman,11
Pratt,TWP 11,U.S. House,4,D,Perry Schuckman,21
Pratt,TWP 12,U.S. House,4,D,Perry Schuckman,87
Pratt,WARD 1,U.S. House,4,R,Mike Pompeo,297
Pratt,WARD 2,U.S. House,4,R,Mike Pompeo,166
Pratt,WARD 3,U.S. House,4,R,Mike Pompeo,435
Pratt,WARD 4,U.S. House,4,R,Mike Pompeo,297
Pratt,WARD 5,U.S. House,4,R,Mike Pompeo,316
Pratt,TWP 6,U.S. House,4,R,Mike Pompeo,148
Pratt,TWP 7,U.S. House,4,R,Mike Pompeo,84
Pratt,TWP 8,U.S. House,4,R,Mike Pompeo,38
Pratt,TWP 9,U.S. House,4,R,Mike Pompeo,89
Pratt,TWP 10,U.S. House,4,R,Mike Pompeo,45
Pratt,TWP 11,U.S. House,4,R,Mike Pompeo,86
Pratt,TWP 12,U.S. House,4,R,Mike Pompeo,362
