county,precinct,office,district,party,candidate,total
Grant,Ward 1,Attorney General,,,A.J. Kotich,34
Grant,Ward 2,Attorney General,,,A.J. Kotich,77
Grant,Ward 3,Attorney General,,,A.J. Kotich,79
Grant,Prec 4,Attorney General,,,A.J. Kotich,37
Grant,Ward 1,Attorney General,,,Derek Schmidt,148
Grant,Ward 2,Attorney General,,,Derek Schmidt,347
Grant,Ward 3,Attorney General,,,Derek Schmidt,322
Grant,Prec 4,Attorney General,,,Derek Schmidt,269
Grant,Ward 1,U.S. House,1,,James E. Sherow,42
Grant,Ward 2,U.S. House,1,,James E. Sherow,88
Grant,Ward 3,U.S. House,1,,James E. Sherow,91
Grant,Prec 4,U.S. House,1,,James E. Sherow,45
Grant,Ward 1,U.S. House,1,,Tim Huelskamp,140
Grant,Ward 2,U.S. House,1,,Tim Huelskamp,338
Grant,Ward 3,U.S. House,1,,Tim Huelskamp,312
Grant,Prec 4,U.S. House,1,,Tim Huelskamp,262
Grant,Ward 1,Governor,,,Keen Umbehr,10
Grant,Ward 2,Governor,,,Keen Umbehr,17
Grant,Ward 3,Governor,,,Keen Umbehr,40
Grant,Prec 4,Governor,,,Keen Umbehr,25
Grant,Ward 1,Governor,,,Paul Davis,52
Grant,Ward 2,Governor,,,Paul Davis,134
Grant,Ward 3,Governor,,,Paul Davis,115
Grant,Prec 4,Governor,,,Paul Davis,66
Grant,Ward 1,Governor,,,Sam Brownback,125
Grant,Ward 2,Governor,,,Sam Brownback,282
Grant,Ward 3,Governor,,,Sam Brownback,254
Grant,Prec 4,Governor,,,Sam Brownback,217
Grant,Ward 1,Insurance Commissioner,,,Dennis Anderson,40
Grant,Ward 2,Insurance Commissioner,,,Dennis Anderson,81
Grant,Ward 3,Insurance Commissioner,,,Dennis Anderson,87
Grant,Prec 4,Insurance Commissioner,,,Dennis Anderson,42
Grant,Ward 1,Insurance Commissioner,,,Ken Selzer,140
Grant,Ward 2,Insurance Commissioner,,,Ken Selzer,346
Grant,Ward 3,Insurance Commissioner,,,Ken Selzer,307
Grant,Prec 4,Insurance Commissioner,,,Ken Selzer,257
Grant,Ward 1,Secretary of State,,,Jean Kurtis Schodorf,55
Grant,Ward 2,Secretary of State,,,Jean Kurtis Schodorf,86
Grant,Ward 3,Secretary of State,,,Jean Kurtis Schodorf,97
Grant,Prec 4,Secretary of State,,,Jean Kurtis Schodorf,54
Grant,Ward 1,Secretary of State,,,Kris Kobach,128
Grant,Ward 2,Secretary of State,,,Kris Kobach,346
Grant,Ward 3,Secretary of State,,,Kris Kobach,307
Grant,Prec 4,Secretary of State,,,Kris Kobach,254
Grant,Ward 1,State House,124,,Stephen Alford,162
Grant,Ward 2,State House,124,,Stephen Alford,399
Grant,Ward 3,State House,124,,Stephen Alford,362
Grant,Prec 4,State House,124,,Stephen Alford,282
Grant,Ward 1,State Treasurer,,,Carmen Alldritt,29
Grant,Ward 2,State Treasurer,,,Carmen Alldritt,65
Grant,Ward 3,State Treasurer,,,Carmen Alldritt,69
Grant,Prec 4,State Treasurer,,,Carmen Alldritt,31
Grant,Ward 1,State Treasurer,,,Ron Estes,153
Grant,Ward 2,State Treasurer,,,Ron Estes,363
Grant,Ward 3,State Treasurer,,,Ron Estes,328
Grant,Prec 4,State Treasurer,,,Ron Estes,272
Grant,Ward 1,U.S. Senate,,,Greg Orman [I],45
Grant,Ward 2,U.S. Senate,,,Greg Orman [I],117
Grant,Ward 3,U.S. Senate,,,Greg Orman [I],101
Grant,Prec 4,U.S. Senate,,,Greg Orman [I],37
Grant,Ward 1,U.S. Senate,,,Pat Roberts,133
Grant,Ward 2,U.S. Senate,,,Pat Roberts,294
Grant,Ward 3,U.S. Senate,,,Pat Roberts,286
Grant,Prec 4,U.S. Senate,,,Pat Roberts,250
Grant,Ward 1,U.S. Senate,,,Randall Batson,6
Grant,Ward 2,U.S. Senate,,,Randall Batson,18
Grant,Ward 3,U.S. Senate,,,Randall Batson,21
Grant,Prec 4,U.S. Senate,,,Randall Batson,21
Grant,Ward 1,Voters,,,Provisional,5
Grant,Ward 2,Voters,,,Provisional,10
Grant,Ward 3,Voters,,,Provisional,22
Grant,Prec 4,Voters,,,Provisional,14
Grant,Ward 1,Voters,,,Registered voters,574
Grant,Ward 2,Voters,,,Registered voters,978
Grant,Ward 3,Voters,,,Registered voters,1129
Grant,Prec 4,Voters,,,Registered voters,724
Grant,Ward 1,Voters,,,Total Votes Cast,192
Grant,Ward 2,Voters,,,Total Votes Cast,447
Grant,Ward 3,Voters,,,Total Votes Cast,436
Grant,Prec 4,Voters,,,Total Votes Cast,325
Grant,Ward 1,Voters,,,Votes cast at polls,187
Grant,Ward 2,Voters,,,Votes cast at polls,437
Grant,Ward 3,Voters,,,Votes cast at polls,414
Grant,Prec 4,Voters,,,Votes cast at polls,311
county,precinct,office,district,party,candidate,Polls
Grant,Advance,U.S. Senate,,R,Pat Roberts,289
Grant,Prov,U.S. Senate,,R,Pat Roberts,23
Grant,Advance,U.S. Senate,,I,Greg Orman [I],99
Grant,Prov,U.S. Senate,,I,Greg Orman [I],14
Grant,Advance,U.S. Senate,,L,Randall Batson,15
Grant,Prov,U.S. Senate,,L,Randall Batson,3
Grant,Advance,U.S. House,1,R,Tim Huelskamp,298
Grant,Prov,U.S. House,1,R,Tim Huelskamp,28
Grant,Advance,U.S. House,1,D,James E. Sherow,98
Grant,Prov,U.S. House,1,D,James E. Sherow,11
Grant,Advance,Governor,,R,Sam Brownback,259
Grant,Prov,Governor,,R,Sam Brownback,20
Grant,Advance,Governor,,D,Paul Davis,127
Grant,Prov,Governor,,D,Paul Davis,13
Grant,Advance,Governor,,L,Keen Umbehr,15
Grant,Prov,Governor,,L,Keen Umbehr,6
Grant,Advance,Secretary of State,,R,Kris Kobach,297
Grant,Prov,Secretary of State,,R,Kris Kobach,28
Grant,Advance,Secretary of State,,D,Jean Kurtis Schodorf,96
Grant,Prov,Secretary of State,,D,Jean Kurtis Schodorf,10
Grant,Advance,Attorney General,,R,Derek Schmidt,316
Grant,Prov,Attorney General,,R,Derek Schmidt,27
Grant,Advance,Attorney General,,D,A J Kotich,73
Grant,Prov,Attorney General,,D,A J Kotich,11
Grant,Advance,State Treasurer,,R,Ron Estes,320
Grant,Prov,State Treasurer,,R,Ron Estes,27
Grant,Advance,State Treasurer,,D,Carmen Alldritt,67
Grant,Prov,State Treasurer,,D,Carmen Alldritt,11
Grant,Advance,Insurance Commissioner,,R,Ken Selzer,302
Grant,Prov,Insurance Commissioner,,R,Ken Selzer,27
Grant,Advance,Insurance Commissioner,,D,Dennis Anderson,78
Grant,Prov,Insurance Commissioner,,D,Dennis Anderson,11
Grant,Advance,State House,124,R,Stephen Alford,342
Grant,Prov,State House,124,R,Stephen Alford,35
