county,precinct,office,district,party,candidate,Total
Hodgeman,Benton,U S Senate,,R,Pat Roberts,27
Hodgeman,N Center,U S Senate,,R,Pat Roberts,156
Hodgeman,S Center,U S Senate,,R,Pat Roberts,136
Hodgeman,Marena,U S Senate,,R,Pat Roberts,101
Hodgeman,N Hallet,U S Senate,,R,Pat Roberts,3
Hodgeman,N Roscoe,U S Senate,,R,Pat Roberts,24
Hodgeman,Sawlog,U S Senate,,R,Pat Roberts,31
Hodgeman,S Hallet,U S Senate,,R,Pat Roberts,15
Hodgeman,S Roscoe,U S Senate,,R,Pat Roberts,25
Hodgeman,Sterling,U S Senate,,R,Pat Roberts,46
Hodgeman,Valley,U S Senate,,R,Pat Roberts,17
Hodgeman,Benton,U S Senate,,I,Greg Orman,2
Hodgeman,N Center,U S Senate,,I,Greg Orman,62
Hodgeman,S Center,U S Senate,,I,Greg Orman,48
Hodgeman,Marena,U S Senate,,I,Greg Orman,31
Hodgeman,N Hallet,U S Senate,,I,Greg Orman,1
Hodgeman,N Roscoe,U S Senate,,I,Greg Orman,0
Hodgeman,Sawlog,U S Senate,,I,Greg Orman,7
Hodgeman,S Hallet,U S Senate,,I,Greg Orman,1
Hodgeman,S Roscoe,U S Senate,,I,Greg Orman,3
Hodgeman,Sterling,U S Senate,,I,Greg Orman,10
Hodgeman,Valley,U S Senate,,I,Greg Orman,4
Hodgeman,Benton,U S Senate,,L,Randall Batson,0
Hodgeman,N Center,U S Senate,,L,Randall Batson,7
Hodgeman,S Center,U S Senate,,L,Randall Batson,6
Hodgeman,Marena,U S Senate,,L,Randall Batson,6
Hodgeman,N Hallet,U S Senate,,L,Randall Batson,0
Hodgeman,N Roscoe,U S Senate,,L,Randall Batson,0
Hodgeman,Sawlog,U S Senate,,L,Randall Batson,1
Hodgeman,S Hallet,U S Senate,,L,Randall Batson,0
Hodgeman,S Roscoe,U S Senate,,L,Randall Batson,0
Hodgeman,Sterling,U S Senate,,L,Randall Batson,0
Hodgeman,Valley,U S Senate,,L,Randall Batson,0
Hodgeman,Benton,Congress 1,CD1,R,Tim Huelskamp,27
Hodgeman,N Center,Congress 1,CD1,R,Tim Huelskamp,173
Hodgeman,S Center,Congress 1,CD1,R,Tim Huelskamp,142
Hodgeman,Marena,Congress 1,CD1,R,Tim Huelskamp,174
Hodgeman,N Hallet,Congress 1,CD1,R,Tim Huelskamp,2
Hodgeman,N Roscoe,Congress 1,CD1,R,Tim Huelskamp,23
Hodgeman,Sawlog,Congress 1,CD1,R,Tim Huelskamp,32
Hodgeman,S Hallet,Congress 1,CD1,R,Tim Huelskamp,13
Hodgeman,S Roscoe,Congress 1,CD1,R,Tim Huelskamp,25
Hodgeman,Sterling,Congress 1,CD1,R,Tim Huelskamp,44
Hodgeman,Valley,Congress 1,CD1,R,Tim Huelskamp,16
Hodgeman,Benton,Congress 1,CD1,D,James Sherow,2
Hodgeman,N Center,Congress 1,CD1,D,James Sherow,50
Hodgeman,S Center,Congress 1,CD1,D,James Sherow,48
Hodgeman,Marena,Congress 1,CD1,D,James Sherow,33
Hodgeman,N Hallet,Congress 1,CD1,D,James Sherow,2
Hodgeman,N Roscoe,Congress 1,CD1,D,James Sherow,0
Hodgeman,Sawlog,Congress 1,CD1,D,James Sherow,6
Hodgeman,S Hallet,Congress 1,CD1,D,James Sherow,3
Hodgeman,S Roscoe,Congress 1,CD1,D,James Sherow,3
Hodgeman,Sterling,Congress 1,CD1,D,James Sherow,12
Hodgeman,Valley,Congress 1,CD1,D,James Sherow,4
Hodgeman,Benton,Governor,,R,Sam Brownback,27
Hodgeman,N Center,Governor,,R,Sam Brownback,149
Hodgeman,S Center,Governor,,R,Sam Brownback,134
Hodgeman,Marena,Governor,,R,Sam Brownback,173
Hodgeman,N Hallet,Governor,,R,Sam Brownback,3
Hodgeman,N Roscoe,Governor,,R,Sam Brownback,22
Hodgeman,Sawlog,Governor,,R,Sam Brownback,33
Hodgeman,S Hallet,Governor,,R,Sam Brownback,13
Hodgeman,S Roscoe,Governor,,R,Sam Brownback,23
Hodgeman,Sterling,Governor,,R,Sam Brownback,43
Hodgeman,Valley,Governor,,R,Sam Brownback,16
Hodgeman,Benton,Governor,,D,Paul Davis,2
Hodgeman,N Center,Governor,,D,Paul Davis,74
Hodgeman,S Center,Governor,,D,Paul Davis,51
Hodgeman,Marena,Governor,,D,Paul Davis,34
Hodgeman,N Hallet,Governor,,D,Paul Davis,1
Hodgeman,N Roscoe,Governor,,D,Paul Davis,0
Hodgeman,Sawlog,Governor,,D,Paul Davis,8
Hodgeman,S Hallet,Governor,,D,Paul Davis,2
Hodgeman,S Roscoe,Governor,,D,Paul Davis,5
Hodgeman,Sterling,Governor,,D,Paul Davis,14
Hodgeman,Valley,Governor,,D,Paul Davis,4
Hodgeman,Benton,Governor,,L,Keen Umbehr,0
Hodgeman,N Center,Governor,,L,Keen Umbehr,7
