county,precinct,office,district,party,candidate,election_day,votes,advance
Elk,Elk Falls,President,,DEM,Clinton-Kaine,8,10,2
Elk,Greenfield,President,,DEM,Clinton-Kaine,8,15,7
Elk,Howard,President,,DEM,Clinton-Kaine,36,55,19
Elk,Liberty,President,,DEM,Clinton-Kaine,3,4,1
Elk,Longton,President,,DEM,Clinton-Kaine,14,17,3
Elk,Oak Valley,President,,DEM,Clinton-Kaine,3,7,4
Elk,Painterhood,President,,DEM,Clinton-Kaine,2,2,0
Elk,Paw Paw,President,,DEM,Clinton-Kaine,3,4,1
Elk,Union Center,President,,DEM,Clinton-Kaine,4,5,1
Elk,Wild Cat,President,,DEM,Clinton-Kaine,28,41,13
Elk,Total,President,,DEM,Clinton-Kaine,109,160,51
Elk,Elk Falls,President,,LIB,Johnson-Weld,2,2,0
Elk,Greenfield,President,,LIB,Johnson-Weld,4,6,2
Elk,Howard,President,,LIB,Johnson-Weld,9,11,2
Elk,Liberty,President,,LIB,Johnson-Weld,2,2,0
Elk,Longton,President,,LIB,Johnson-Weld,4,4,0
Elk,Oak Valley,President,,LIB,Johnson-Weld,1,1,0
Elk,Painterhood,President,,LIB,Johnson-Weld,1,1,0
Elk,Paw Paw,President,,LIB,Johnson-Weld,0,0,0
Elk,Union Center,President,,LIB,Johnson-Weld,1,1,0
Elk,Wild Cat,President,,LIB,Johnson-Weld,5,7,2
Elk,Total,President,,LIB,Johnson-Weld,29,35,6
Elk,Elk Falls,President,,IND,Stein-Baraka,1,1,0
Elk,Greenfield,President,,IND,Stein-Baraka,0,0,0
Elk,Howard,President,,IND,Stein-Baraka,2,6,4
Elk,Liberty,President,,IND,Stein-Baraka,1,1,0
Elk,Longton,President,,IND,Stein-Baraka,3,3,0
Elk,Oak Valley,President,,IND,Stein-Baraka,0,0,0
Elk,Painterhood,President,,IND,Stein-Baraka,0,0,0
Elk,Paw Paw,President,,IND,Stein-Baraka,0,0,0
Elk,Union Center,President,,IND,Stein-Baraka,0,0,0
Elk,Wild Cat,President,,IND,Stein-Baraka,4,5,1
Elk,Total,President,,IND,Stein-Baraka,11,16,5
Elk,Elk Falls,President,,REP,Trump-Pence,57,86,29
Elk,Greenfield,President,,REP,Trump-Pence,82,113,31
Elk,Howard,President,,REP,Trump-Pence,273,329,56
Elk,Liberty,President,,REP,Trump-Pence,19,37,18
Elk,Longton,President,,REP,Trump-Pence,115,132,17
Elk,Oak Valley,President,,REP,Trump-Pence,34,41,7
Elk,Painterhood,President,,REP,Trump-Pence,15,20,5
Elk,Paw Paw,President,,REP,Trump-Pence,43,49,6
Elk,Union Center,President,,REP,Trump-Pence,34,41,7
Elk,Wild Cat,President,,REP,Trump-Pence,180,200,20
Elk,Total,President,,REP,Trump-Pence,852,1048,196
Elk,Elk Falls,State House,12,REP,Doug Blex,46,72,26
Elk,Longton,State House,12,REP,Doug Blex,90,104,14
Elk,Oak Valley,State House,12,REP,Doug Blex,32,38,6
Elk,Total,State House,12,REP,Doug Blex,168,214,46
Elk,Elk Falls,State House,12,DEM,Jean Kurtis Schodorf,22,26,4
Elk,Longton,State House,12,DEM,Jean Kurtis Schodorf,44,48,4
Elk,Oak Valley,State House,12,DEM,Jean Kurtis Schodorf,9,14,5
Elk,Total,State House,12,DEM,Jean Kurtis Schodorf,75,88,13
Elk,Greenfield,State House,13,REP,Larry Hibbard,82,119,37
Elk,Howard,State House,13,REP,Larry Hibbard,276,344,68
Elk,Liberty,State House,13,REP,Larry Hibbard,23,37,14
Elk,Painterhood,State House,13,REP,Larry Hibbard,18,23,5
Elk,Paw Paw,State House,13,REP,Larry Hibbard,44,49,5
Elk,Union Center,State House,13,REP,Larry Hibbard,34,41,7
Elk,Wild Cat,State House,13,REP,Larry Hibbard,187,220,33
Elk,Total,State House,13,REP,Larry Hibbard,664,833,169
Elk,Elk Falls,State Senate,14,REP,Bruce Givens,52,80,28
Elk,Greenfield,State Senate,14,REP,Bruce Givens,65,96,31
Elk,Howard,State Senate,14,REP,Bruce Givens,241,294,53
Elk,Liberty,State Senate,14,REP,Bruce Givens,20,30,10
Elk,Longton,State Senate,14,REP,Bruce Givens,98,112,14
Elk,Oak Valley,State Senate,14,REP,Bruce Givens,31,38,7
Elk,Painterhood,State Senate,14,REP,Bruce Givens,11,16,5
Elk,Paw Paw,State Senate,14,REP,Bruce Givens,38,43,5
Elk,Union Center,State Senate,14,REP,Bruce Givens,27,33,6
Elk,Wild Cat,State Senate,14,REP,Bruce Givens,160,181,21
Elk,Total,State Senate,14,REP,Bruce Givens,743,923,180
Elk,Elk Falls,State Senate,14,DEM,Mark Pringle,15,17,2
Elk,Greenfield,State Senate,14,DEM,Mark Pringle,23,27,4
Elk,Howard,State Senate,14,DEM,Mark Pringle,71,91,20
Elk,Liberty,State Senate,14,DEM,Mark Pringle,4,10,6
Elk,Longton,State Senate,14,DEM,Mark Pringle,35,40,5
Elk,Oak Valley,State Senate,14,DEM,Mark Pringle,10,14,4
Elk,Painterhood,State Senate,14,DEM,Mark Pringle,8,8,0
Elk,Paw Paw,State Senate,14,DEM,Mark Pringle,8,9,1
Elk,Union Center,State Senate,14,DEM,Mark Pringle,10,12,2
Elk,Wild Cat,State Senate,14,DEM,Mark Pringle,50,67,17
Elk,Total,State Senate,14,DEM,Mark Pringle,234,295,61
Elk,Elk Falls,U.S. House,4,DEM,Daniel Giroux,7,8,1
Elk,Greenfield,U.S. House,4,DEM,Daniel Giroux,14,19,5
Elk,Howard,U.S. House,4,DEM,Daniel Giroux,43,53,10
Elk,Liberty,U.S. House,4,DEM,Daniel Giroux,2,3,1
Elk,Longton,U.S. House,4,DEM,Daniel Giroux,14,18,4
Elk,Oak Valley,U.S. House,4,DEM,Daniel Giroux,5,9,4
Elk,Painterhood,U.S. House,4,DEM,Daniel Giroux,2,2,0
Elk,Paw Paw,U.S. House,4,DEM,Daniel Giroux,4,5,1
Elk,Union Center,U.S. House,4,DEM,Daniel Giroux,5,6,1
Elk,Wild Cat,U.S. House,4,DEM,Daniel Giroux,28,39,11
Elk,Total,U.S. House,4,DEM,Daniel Giroux,124,162,38
Elk,Elk Falls,U.S. House,4,LIB,Gorden Bakken,2,2,0
Elk,Greenfield,U.S. House,4,LIB,Gorden Bakken,0,1,1
Elk,Howard,U.S. House,4,LIB,Gorden Bakken,4,5,1
Elk,Liberty,U.S. House,4,LIB,Gorden Bakken,0,0,0
Elk,Longton,U.S. House,4,LIB,Gorden Bakken,10,12,2
Elk,Oak Valley,U.S. House,4,LIB,Gorden Bakken,2,2,0
Elk,Painterhood,U.S. House,4,LIB,Gorden Bakken,0,0,0
Elk,Paw Paw,U.S. House,4,LIB,Gorden Bakken,1,1,0
Elk,Union Center,U.S. House,4,LIB,Gorden Bakken,1,1,0
Elk,Wild Cat,U.S. House,4,LIB,Gorden Bakken,5,6,1
Elk,Total,U.S. House,4,LIB,Gorden Bakken,25,30,5
Elk,Elk Falls,U.S. House,4,REP,Michael Pompeo,50,79,29
