county,precinct,office,district,party,candidate,poll_votes,advance_votes,military_votes,provisional_votes,votes
Rooks,#1,President,,REP,Trump/Pence,70,8,,1,79
Rooks,#2,President,,REP,Trump/Pence,137,26,,1,164
Rooks,#3-1,President,,REP,Trump/Pence,33,4,,,37
Rooks,#3-2,President,,REP,Trump/Pence,396,62,2,5,465
Rooks,#4,President,,REP,Trump/Pence,11,1,,,12
Rooks,#5,President,,REP,Trump/Pence,27,14,,,41
Rooks,#6,President,,REP,Trump/Pence,38,4,,,42
Rooks,#7,President,,REP,Trump/Pence,71,6,,,77
Rooks,#8,President,,REP,Trump/Pence,92,7,,,99
Rooks,#9,President,,REP,Trump/Pence,21,2,,,23
Rooks,#10,President,,REP,Trump/Pence,64,7,,1,72
Rooks,#11-1,President,,REP,Trump/Pence,203,23,,6,232
Rooks,#11-2,President,,REP,Trump/Pence,549,67,,15,631
Rooks,#12,President,,REP,Trump/Pence,50,7,,,57
Rooks,Grand Totals,President,,REP,Trump/Pence,1762,238,2,29,2031
Rooks,#1,President,,DEM,Clinton/Kaine,12,0,,,12
Rooks,#2,President,,DEM,Clinton/Kaine,15,5,,,20
Rooks,#3-1,President,,DEM,Clinton/Kaine,4,1,,,5
Rooks,#3-2,President,,DEM,Clinton/Kaine,42,18,,,60
Rooks,#4,President,,DEM,Clinton/Kaine,3,2,,,5
Rooks,#5,President,,DEM,Clinton/Kaine,1,1,,,2
Rooks,#6,President,,DEM,Clinton/Kaine,3,3,,,6
Rooks,#7,President,,DEM,Clinton/Kaine,8,3,,,11
Rooks,#8,President,,DEM,Clinton/Kaine,20,2,1,,23
Rooks,#9,President,,DEM,Clinton/Kaine,3,1,,,4
Rooks,#10,President,,DEM,Clinton/Kaine,3,0,,,3
Rooks,#11-1,President,,DEM,Clinton/Kaine,27,4,,,31
Rooks,#11-2,President,,DEM,Clinton/Kaine,66,12,,1,79
Rooks,#12,President,,DEM,Clinton/Kaine,13,1,,,14
Rooks,Grand Totals,President,,DEM,Clinton/Kaine,220,53,1,1,275
Rooks,#1,President,,LIB,Johnson/Weld,3,0,,,3
Rooks,#2,President,,LIB,Johnson/Weld,6,3,1,,10
Rooks,#3-1,President,,LIB,Johnson/Weld,1,0,,,1
Rooks,#3-2,President,,LIB,Johnson/Weld,19,4,,2,25
Rooks,#4,President,,LIB,Johnson/Weld,0,0,,,0
Rooks,#5,President,,LIB,Johnson/Weld,0,0,,,0
Rooks,#6,President,,LIB,Johnson/Weld,0,0,,,0
Rooks,#7,President,,LIB,Johnson/Weld,2,0,,,2
Rooks,#8,President,,LIB,Johnson/Weld,2,0,,,2
Rooks,#9,President,,LIB,Johnson/Weld,1,0,,,1
Rooks,#10,President,,LIB,Johnson/Weld,4,0,,,4
Rooks,#11-1,President,,LIB,Johnson/Weld,5,1,,,6
Rooks,#11-2,President,,LIB,Johnson/Weld,22,2,,,24
Rooks,#12,President,,LIB,Johnson/Weld,2,0,,,2
Rooks,Grand Totals,President,,LIB,Johnson/Weld,67,10,1,2,80
Rooks,#1,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#2,President,,IND,Stein/Baraka,1,1,,,2
Rooks,#3-1,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#3-2,President,,IND,Stein/Baraka,5,1,,,6
Rooks,#4,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#5,President,,IND,Stein/Baraka,0,0,,,0
Rooks,#6,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#7,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#8,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#9,President,,IND,Stein/Baraka,0,0,,,0
Rooks,#10,President,,IND,Stein/Baraka,2,0,,,2
Rooks,#11-1,President,,IND,Stein/Baraka,5,0,,,5
Rooks,#11-2,President,,IND,Stein/Baraka,3,2,,,5
Rooks,#12,President,,IND,Stein/Baraka,3,0,,,3
Rooks,Grand Totals,President,,IND,Stein/Baraka,25,4,,,29
Rooks,#2,President,,,Evan McMullin,1,,,,1
Rooks,#11-2,President,,,Evan McMullin,1,,,,1
Rooks,Grand Totals,President,,,Evan McMullin,2,,,,2
Rooks,#2,President,,,Darrell Castle,1,,,,1
Rooks,#11-2,President,,,Darrell Castle,1,,,,1
Rooks,Grand Totals,President,,,Darrell Castle,2,,,,2
Rooks,#1,U.S. Senate,,DEM,Patrick Wiesner,8,0,,,8
Rooks,#2,U.S. Senate,,DEM,Patrick Wiesner,5,5,,,10
Rooks,#3-1,U.S. Senate,,DEM,Patrick Wiesner,3,2,,,5
Rooks,#3-2,U.S. Senate,,DEM,Patrick Wiesner,37,14,,,51
Rooks,#4,U.S. Senate,,DEM,Patrick Wiesner,4,2,,,6
Rooks,#5,U.S. Senate,,DEM,Patrick Wiesner,1,0,,,1
Rooks,#6,U.S. Senate,,DEM,Patrick Wiesner,3,2,,,5
Rooks,#7,U.S. Senate,,DEM,Patrick Wiesner,7,1,,,8
Rooks,#8,U.S. Senate,,DEM,Patrick Wiesner,11,2,,,13
Rooks,#9,U.S. Senate,,DEM,Patrick Wiesner,2,0,,,2
Rooks,#10,U.S. Senate,,DEM,Patrick Wiesner,6,0,,,6
Rooks,#11-1,U.S. Senate,,DEM,Patrick Wiesner,16,4,,,20
Rooks,#11-2,U.S. Senate,,DEM,Patrick Wiesner,35,8,,2,45
Rooks,#12,U.S. Senate,,DEM,Patrick Wiesner,10,2,,,12
Rooks,Grand Totals,U.S. Senate,,DEM,Patrick Wiesner,148,42,,2,192
Rooks,#1,U.S. Senate,,LIB,Robert D. Garrard,2,0,,,2
Rooks,#2,U.S. Senate,,LIB,Robert D. Garrard,9,0,,,9
Rooks,#3-1,U.S. Senate,,LIB,Robert D. Garrard,1,0,,,1
Rooks,#3-2,U.S. Senate,,LIB,Robert D. Garrard,26,4,,1,31
Rooks,#4,U.S. Senate,,LIB,Robert D. Garrard,2,0,,,2
Rooks,#5,U.S. Senate,,LIB,Robert D. Garrard,2,2,,,4
Rooks,#6,U.S. Senate,,LIB,Robert D. Garrard,2,0,,,2
Rooks,#7,U.S. Senate,,LIB,Robert D. Garrard,0,0,,,0
Rooks,#8,U.S. Senate,,LIB,Robert D. Garrard,2,1,,,3
Rooks,#9,U.S. Senate,,LIB,Robert D. Garrard,0,0,,,0
Rooks,#10,U.S. Senate,,LIB,Robert D. Garrard,2,0,,,2
