county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,R,Donald Trump / Mike Pence,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,D,Hillary Clinton / Tim Kaine,5,,,,,,,,,,,,,,26,,1,,46,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,L,Gary Johnson! Bill Weld,1,,,,,,,,,,,,,,1,,5,,0,,15,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,I,Jill Stein / Ajamu Baraka,1,,,,,,,,,,,,,,,6,,0,,8,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,,John McAfee,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,,
Wallace,Sharon Springs #2,President,,R,Donald Trump / Mike Pence,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,D,Hillary Clinton / Tim Kaine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,L,Gary Johnson! Bill Weld,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,I,Jill Stein / Ajamu Baraka,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,,Evan McMullin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,,Jesus Christ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,,Ted Cruz,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,,Pence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,President,,R,Donald Trump / Mike Pence,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,President,,D,Hillary Clinton / Tim Kaine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,President,,L,Gary Johnson! Bill Weld,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,President,,R,Donald Trump / Mike Pence,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,President,,D,Hillary Clinton / Tim Kaine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,President,,L,Gary Johnson! Bill Weld,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,President,,R,Donald Trump / Mike Pence,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,President,,D,Hillary Clinton / Tim Kaine,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,President,,L,Gary Johnson! Bill Weld,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,President,,R,Donald Trump / Mike Pence,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,President,,D,Hillary Clinton / Tim Kaine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,President,,L,Gary Johnson! Bill Weld,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,President,,R,Donald Trump / Mike Pence,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,President,,D,Hillary Clinton / Tim Kaine,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,President,,L,Gary Johnson! Bill Weld,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,R,Donald Trump / Mike Pence,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,D,Hillary Clinton / Tim Kaine,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,L,Gary Johnson! Bill Weld,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,I,Jill Stein / Ajamu Baraka,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,Evan McMullin,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,Jesus Christ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,Ted Cruz,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,Pence,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,John McAfee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,R,Donald Trump / Mike Pence,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,D,Hillary Clinton / Tim Kaine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,L,Gary Johnson! Bill Weld,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,,Evan McMullin,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,,Jesus Christ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,,Ted Cruz,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
