county,precinct,office,district,party,candidate,votes,
Thomas,Barrett,President,,D,Clinton & Kaine,5,
Thomas,Barrett,President,,R,Trump & Pence,47,
Thomas,Barrett,President,,L,Johnson & Weld,0,
Thomas,Barrett,President,,i,Stein & Baraka,0,
Thomas,Barrett,U.S. Senate,,D,Patrick Wiesner,6,
Thomas,Barrett,U.S. Senate,,R,Jerry Moran,46,
Thomas,Barrett,U.S. Senate,,L,Robert D Garrard,0,
Thomas,Barrett,U.S. House,1,R,Roger Marshall,45,
Thomas,Barrett,U.S. House,1,L,Kerry Burt,1,
Thomas,Barrett,U.S. House,1,i,Alan LaPolice,6,
Thomas,Barrett,State Senate,40,D,Alex Herman,8,
Thomas,Barrett,State Senate,40,R,Richard (Rick) Billinger,45,
Thomas,Barrett,State House,120,D,Bonita L. Peterson,9,
Thomas,Barrett,State House,120,R,Adam Smith,44,
Thomas,West Hale,President,,D,Clinton & Kaine,2,
Thomas,West Hale,President,,R,Trump & Pence,56,
Thomas,West Hale,President,,L,Johnson & Weld,2,
Thomas,West Hale,President,,i,Stein & Baraka,0,
Thomas,West Hale,U.S. Senate,,D,Patrick Wiesner,3,
Thomas,West Hale,U.S. Senate,,R,Jerry Moran,56,
Thomas,West Hale,U.S. Senate,,L,Robert D Garrard,0,
Thomas,West Hale,U.S. House,1,R,Roger Marshall,45,
Thomas,West Hale,U.S. House,1,L,Kerry Burt,1,
Thomas,West Hale,U.S. House,1,i,Alan LaPolice,14,
Thomas,West Hale,State Senate,40,D,Alex Herman,3,
Thomas,West Hale,State Senate,40,R,Richard (Rick) Billinger,57,
Thomas,West Hale,State House,120,D,Bonita L. Peterson,5,
Thomas,West Hale,State House,120,R,Adam Smith,55,
Thomas,Kingery,President,,D,Clinton & Kaine,2,
Thomas,Kingery,President,,R,Trump & Pence,49,
Thomas,Kingery,President,,L,Johnson & Weld,0,
Thomas,Kingery,President,,i,Stein & Baraka,0,
Thomas,Kingery,U.S. Senate,,D,Patrick Wiesner,2,
Thomas,Kingery,U.S. Senate,,R,Jerry Moran,46,
Thomas,Kingery,U.S. Senate,,L,Robert D Garrard,1,
Thomas,Kingery,U.S. House,1,R,Roger Marshall,38,
Thomas,Kingery,U.S. House,1,L,Kerry Burt,0,
Thomas,Kingery,U.S. House,1,i,Alan LaPolice,11,
Thomas,Kingery,State Senate,40,D,Alex Herman,2,
Thomas,Kingery,State Senate,40,R,Richard (Rick) Billinger,47,
Thomas,Kingery,State House,118,R,Don Hineman,46,
Thomas,Lacey,President,,D,Clinton & Kaine,6,
Thomas,Lacey,President,,R,Trump & Pence,53,
Thomas,Lacey,President,,L,Johnson & Weld,1,
Thomas,Lacey,President,,i,Stein & Baraka,2,
