county,precinct,office,district,party,candidate,votes,,,,,,,,,,,
Kingman,Allen,President,,IND,Stein/Baraka,6,,,,,,,,,,,
Kingman,Belmont,President,,IND,Stein/Baraka,1,,,,,,,,,,,
Kingman,Bennett,President,,IND,Stein/Baraka,2,,,,,,,,,,,
Kingman,Canton,President,,IND,Stein/Baraka,0,,,,,,,,,,,
Kingman,Chikaskia,President,,IND,Stein/Baraka,1,,,,,,,,,,,
Kingman,Dale,President,,IND,Stein/Baraka,1,,,,,,,,,,,
Kingman,Dresden,President,,IND,Stein/Baraka,8,,,,,,,,,,,
Kingman,Eagle,President,,IND,Stein/Baraka,2,,,,,,,,,,,
Kingman,Eureka,President,,IND,Stein/Baraka,0,,,,,,,,,,,
Kingman,Evan,President,,IND,Stein/Baraka,2,,,,,,,,,,,
Kingman,Galesburg,President,,IND,Stein/Baraka,1,,,,,,,,,,,
Kingman,Hoosier,President,,IND,Stein/Baraka,2,,,,,,,,,,,
Kingman,Kingman,President,,IND,Stein/Baraka,0,,,,,,,,,,,
Kingman,Liberty,President,,IND,Stein/Baraka,0,,,,,,,,,,,
Kingman,Ninnescah,President,,IND,Stein/Baraka,4,,,,,,,,,,,
Kingman,Peters,President,,IND,Stein/Baraka,0,,,,,,,,,,,
Kingman,Richland,President,,IND,Stein/Baraka,0,,,,,,,,,,,
Kingman,Rochester,President,,IND,Stein/Baraka,2,,,,,,,,,,,
Kingman,Rural,President,,IND,Stein/Baraka,3,,,,,,,,,,,
Kingman,Union,President,,IND,Stein/Baraka,0,,,,,,,,,,,
Kingman,Valley,President,,IND,Stein/Baraka,0,,,,,,,,,,,
Kingman,Vinita,President,,IND,Stein/Baraka,2,,,,,,,,,,,
Kingman,White,President,,IND,Stein/Baraka,1,,,,,,,,,,,
Kingman,White #3,President,,IND,Stein/Baraka,1,,,,,,,,,,,
Kingman,Kingman City 1st Ward,President,,IND,Stein/Baraka,5,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,President,,IND,Stein/Baraka,12,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,President,,IND,Stein/Baraka,4,,,,,,,,,,,
Kingman,Kingman City 4th Ward,President,,IND,Stein/Baraka,8,,,,,,,,,,,
Kingman,Totals,President,,IND,Stein/Baraka,68,,,,,,,,,,,
Kingman,Provisionals,President,,IND,Stein/Baraka,1,,,,,,,,,,,
Kingman,Grand Total,President,,IND,Stein/Baraka,69,,,,,,,,,,,
Kingman,Allen,President,,REP,Trump/Pence,38,,,,,,,,,,,
Kingman,Belmont,President,,REP,Trump/Pence,19,,,,,,,,,,,
Kingman,Bennett,President,,REP,Trump/Pence,207,,,,,,,,,,,
Kingman,Canton,President,,REP,Trump/Pence,42,,,,,,,,,,,
Kingman,Chikaskia,President,,REP,Trump/Pence,35,,,,,,,,,,,
Kingman,Dale,President,,REP,Trump/Pence,58,,,,,,,,,,,
Kingman,Dresden,President,,REP,Trump/Pence,122,,,,,,,,,,,
Kingman,Eagle,President,,REP,Trump/Pence,38,,,,,,,,,,,
Kingman,Eureka,President,,REP,Trump/Pence,48,,,,,,,,,,,
Kingman,Evan,President,,REP,Trump/Pence,217,,,,,,,,,,,
Kingman,Galesburg,President,,REP,Trump/Pence,96,,,,,,,,,,,
Kingman,Hoosier,President,,REP,Trump/Pence,51,,,,,,,,,,,
Kingman,Kingman,President,,REP,Trump/Pence,45,,,,,,,,,,,
Kingman,Liberty,President,,REP,Trump/Pence,42,,,,,,,,,,,
Kingman,Ninnescah,President,,REP,Trump/Pence,123,,,,,,,,,,,
Kingman,Peters,President,,REP,Trump/Pence,44,,,,,,,,,,,
Kingman,Richland,President,,REP,Trump/Pence,46,,,,,,,,,,,
Kingman,Rochester,President,,REP,Trump/Pence,53,,,,,,,,,,,
Kingman,Rural,President,,REP,Trump/Pence,97,,,,,,,,,,,
Kingman,Union,President,,REP,Trump/Pence,23,,,,,,,,,,,
Kingman,Valley,President,,REP,Trump/Pence,41,,,,,,,,,,,
Kingman,Vinita,President,,REP,Trump/Pence,95,,,,,,,,,,,
Kingman,White,President,,REP,Trump/Pence,85,,,,,,,,,,,
Kingman,White #3,President,,REP,Trump/Pence,41,,,,,,,,,,,
Kingman,Kingman City 1st Ward,President,,REP,Trump/Pence,216,,,,,,,,,,,
Kingman,Kingman City 2nd Ward,President,,REP,Trump/Pence,302,,,,,,,,,,,
Kingman,Kingman City 3rd Ward,President,,REP,Trump/Pence,128,,,,,,,,,,,
Kingman,Kingman City 4th Ward,President,,REP,Trump/Pence,155,,,,,,,,,,,
Kingman,Totals,President,,REP,Trump/Pence,2507,,,,,,,,,,,
Kingman,Provisionals,President,,REP,Trump/Pence,23,,,,,,,,,,,
