county,precinct,office,district,party,candidate,poll_votes,advance_votes,votes
Wichita,1,President,,REP,Trump and Pence,189,44,233
Wichita,2,President,,REP,Trump and Pence,245,71,316
Wichita,3,President,,REP,Trump and Pence,179,37,216
Wichita,,President,,REP,Trump and Pence,613,152,765
Wichita,1,President,,DEM,Clinton and Kaine,48,18,66
Wichita,2,President,,DEM,Clinton and Kaine,38,21,59
Wichita,3,President,,DEM,Clinton and Kaine,8,6,14
Wichita,,President,,DEM,Clinton and Kaine,94,45,139
Wichita,1,President,,LIB,Johnson and Weld,5,0,5
Wichita,2,President,,LIB,Johnson and Weld,7,3,10
Wichita,3,President,,LIB,Johnson and Weld,3,0,3
Wichita,,President,,LIB,Johnson and Weld,15,3,18
Wichita,1,President,,IND,Stein and Baraka,4,1,5
Wichita,2,President,,IND,Stein and Baraka,5,0,5
Wichita,3,President,,IND,Stein and Baraka,2,0,2
Wichita,,President,,IND,Stein and Baraka,11,1,12
Wichita,1,U.S. Senate,,DEM,Patrick Wiesner,32,15,47
Wichita,2,U.S. Senate,,DEM,Patrick Wiesner,33,19,52
Wichita,3,U.S. Senate,,DEM,Patrick Wiesner,8,7,15
Wichita,,U.S. Senate,,DEM,Patrick Wiesner,73,41,114
Wichita,1,U.S. Senate,,LIB,Robert D. Garrard,13,1,14
Wichita,2,U.S. Senate,,LIB,Robert D. Garrard,12,4,16
Wichita,3,U.S. Senate,,LIB,Robert D. Garrard,9,1,10
Wichita,,U.S. Senate,,LIB,Robert D. Garrard,34,6,40
Wichita,1,U.S. Senate,,REP,Jerry Moran,203,47,250
Wichita,2,U.S. Senate,,REP,Jerry Moran,256,73,329
Wichita,3,U.S. Senate,,REP,Jerry Moran,176,33,209
Wichita,,U.S. Senate,,REP,Jerry Moran,635,153,788
Wichita,1,U.S. House,1,REP,Roger Marshall,188,40,228
Wichita,2,U.S. House,1,REP,Roger Marshall,240,73,313
Wichita,3,U.S. House,1,REP,Roger Marshall,161,33,194
Wichita,,U.S. House,1,REP,Roger Marshall,589,146,735
Wichita,1,U.S. House,1,LIB,Kerry Burt,17,6,23
Wichita,2,U.S. House,1,LIB,Kerry Burt,11,4,15
Wichita,3,U.S. House,1,LIB,Kerry Burt,5,1,6
Wichita,,U.S. House,1,LIB,Kerry Burt,33,11,44
Wichita,1,U.S. House,1,IND,Alan LaPolice,35,13,48
Wichita,2,U.S. House,1,IND,Alan LaPolice,41,17,58
Wichita,3,U.S. House,1,IND,Alan LaPolice,26,5,31
Wichita,,U.S. House,1,IND,Alan LaPolice,102,35,137
Wichita,1,State Senate,39,DEM,A. Zacheriah Worf,42,11,53
Wichita,2,State Senate,39,DEM,A. Zacheriah Worf,33,18,51
Wichita,3,State Senate,39,DEM,A. Zacheriah Worf,19,2,21
Wichita,,State Senate,39,DEM,A. Zacheriah Worf,94,31,125
Wichita,1,State Senate,39,REP,John Doll,198,51,249
Wichita,2,State Senate,39,REP,John Doll,265,76,341
Wichita,3,State Senate,39,REP,John Doll,165,39,204
Wichita,,State Senate,39,REP,John Doll,628,166,794
Wichita,1,State House,118,REP,Don Hineman,230,58,288
Wichita,2,State House,118,REP,Don Hineman,281,87,368
Wichita,3,State House,118,REP,Don Hineman,179,40,219
Wichita,,State House,118,REP,Don Hineman,690,185,875
