county,precinct,office,district,candidate,party,votes,
Scott,Beaver Township,President,,"Stein, Jill  ",independent,3,
Scott,Beaver Township,President,,"Basiago, Andrew D. ",write - in,0,
Scott,Beaver Township,President,,"Castle, Darrell L ",write - in,0,
Scott,Beaver Township,President,,"De La Fuente, ""Rocky"" Roque  ",write - in,0,
Scott,Beaver Township,President,,"Giordani, Rocky  ",write - in,0,
Scott,Beaver Township,President,,"Hedges, James A ",write - in,0,
Scott,Beaver Township,President,,"Hoefling, Tom  ",write - in,0,
Scott,Beaver Township,President,,"Kahn, Lynn  ",write - in,0,
Scott,Beaver Township,President,,"La Riva, Gloria  ",write - in,0,
Scott,Beaver Township,President,,"Levinson, Michael S. ",write - in,0,
Scott,Beaver Township,President,,"Maturen, Michael A ",write - in,0,
Scott,Beaver Township,President,,"McMullin, Evan  ",write - in,1,
Scott,Beaver Township,President,,"Moorehead, Monica G. ",write - in,0,
Scott,Beaver Township,President,,"Perry, Darryl  ",write - in,0,
Scott,Beaver Township,President,,"Schoenke, Marshall R. ",write - in,0,
Scott,Beaver Township,President,,"Schriner, Joe C ",write - in,0,
Scott,Beaver Township,President,,"Smith, Mike  ",write - in,0,
Scott,Beaver Township,President,,"Sood, Ajay  ",write - in,0,
Scott,Beaver Township,President,,"Sterling, Shawna  ",write - in,0,
Scott,Beaver Township,President,,"Valdivia, Anthony J ",write - in,0,
Scott,Beaver Township,President,,"Vogel-Walcutt, J.J.  ",write - in,0,
Scott,Beaver Township,President,,"Wysinger, Demetra Jefferson ",write - in,0,
Scott,Beaver Township,President,,"Clinton, Hillary Rodham ",Democratic,11,
Scott,Beaver Township,President,,"Johnson, Gary  ",Libertarian,2,
Scott,Beaver Township,President,,"Trump, Donald J. ",Republican,79,
Scott,Isbel Township,President,,"Stein, Jill  ",independent,1,
Scott,Isbel Township,President,,"Basiago, Andrew D. ",write - in,0,
Scott,Isbel Township,President,,"Castle, Darrell L ",write - in,0,
Scott,Isbel Township,President,,"De La Fuente, ""Rocky"" Roque  ",write - in,0,
Scott,Isbel Township,President,,"Giordani, Rocky  ",write - in,0,
Scott,Isbel Township,President,,"Hedges, James A ",write - in,0,
Scott,Isbel Township,President,,"Hoefling, Tom  ",write - in,0,
Scott,Isbel Township,President,,"Kahn, Lynn  ",write - in,0,
Scott,Isbel Township,President,,"La Riva, Gloria  ",write - in,0,
Scott,Isbel Township,President,,"Levinson, Michael S. ",write - in,0,
Scott,Isbel Township,President,,"Maturen, Michael A ",write - in,0,
Scott,Isbel Township,President,,"McMullin, Evan  ",write - in,0,
Scott,Isbel Township,President,,"Moorehead, Monica G. ",write - in,0,
Scott,Isbel Township,President,,"Perry, Darryl  ",write - in,0,
Scott,Isbel Township,President,,"Schoenke, Marshall R. ",write - in,0,
Scott,Isbel Township,President,,"Schriner, Joe C ",write - in,0,
Scott,Isbel Township,President,,"Smith, Mike  ",write - in,0,
Scott,Isbel Township,President,,"Sood, Ajay  ",write - in,0,
Scott,Isbel Township,President,,"Sterling, Shawna  ",write - in,0,
Scott,Isbel Township,President,,"Valdivia, Anthony J ",write - in,0,
Scott,Isbel Township,President,,"Vogel-Walcutt, J.J.  ",write - in,0,
Scott,Isbel Township,President,,"Wysinger, Demetra Jefferson ",write - in,0,
Scott,Isbel Township,President,,"Clinton, Hillary Rodham ",Democratic,1,
Scott,Isbel Township,President,,"Johnson, Gary  ",Libertarian,1,
Scott,Isbel Township,President,,"Trump, Donald J. ",Republican,45,
Scott,Keystone Township,President,,"Stein, Jill  ",independent,1,
Scott,Keystone Township,President,,"Basiago, Andrew D. ",write - in,0,
Scott,Keystone Township,President,,"Castle, Darrell L ",write - in,0,
Scott,Keystone Township,President,,"De La Fuente, ""Rocky"" Roque  ",write - in,0,
Scott,Keystone Township,President,,"Giordani, Rocky  ",write - in,0,
Scott,Keystone Township,President,,"Hedges, James A ",write - in,0,
Scott,Keystone Township,President,,"Hoefling, Tom  ",write - in,0,
Scott,Keystone Township,President,,"Kahn, Lynn  ",write - in,0,
Scott,Keystone Township,President,,"La Riva, Gloria  ",write - in,0,
Scott,Keystone Township,President,,"Levinson, Michael S. ",write - in,0,
Scott,Keystone Township,President,,"Maturen, Michael A ",write - in,0,
Scott,Keystone Township,President,,"McMullin, Evan  ",write - in,0,
Scott,Keystone Township,President,,"Moorehead, Monica G. ",write - in,0,
Scott,Keystone Township,President,,"Perry, Darryl  ",write - in,0,
Scott,Keystone Township,President,,"Schoenke, Marshall R. ",write - in,0,
Scott,Keystone Township,President,,"Schriner, Joe C ",write - in,0,
Scott,Keystone Township,President,,"Smith, Mike  ",write - in,0,
Scott,Keystone Township,President,,"Sood, Ajay  ",write - in,0,
Scott,Keystone Township,President,,"Sterling, Shawna  ",write - in,0,
Scott,Keystone Township,President,,"Valdivia, Anthony J ",write - in,0,
Scott,Keystone Township,President,,"Vogel-Walcutt, J.J.  ",write - in,0,
Scott,Keystone Township,President,,"Wysinger, Demetra Jefferson ",write - in,0,
Scott,Keystone Township,President,,"Clinton, Hillary Rodham ",Democratic,0,
Scott,Keystone Township,President,,"Johnson, Gary  ",Libertarian,1,
Scott,Keystone Township,President,,"Trump, Donald J. ",Republican,47,
Scott,Lake Township,President,,"Stein, Jill  ",independent,0,
Scott,Lake Township,President,,"Basiago, Andrew D. ",write - in,0,
Scott,Lake Township,President,,"Castle, Darrell L ",write - in,0,
Scott,Lake Township,President,,"De La Fuente, ""Rocky"" Roque  ",write - in,0,
Scott,Lake Township,President,,"Giordani, Rocky  ",write - in,0,
Scott,Lake Township,President,,"Hedges, James A ",write - in,0,
Scott,Lake Township,President,,"Hoefling, Tom  ",write - in,0,
Scott,Lake Township,President,,"Kahn, Lynn  ",write - in,0,
Scott,Lake Township,President,,"La Riva, Gloria  ",write - in,0,
Scott,Lake Township,President,,"Levinson, Michael S. ",write - in,0,
Scott,Lake Township,President,,"Maturen, Michael A ",write - in,0,
Scott,Lake Township,President,,"McMullin, Evan  ",write - in,0,
