county,precinct,office,district,party,candidate,votes,
Wabaunsee,Alma,President,,REP,Donald Trump,398,
Wabaunsee,Alma,President,,DEM,Hillary Clinton,139,
Wabaunsee,Alma,President,,LBT,Gary Johnson,24,
Wabaunsee,Alma,President,,IND,Jill Stein,12,
Wabaunsee,Chalk,President,,REP,Donald Trump,18,
Wabaunsee,Chalk,President,,DEM,Hillary Clinton,3,
Wabaunsee,Chalk,President,,LBT,Gary Johnson,1,
Wabaunsee,Chalk,President,,IND,Jill Stein,1,
Wabaunsee,Farmer,President,,REP,Donald Trump,50,
Wabaunsee,Farmer,President,,DEM,Hillary Clinton,14,
Wabaunsee,Farmer,President,,LBT,Gary Johnson,1,
Wabaunsee,Farmer,President,,IND,Jill Stein,1,
Wabaunsee,Alta Vista,President,,REP,Donald Trump,197,
Wabaunsee,Alta Vista,President,,DEM,Hillary Clinton,54,
Wabaunsee,Alta Vista,President,,LBT,Gary Johnson,16,
Wabaunsee,Alta Vista,President,,IND,Jill Stein,2,
Wabaunsee,Harveyville,President,,REP,Donald Trump,189,
Wabaunsee,Harveyville,President,,DEM,Hillary Clinton,67,
Wabaunsee,Harveyville,President,,LBT,Gary Johnson,15,
Wabaunsee,Harveyville,President,,IND,Jill Stein,7,
Wabaunsee,Hessdale,President,,REP,Donald Trump,89,
Wabaunsee,Hessdale,President,,DEM,Hillary Clinton,43,
Wabaunsee,Hessdale,President,,LBT,Gary Johnson,7,
Wabaunsee,Hessdale,President,,IND,Jill Stein,1,
Wabaunsee,Kaw,President,,REP,Donald Trump,64,
Wabaunsee,Kaw,President,,DEM,Hillary Clinton,14,
Wabaunsee,Kaw,President,,LBT,Gary Johnson,2,
Wabaunsee,Kaw,President,,IND,Jill Stein,1,
Wabaunsee,Kaw USD320,President,,REP,Donald Trump,38,
Wabaunsee,Kaw USD320,President,,DEM,Hillary Clinton,4,
Wabaunsee,Kaw USD320,President,,LBT,Gary Johnson,1,
Wabaunsee,Kaw USD320,President,,IND,Jill Stein,0,
Wabaunsee,Keene,President,,REP,Donald Trump,173,
Wabaunsee,Keene,President,,DEM,Hillary Clinton,78,
Wabaunsee,Keene,President,,LBT,Gary Johnson,18,
Wabaunsee,Keene,President,,IND,Jill Stein,8,
Wabaunsee,Maple Hill,President,,REP,Donald Trump,384,
Wabaunsee,Maple Hill,President,,DEM,Hillary Clinton,119,
Wabaunsee,Maple Hill,President,,LBT,Gary Johnson,14,
Wabaunsee,Maple Hill,President,,IND,Jill Stein,12,
Wabaunsee,McFarland,President,,REP,Donald Trump,104,
Wabaunsee,McFarland,President,,DEM,Hillary Clinton,28,
Wabaunsee,McFarland,President,,LBT,Gary Johnson,11,
