county,precinct,office,party,party,candidate,votes
Butler,,President,,D,Hillary Clinton,6573
Butler,Andover W1,President,,D,Hillary Clinton,732
Butler,Andover W2,President,,D,Hillary Clinton,507
Butler,Andover W3,President,,D,Hillary Clinton,274
Butler,Andover W4,President,,D,Hillary Clinton,22
Butler,Augusta City W1,President,,D,Hillary Clinton,212
Butler,Augusta City W2,President,,D,Hillary Clinton,167
Butler,Augusta City W3,President,,D,Hillary Clinton,344
Butler,Augusta City W4,President,,D,Hillary Clinton,251
Butler,El Dorado W1,President,,D,Hillary Clinton,416
Butler,El Dorado W2,President,,D,Hillary Clinton,441
Butler,El Dorado W3,President,,D,Hillary Clinton,273
Butler,El Dorado W4,President,,D,Hillary Clinton,244
Butler,Rose Hill City,President,,D,Hillary Clinton,498
Butler,Rose Hill City,President,,D,Hillary Clinton,225
Butler,Benton City/Benton Twp,President,,D,Hillary Clinton,247
Butler,Cassoday/Sycamore Twp,President,,D,Hillary Clinton,22
Butler,Douglass City/Twp,President,,D,Hillary Clinton,171
Butler,Elbing City/Fairmount Twp,President,,D,Hillary Clinton,44
Butler,Latham/Union,President,,D,Hillary Clinton,10
Butler,Leon/Little Walnut,President,,D,Hillary Clinton,83
Butler,Potwin/Plum Grove,President,,D,Hillary Clinton,63
Butler,Towanda City,President,,D,Hillary Clinton,133
Butler,Towanda Twp,President,,D,Hillary Clinton,88
Butler,Whitewater/Milton - 72,President,,D,Hillary Clinton,57
Butler,Whitewater/Milton - 75,President,,D,Hillary Clinton,29
Butler,Augusta Twp - 16,President,,D,Hillary Clinton,70
Butler,Augusta Twp - 14,President,,D,Hillary Clinton,44
Butler,Bloomington Twp,President,,D,Hillary Clinton,40
Butler,Bruno Twp North - 77,President,,D,Hillary Clinton,118
Butler,Bruno Twp South - 77,President,,D,Hillary Clinton,24
Butler,Bruno Twp North - 99,President,,D,Hillary Clinton,67
Butler,Bruno Twp South - 99,President,,D,Hillary Clinton,27
Butler,Chelsea Twp,President,,D,Hillary Clinton,25
Butler,Clay Twp,President,,D,Hillary Clinton,7
Butler,Clifford Twp,President,,D,Hillary Clinton,15
Butler,El Dorado Twp East,President,,D,Hillary Clinton,23
Butler,El Dorado Twp West,President,,D,Hillary Clinton,41
Butler,Fairview Twp,President,,D,Hillary Clinton,54
Butler,Glencoe Twp,President,,D,Hillary Clinton,23
Butler,Hickory Twp,President,,D,Hillary Clinton,4
Butler,Lincoln Twp,President,,D,Hillary Clinton,15
Butler,Logan Twp,President,,D,Hillary Clinton,16
Butler,Murdock Twp,President,,D,Hillary Clinton,24
Butler,Prospect Twp,President,,D,Hillary Clinton,112
Butler,Rock Creek Twp,President,,D,Hillary Clinton,21
Butler,Rosalia Twp,President,,D,Hillary Clinton,44
Butler,Spring Twp,President,,D,Hillary Clinton,147
Butler,Walnut Twp,President,,D,Hillary Clinton,59
Butler,,President,,LBT,Gary Johnson,1415
Butler,Andover W1,President,,LBT,Gary Johnson,190
Butler,Andover W2,President,,LBT,Gary Johnson,107
Butler,Andover W3,President,,LBT,Gary Johnson,67
Butler,Andover W4,President,,LBT,Gary Johnson,5
Butler,Augusta City W1,President,,LBT,Gary Johnson,53
Butler,Augusta City W2,President,,LBT,Gary Johnson,27
Butler,Augusta City W3,President,,LBT,Gary Johnson,52
Butler,Augusta City W4,President,,LBT,Gary Johnson,61
Butler,El Dorado W1,President,,LBT,Gary Johnson,62
Butler,El Dorado W2,President,,LBT,Gary Johnson,69
Butler,El Dorado W3,President,,LBT,Gary Johnson,54
Butler,El Dorado W4,President,,LBT,Gary Johnson,39
Butler,Rose Hill City,President,,LBT,Gary Johnson,106
Butler,Rose Hill City,President,,LBT,Gary Johnson,62
Butler,Benton City/Benton Twp,President,,LBT,Gary Johnson,61
Butler,Cassoday/Sycamore Twp,President,,LBT,Gary Johnson,9
Butler,Douglass City/Twp,President,,LBT,Gary Johnson,48
Butler,Elbing City/Fairmount Twp,President,,LBT,Gary Johnson,9
Butler,Latham/Union,President,,LBT,Gary Johnson,4
Butler,Leon/Little Walnut,President,,LBT,Gary Johnson,20
Butler,Potwin/Plum Grove,President,,LBT,Gary Johnson,11
Butler,Towanda City,President,,LBT,Gary Johnson,27
Butler,Towanda Twp,President,,LBT,Gary Johnson,28
Butler,Whitewater/Milton - 72,President,,LBT,Gary Johnson,15
Butler,Whitewater/Milton - 75,President,,LBT,Gary Johnson,3
Butler,Augusta Twp - 16,President,,LBT,Gary Johnson,11
Butler,Augusta Twp - 14,President,,LBT,Gary Johnson,12
Butler,Bloomington Twp,President,,LBT,Gary Johnson,13
Butler,Bruno Twp North - 77,President,,LBT,Gary Johnson,28
Butler,Bruno Twp South - 77,President,,LBT,Gary Johnson,3
Butler,Bruno Twp North - 99,President,,LBT,Gary Johnson,20
Butler,Bruno Twp South - 99,President,,LBT,Gary Johnson,5
Butler,Chelsea Twp,President,,LBT,Gary Johnson,3
Butler,Clay Twp,President,,LBT,Gary Johnson,2
Butler,Clifford Twp,President,,LBT,Gary Johnson,2
Butler,El Dorado Twp East,President,,LBT,Gary Johnson,10
Butler,El Dorado Twp West,President,,LBT,Gary Johnson,16
Butler,Fairview Twp,President,,LBT,Gary Johnson,10
Butler,Glencoe Twp,President,,LBT,Gary Johnson,1
Butler,Hickory Twp,President,,LBT,Gary Johnson,0
